component_ordinal,component_id,arm,experiment,unit,evaluation_cell_id,learner,model_seed,compute_backend,membership_reference,fit_action,input_contract_id,input_contract_sha256,input_scientific_identity_sha256,runtime_asset
11,C011,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED42,XGBOOST,42,CPU,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
12,C012,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED42,LIGHTGBM,42,CPU,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,REUSE_EXISTING,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
13,C013,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED43,XGBOOST,43,CPU,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
14,C014,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED43,LIGHTGBM,43,CPU,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
15,C015,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED44,XGBOOST,44,CPU,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
16,C016,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED44,LIGHTGBM,44,CPU,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
17,C017,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED45,XGBOOST,45,CPU,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
18,C018,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED45,LIGHTGBM,45,CPU,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
19,C019,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED46,XGBOOST,46,CPU,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
20,C020,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED46,LIGHTGBM,46,CPU,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,NEW_FIT_AUTHORIZED,STAGE22R_1C_BYTE_EXACT_70F_DEVELOPMENT_CACHE,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,975113373af098bb12b274248dfa012a536c3e6a8270d7b37dd4f3d9bf79b9f2,/kaggle/working/stage22r_1c_70f_development_cache
21,C021,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED42,XGBOOST,42,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,REUSE_EXISTING,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
22,C022,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED42,LIGHTGBM,42,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,REUSE_EXISTING,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
23,C023,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED43,XGBOOST,43,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
24,C024,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED43,LIGHTGBM,43,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
25,C025,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED44,XGBOOST,44,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
26,C026,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED44,LIGHTGBM,44,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
27,C027,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED45,XGBOOST,45,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
28,C028,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED45,LIGHTGBM,45,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
29,C029,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED46,XGBOOST,46,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
30,C030,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED46,LIGHTGBM,46,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
31,C031,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::XGBOOST::SEED42,XGBOOST,42,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,REUSE_EXISTING,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
32,C032,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::LIGHTGBM::SEED42,LIGHTGBM,42,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,REUSE_EXISTING,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
33,C033,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::XGBOOST::SEED43,XGBOOST,43,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
34,C034,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::LIGHTGBM::SEED43,LIGHTGBM,43,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
35,C035,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::XGBOOST::SEED44,XGBOOST,44,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
36,C036,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::LIGHTGBM::SEED44,LIGHTGBM,44,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
37,C037,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::XGBOOST::SEED45,XGBOOST,45,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
38,C038,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::LIGHTGBM::SEED45,LIGHTGBM,45,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
39,C039,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::XGBOOST::SEED46,XGBOOST,46,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
40,C040,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::LIGHTGBM::SEED46,LIGHTGBM,46,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
41,C041,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::XGBOOST::SEED42,XGBOOST,42,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,REUSE_EXISTING,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
42,C042,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::LIGHTGBM::SEED42,LIGHTGBM,42,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,REUSE_EXISTING,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
43,C043,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::XGBOOST::SEED43,XGBOOST,43,CPU,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,NEW_FIT_AUTHORIZED,CICIDS2017_STAGE24_FLAG_CORRECTED_STAGE27_FLOAT32_GLOBAL,6f4bf806ed3b1d0cf3520c9e95888c5279e18bbf3f3c9dc1c04fbc42f1fa9630,c303a01a12657284cbc7269a34464b9f037b5a6feb9fac8d790452a504b76344,/kaggle/working/stage28_1c_runtime_cache/cicids2017/global_features_float32.npy
