holdout_position,original_row_index,y_true,original_attack_label,xgboost_probability,xgboost_prediction_t051,xgboost_outcome,lightgbm_probability,lightgbm_prediction_t026,lightgbm_outcome,Dst Port,Protocol,Flow Duration,Init Fwd Win Byts,Fwd Seg Size Min,Fwd Pkt Len Max,RST Flag Cnt,_threshold_distance,selection_reason,selected_for_model,selected_for_model_display,selected_outcome,selected_model_threshold,within_group_rank,_quantile_distance,case_id,selected_model_probability,selected_model_prediction,other_model_probability,models_disagree
25565,151228,0,Benign,0.5103538036346436,1,FP,0.5426987160525927,1,FP,51857,6,4,172,20,0,0,0.0003538036346435458,nearest_threshold_1,xgboost,XGBoost,FP,0.51,1,,XGBOOST_FP_01,0.5103538036346436,1,0.5426987160525927,False
52054,193176,0,Benign,0.511094331741333,1,FP,0.692571746602797,1,FP,3389,6,11029088,8192,20,110,1,0.001094331741332999,nearest_threshold_2,xgboost,XGBoost,FP,0.51,2,,XGBOOST_FP_02,0.511094331741333,1,0.692571746602797,False
42992,10832,0,Benign,0.5326696038246155,1,FP,0.5942153898014139,1,FP,443,6,1460613,8192,28,0,1,,probability_q10,xgboost,XGBoost,FP,0.51,3,6.0474872589089124e-05,XGBOOST_FP_03,0.5326696038246155,1,0.5942153898014139,False
9326,231804,0,Benign,0.5609647631645203,1,FP,0.6248177377987835,1,FP,443,6,56498,8192,20,202,1,,probability_q25,xgboost,XGBoost,FP,0.51,4,9.489059448242188e-05,XGBOOST_FP_04,0.5609647631645203,1,0.6248177377987835,False
8430,156736,0,Benign,0.6459057331085205,1,FP,0.5474129756395277,1,FP,53785,6,9500002,219,20,976,0,,probability_q50,xgboost,XGBoost,FP,0.51,5,0.0,XGBOOST_FP_05,0.6459057331085205,1,0.5474129756395277,False
34040,277049,0,Benign,0.7452782988548279,1,FP,0.7355591835789508,1,FP,445,6,453065,8192,20,106,1,,probability_q75,xgboost,XGBoost,FP,0.51,6,0.0005577802658081055,XGBOOST_FP_06,0.7452782988548279,1,0.7355591835789508,False
50408,222135,0,Benign,0.8338850140571594,1,FP,0.804559175994088,1,FP,54515,6,61,127,20,0,0,,probability_q90,xgboost,XGBoost,FP,0.51,7,0.0006803154945373979,XGBOOST_FP_07,0.8338850140571594,1,0.804559175994088,False
25964,208574,0,Benign,0.9826179146766664,1,FP,0.993992101809064,1,FP,80,6,172832,26883,32,217,0,,maximum_prediction_confidence,xgboost,XGBoost,FP,0.51,8,,XGBOOST_FP_08,0.9826179146766664,1,0.993992101809064,False
16899,90384,0,Benign,0.5071947574615479,0,TN,0.5007765943540305,1,FP,51936,6,5881086,62,20,31,0,0.0028052425384521573,nearest_threshold_1,xgboost,XGBoost,TN,0.51,1,,XGBOOST_TN_01,0.5071947574615479,0,0.5007765943540305,True
6344,28367,0,Benign,0.5056775212287903,0,TN,0.4770062973321324,1,FP,445,6,30,0,20,0,0,0.004322478771209726,nearest_threshold_2,xgboost,XGBoost,TN,0.51,2,,XGBOOST_TN_02,0.5056775212287903,0,0.4770062973321324,True
35791,16604,0,Benign,3.790717892115936e-05,0,TN,8.944385957404628e-05,0,TN,57880,6,8400,65535,20,935,1,,probability_q10,xgboost,XGBoost,TN,0.51,3,0.0,XGBOOST_TN_03,3.790717892115936e-05,0,8.944385957404628e-05,False
19573,69089,0,Benign,0.0005546094034798,0,TN,0.0007546238431376,0,TN,80,6,5219674,8192,20,97,0,,probability_q25,xgboost,XGBoost,TN,0.51,4,0.0,XGBOOST_TN_04,0.0005546094034798,0,0.0007546238431376,False
18551,252014,0,Benign,0.0200581271201372,0,TN,0.0260858491558366,0,TN,3389,6,2342244,8192,20,661,1,,probability_q50,xgboost,XGBoost,TN,0.51,5,0.0,XGBOOST_TN_05,0.0200581271201372,0,0.0260858491558366,False
37389,177557,0,Benign,0.1097319051623344,0,TN,0.0878405259066174,0,TN,445,6,874366,8192,20,103,0,,probability_q75,xgboost,XGBoost,TN,0.51,6,0.0,XGBOOST_TN_06,0.1097319051623344,0,0.0878405259066174,False
14156,78079,0,Benign,0.188480257987976,0,TN,0.1818069511483499,0,TN,53,17,861,-1,8,32,0,,probability_q90,xgboost,XGBoost,TN,0.51,7,0.0,XGBOOST_TN_07,0.188480257987976,0,0.1818069511483499,False
15521,18426,0,Benign,1.628766221983824e-05,0,TN,8.413397375346248e-05,0,TN,57243,6,1261,65535,20,935,1,,maximum_prediction_confidence,xgboost,XGBoost,TN,0.51,8,,XGBOOST_TN_08,1.628766221983824e-05,0,8.413397375346248e-05,False
46731,227796,1,Infilteration,0.5103386640548706,1,TP,0.5481441564279871,1,TP,3389,6,1906784,8192,20,677,1,0.0003386640548705966,nearest_threshold_1,xgboost,XGBoost,TP,0.51,1,,XGBOOST_TP_01,0.5103386640548706,1,0.5481441564279871,False
49394,67355,1,Infilteration,0.5106698274612427,1,TP,0.4105799126950557,1,TP,53474,6,1,2239,20,0,0,0.0006698274612426669,nearest_threshold_2,xgboost,XGBoost,TP,0.51,2,,XGBOOST_TP_02,0.5106698274612427,1,0.4105799126950557,False
33999,271160,1,Infilteration,0.998641312122345,1,TP,0.9933031194669308,1,TP,9103,6,216,1024,24,0,0,,probability_q10,xgboost,XGBoost,TP,0.51,3,5.006790161354857e-07,XGBOOST_TP_03,0.998641312122345,1,0.9933031194669308,False
2427,241019,1,DDOS attack-HOIC,0.9993438124656676,1,TP,0.9991706284076476,1,TP,80,6,26822,32738,20,0,0,,probability_q25,xgboost,XGBoost,TP,0.51,4,0.0,XGBOOST_TP_04,0.9993438124656676,1,0.9991706284076476,False
14055,178614,1,DoS attacks-GoldenEye,0.999765932559967,1,TP,0.9997178842155584,1,TP,80,6,5002964,26883,32,420,0,,probability_q50,xgboost,XGBoost,TP,0.51,5,5.960464477539063e-08,XGBOOST_TP_05,0.999765932559967,1,0.9997178842155584,False
5,136010,1,DoS attacks-SlowHTTPTest,0.9998605251312256,1,TP,0.999762365904194,1,TP,21,6,3,26883,40,0,0,,probability_q75,xgboost,XGBoost,TP,0.51,6,0.0,XGBOOST_TP_06,0.9998605251312256,1,0.999762365904194,False
23,86492,1,DoS attacks-SlowHTTPTest,0.9998977184295654,1,TP,0.9997706651919208,1,TP,21,6,2,26883,40,0,0,,probability_q90,xgboost,XGBoost,TP,0.51,7,0.0,XGBOOST_TP_07,0.9998977184295654,1,0.9997706651919208,False
61,10591,1,FTP-BruteForce,0.9998977184295654,1,TP,0.9997706651919208,1,TP,21,6,2,26883,40,0,0,,maximum_prediction_confidence,xgboost,XGBoost,TP,0.51,8,,XGBOOST_TP_08,0.9998977184295654,1,0.9997706651919208,False
