shared_case_id,holdout_position,original_row_index,y_true,expected_xgboost_probability,wrapped_xgboost_probability,xgboost_absolute_difference,expected_lightgbm_probability,wrapped_lightgbm_probability,lightgbm_absolute_difference
SHARED_021,10818,149398,1,0.9993391633033752,0.9993391633033752,0.0,0.9990738048721938,0.9990738048721938,0.0
SHARED_022,12198,41597,1,0.2644862532615661,0.26448625326156616,5.551115123125783e-17,0.2597600999905713,0.25976009999057137,5.551115123125783e-17
SHARED_023,12281,137095,0,0.1559891104698181,0.15598911046981812,2.7755575615628914e-17,0.1632950726857324,0.16329507268573243,2.7755575615628914e-17
SHARED_024,12307,207689,1,0.1070336028933525,0.10703360289335251,1.3877787807814457e-17,0.1019459144548,0.10194591445480003,2.7755575615628914e-17
SHARED_025,14055,178614,1,0.999765932559967,0.999765932559967,0.0,0.9997178842155584,0.9997178842155585,1.1102230246251565e-16
SHARED_026,14156,78079,0,0.188480257987976,0.18848025798797607,8.326672684688674e-17,0.1818069511483499,0.1818069511483499,0.0
SHARED_027,15521,18426,0,1.628766221983824e-05,1.628766221983824e-05,0.0,8.413397375346248e-05,8.413397375346248e-05,0.0
SHARED_028,16327,219756,1,0.358563095331192,0.358563095331192,0.0,0.2601487104406969,0.26014871044069693,5.551115123125783e-17
SHARED_029,16899,90384,0,0.5071947574615479,0.5071947574615479,0.0,0.5007765943540305,0.5007765943540305,0.0
SHARED_030,18551,252014,0,0.0200581271201372,0.020058127120137215,1.3877787807814457e-17,0.0260858491558366,0.026085849155836654,5.551115123125783e-17
SHARED_031,19573,69089,0,0.0005546094034798,0.0005546094034798443,4.434386885465713e-17,0.0007546238431376,0.0007546238431376482,4.8138576458356397e-17
SHARED_032,19597,215914,1,0.1067861765623092,0.10678617656230927,6.938893903907228e-17,0.1446398113962431,0.14463981139624313,2.7755575615628914e-17
SHARED_033,19763,203782,1,0.999817430973053,0.999817430973053,0.0,0.9996342268398802,0.9996342268398802,0.0
SHARED_034,19778,102164,1,0.3673757016658783,0.3673757016658783,0.0,0.3798501134633407,0.3798501134633407,0.0
SHARED_035,19993,152357,0,0.1043024510145187,0.10430245101451874,4.163336342344337e-17,0.1028689354694556,0.10286893546945569,9.71445146547012e-17
SHARED_036,20775,143524,1,0.2416278570890426,0.24162785708904266,5.551115123125783e-17,0.2601225640627319,0.2601225640627319,0.0
SHARED_037,24758,49988,0,0.1616310030221939,0.1616310030221939,0.0,0.2599245732671515,0.2599245732671515,0.0
SHARED_038,25565,151228,0,0.5103538036346436,0.5103538036346436,0.0,0.5426987160525927,0.5426987160525927,0.0
SHARED_039,25783,44186,0,0.0199619010090827,0.019961901009082794,9.367506770274758e-17,0.0164838176751421,0.016483817675142173,7.28583859910259e-17
SHARED_040,25964,208574,0,0.9826179146766664,0.9826179146766663,1.1102230246251565e-16,0.993992101809064,0.993992101809064,0.0
SHARED_041,26067,142842,1,0.2206006944179535,0.2206006944179535,0.0,0.1874689490783526,0.18746894907835268,8.326672684688674e-17
SHARED_042,28639,41368,1,0.0030615869909524,0.0030615869909524918,9.194034422677078e-17,0.0034202452541393,0.003420245254139396,9.584347204771859e-17
SHARED_043,33999,271160,1,0.998641312122345,0.998641312122345,0.0,0.9933031194669308,0.9933031194669308,0.0
SHARED_044,34040,277049,0,0.7452782988548279,0.7452782988548279,0.0,0.7355591835789508,0.7355591835789508,0.0
SHARED_045,35791,16604,0,3.790717892115936e-05,3.790717892115936e-05,0.0,8.944385957404628e-05,8.944385957404628e-05,0.0
SHARED_046,37054,48183,0,3.774485230678693e-05,3.7744852306786925e-05,6.776263578034403e-21,9.360742243696166e-05,9.360742243696166e-05,0.0
SHARED_047,37389,177557,0,0.1097319051623344,0.10973190516233444,4.163336342344337e-17,0.0878405259066174,0.08784052590661745,5.551115123125783e-17
SHARED_048,42992,10832,0,0.5326696038246155,0.5326696038246155,0.0,0.5942153898014139,0.5942153898014139,0.0
SHARED_049,44825,108836,0,0.3022176027297973,0.30221760272979736,5.551115123125783e-17,0.2967551870292779,0.29675518702927794,5.551115123125783e-17
SHARED_050,45034,30236,1,0.1745581030845642,0.1745581030845642,0.0,0.1362483994118977,0.13624839941189776,5.551115123125783e-17
SHARED_051,46474,25626,0,0.3489459753036499,0.3489459753036499,0.0,0.2601407421303954,0.26014074213039545,5.551115123125783e-17
SHARED_052,46731,227796,1,0.5103386640548706,0.5103386640548706,0.0,0.5481441564279871,0.5481441564279871,0.0
SHARED_053,49394,67355,1,0.5106698274612427,0.5106698274612427,0.0,0.4105799126950557,0.4105799126950557,0.0
SHARED_054,49987,209138,1,0.0717310160398483,0.07173101603984833,2.7755575615628914e-17,0.0682715655686743,0.06827156556867431,1.3877787807814457e-17
SHARED_055,50408,222135,0,0.8338850140571594,0.8338850140571594,0.0,0.804559175994088,0.804559175994088,0.0
SHARED_056,52054,193176,0,0.511094331741333,0.511094331741333,0.0,0.692571746602797,0.692571746602797,0.0
SHARED_057,55207,175494,1,0.5090927481651306,0.5090927481651306,0.0,0.4678331141949172,0.4678331141949172,0.0
SHARED_058,56541,253699,0,0.3316876292228699,0.3316876292228699,0.0,0.4176848479411818,0.4176848479411818,0.0
SHARED_059,57890,136758,1,0.5097176432609558,0.5097176432609558,0.0,0.6854490292701486,0.6854490292701486,0.0
SHARED_060,60112,27306,0,0.5454472899436951,0.5454472899436951,0.0,0.5392866407602213,0.5392866407602213,0.0
