disagreement_case_id,model,model_display,explanation_seed,holdout_position,original_row_index,y_true,attack_category,threshold,model_probability_attack,model_prediction,model_outcome,local_surrogate_prediction,fidelity_absolute_gap,local_surrogate_r2,intercept_attack,num_samples,num_features_requested,num_terms_returned,positive_weight_sum,negative_weight_sum,top_positive_condition,top_positive_weight,top_negative_condition,top_negative_weight,terms_csv_path,html_path,figure_path
DISAGREE_06,lightgbm,LightGBM,130505,31104,77342,0,Benign,0.26,0.5184144651378136,1,FP,0.1657759523443157,0.35263851279349795,0.17275053933251594,0.5454201661853446,5000,15,15,0.16195595738484067,-0.5416001712258695,Fwd Pkt Len Max <= 0.00,0.06030579611227702,Fwd Seg Size Min <= 20.00,-0.1087014295915769,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_06_lightgbm_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_06_lightgbm_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_06_lightgbm_lime.png
DISAGREE_06,xgboost,XGBoost,130505,31104,77342,0,Benign,0.51,0.08000002056360245,0,TN,0.19559053892890205,0.1155905183652996,0.1941879086964473,0.49144787924994715,5000,15,15,0.3109653987908255,-0.6068227391118707,Fwd URG Flags <= 0.00,0.1230352303790817,RST Flag Cnt <= 0.00,-0.17754167586692965,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_06_xgboost_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_06_xgboost_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_06_xgboost_lime.png
DISAGREE_07,lightgbm,LightGBM,130506,53863,45470,1,Infilteration,0.26,0.2672456872982205,1,TP,0.20341178828744544,0.06383389901077507,0.18887836955960413,0.7642098762848217,5000,15,15,0.16630344828380883,-0.727101536281185,Init Fwd Win Byts <= 219.00,0.08910361505732024,ECE Flag Cnt <= 0.00,-0.11251166632297752,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_07_lightgbm_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_07_lightgbm_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_07_lightgbm_lime.png
DISAGREE_07,xgboost,XGBoost,130506,53863,45470,1,Infilteration,0.51,0.4837058186531067,0,FN,0.2493840527781771,0.2343217658749296,0.15955005564138824,0.6577268016741973,5000,15,15,0.19323870108202593,-0.6015814499780461,CWE Flag Count <= 0.00,0.052879870042407386,RST Flag Cnt <= 0.00,-0.17810185109282745,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_07_xgboost_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_07_xgboost_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_07_xgboost_lime.png
DISAGREE_08,lightgbm,LightGBM,130507,49621,139680,1,Infilteration,0.26,0.2629131365136174,1,TP,0.19864043192032926,0.06427270459328815,0.2732097943044919,0.5624459760605596,5000,15,15,0.3801748851742922,-0.7439804293145226,Fwd URG Flags <= 0.00,0.11873951459446316,Fwd Pkt Len Max > 436.00,-0.12080907042411894,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_08_lightgbm_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_08_lightgbm_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_08_lightgbm_lime.png
DISAGREE_08,xgboost,XGBoost,130507,49621,139680,1,Infilteration,0.51,0.44532081484794617,0,FN,0.24487001646821338,0.2004507983797328,0.28271875377832745,0.5632858160610402,5000,15,15,0.4034137567976888,-0.7218295563905156,TotLen Fwd Pkts > 777.00,0.08038235107976642,RST Flag Cnt <= 0.00,-0.17753027129186907,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_08_xgboost_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_08_xgboost_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_08_xgboost_lime.png
DISAGREE_09,lightgbm,LightGBM,130508,59200,247974,1,Brute Force -Web,0.26,0.31126687689255444,1,TP,0.1973224873333334,0.11394438955922104,0.297180038414842,0.4160375393080191,5000,15,15,0.3843851932124936,-0.6031002451871794,Subflow Fwd Byts > 777.00,0.09977905732937233,Fwd Pkt Len Max > 436.00,-0.12742028701232014,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_09_lightgbm_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_09_lightgbm_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_09_lightgbm_lime.png
DISAGREE_09,xgboost,XGBoost,130508,59200,247974,1,Brute Force -Web,0.51,0.4868808388710022,0,FN,0.25599054917497943,0.23089028969602277,0.2798228748191436,0.5956084116588535,5000,15,15,0.3577353999283316,-0.6973532624122057,TotLen Fwd Pkts > 777.00,0.08551481932193625,RST Flag Cnt <= 0.00,-0.17045640544671045,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_09_xgboost_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_09_xgboost_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_09_xgboost_lime.png
DISAGREE_10,lightgbm,LightGBM,130509,14476,218195,1,Infilteration,0.26,0.8946649828780958,1,TP,0.33071311041809226,0.5639518724600036,0.23177052590652836,0.46534546530370724,5000,15,15,0.3435768496289295,-0.47820920451454446,Fwd Seg Size Min > 32.00,0.17757666787199589,ECE Flag Cnt <= 0.00,-0.12546979387633095,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_10_lightgbm_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_10_lightgbm_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_10_lightgbm_lime.png
DISAGREE_10,xgboost,XGBoost,130509,14476,218195,1,Infilteration,0.51,0.41593611240386963,0,FN,0.29045340066312847,0.12548271174074116,0.1690404718905948,0.6789256602245577,5000,15,15,0.26778341870477895,-0.6562556782662081,Fwd URG Flags <= 0.00,0.06267486839328107,RST Flag Cnt <= 0.00,-0.1868295364979302,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_10_xgboost_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_10_xgboost_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_10_xgboost_lime.png
DISAGREE_11,lightgbm,LightGBM,130510,55830,22327,1,Infilteration,0.26,0.20817075540176824,0,FN,0.42963376596964054,0.2214630105678723,0.2814292036777424,0.44535071273586074,5000,15,15,0.5232489831319709,-0.5389659298981911,ECE Flag Cnt > 0.00,0.11809986349261617,Fwd Pkt Len Max > 436.00,-0.12225209965506441,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_11_lightgbm_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_11_lightgbm_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_11_lightgbm_lime.png
DISAGREE_11,xgboost,XGBoost,130510,55830,22327,1,Infilteration,0.51,0.5706228017807007,1,TP,0.5501928059107879,0.020429995869912787,0.2832960687115378,0.45451080156968804,5000,15,15,0.5891110369222992,-0.49342903258119925,RST Flag Cnt > 0.00,0.1800677197241735,FIN Flag Cnt <= 0.00,-0.12051720779377528,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_11_xgboost_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_11_xgboost_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_11_xgboost_lime.png
DISAGREE_12,lightgbm,LightGBM,130511,39725,207990,1,Infilteration,0.26,0.655675835830698,1,TP,0.3475330512886653,0.3081427845420327,0.18881889344779046,0.26374948768748835,5000,15,15,0.47858066367918317,-0.3947971000780063,ECE Flag Cnt > 0.00,0.10906869457553113,Fwd Seg Size Min <= 20.00,-0.10617167729177444,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_12_lightgbm_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_12_lightgbm_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_12_lightgbm_lime.png
DISAGREE_12,xgboost,XGBoost,130511,39725,207990,1,Infilteration,0.51,0.33467897772789,0,FN,0.3771600367764003,0.042481059048510295,0.20890146455576752,0.38890804153717284,5000,15,15,0.4854463847084684,-0.4971943894692409,RST Flag Cnt > 0.00,0.1651556987625644,CWE Flag Count <= 0.00,-0.14689562893090408,/kaggle/working/stage13_lime/tables/disagreement_cases/DISAGREE_12_xgboost_lime_terms.csv,/kaggle/working/stage13_lime/html/disagreement_cases/DISAGREE_12_xgboost_lime.html,/kaggle/working/stage13_lime/figures/disagreement_cases/DISAGREE_12_xgboost_lime.png
