disagreement_case_id,model,model_display,y_true,attack_category,model_probability,model_prediction,model_outcome,replicates,decision_agreement_rate,mean_local_r2,median_local_r2,minimum_local_r2,local_r2_standard_deviation,mean_fidelity_gap,median_fidelity_gap,maximum_fidelity_gap,fidelity_gap_standard_deviation,local_prediction_standard_deviation,pairwise_comparisons,mean_top5_jaccard,minimum_top5_jaccard,mean_top10_jaccard,minimum_top10_jaccard,mean_top15_jaccard,minimum_top15_jaccard,mean_weight_cosine,minimum_weight_cosine,mean_shared_sign_agreement,minimum_shared_sign_agreement,mean_absolute_weight_spearman,high_stability_pair_rate,moderate_or_high_pair_rate,total_unique_selected_features,features_selected_in_all_seeds,features_selected_in_at_least_four_seeds,operational_case_stability_class
DISAGREE_06,lightgbm,LightGBM,0,Benign,0.5184144651378136,1,FP,5,1.0,0.3255293225233776,0.32687363123135516,0.3136355208905163,0.007110586265477478,0.11300263069139167,0.11321799557986872,0.11577444582758734,0.0029544924950817503,0.0029544924950817256,10,0.8,0.6666666666666666,1.0,1.0,0.7919117647058823,0.6666666666666666,0.9927362979337223,0.988558512159785,1.0,1.0,0.8880769744754776,1.0,1.0,19,12,13,High
DISAGREE_06,xgboost,XGBoost,0,Benign,0.08000002056360245,0,TN,5,1.0,0.18591345021862168,0.18739496206785244,0.17599174315780985,0.007724397128851607,0.26885443386995816,0.2684342988620351,0.2707737946367201,0.0015649162940232077,0.0015649162940232077,10,0.6285714285714286,0.42857142857142855,0.806060606060606,0.6666666666666666,0.7254901960784312,0.6666666666666666,0.9572429721631963,0.9190487186394254,1.0,1.0,0.8411546171321662,0.8,1.0,22,11,13,High
DISAGREE_07,lightgbm,LightGBM,1,Infilteration,0.2672456872982205,1,TP,5,1.0,0.2763446849763721,0.27480482766574443,0.27320592941115796,0.003824202001698722,0.2214424100279797,0.22173829404699047,0.22296509685394333,0.001288612988220679,0.001288612988220679,10,1.0,1.0,0.8575757575757577,0.6666666666666666,0.9014705882352942,0.7647058823529411,0.9863640107482521,0.96838380563093,1.0,1.0,0.942712815715622,0.9,1.0,17,13,15,High
DISAGREE_07,xgboost,XGBoost,1,Infilteration,0.4837058186531067,0,FN,5,1.0,0.15730353139486744,0.1574080613618536,0.14952108423678956,0.005297127924050813,0.04648558881118124,0.04585162278464139,0.04801564136964709,0.0012152099752852604,0.0012152099752852528,10,0.8666666666666666,0.6666666666666666,0.7727272727272727,0.6666666666666666,0.6709881320949432,0.5789473684210527,0.9423820514680138,0.9041971289499109,1.0,1.0,0.7969798209274355,0.7,1.0,23,10,12,High
DISAGREE_08,lightgbm,LightGBM,1,Infilteration,0.2629131365136174,1,TP,5,1.0,0.3923134238946844,0.3914272412955929,0.3846908772968356,0.00551006092939988,0.03560063137433924,0.0357473029717183,0.03987228419086325,0.002998610755815873,0.0029986107558158666,10,1.0,1.0,0.8727272727272728,0.8181818181818182,0.7683823529411764,0.6666666666666666,0.9961476774293333,0.994133089310947,0.9928571428571429,0.9285714285714286,0.8753441133235332,1.0,1.0,20,12,12,High
DISAGREE_08,xgboost,XGBoost,1,Infilteration,0.44532081484794617,0,FN,5,1.0,0.23700557568361083,0.2373449758502929,0.23198752941364864,0.0032960069397204687,0.20689093363953243,0.2057913872191573,0.2113291984445988,0.0024961046195030962,0.0024961046195030962,10,0.8,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.8088235294117647,0.7647058823529411,0.9816171409560525,0.9719281999124375,1.0,1.0,0.8892903915541895,0.4,1.0,20,13,13,Moderate
DISAGREE_09,lightgbm,LightGBM,1,Brute Force -Web,0.31126687689255444,1,TP,5,1.0,0.29485593561490564,0.296886115821269,0.28353657098729823,0.006459438663716151,0.03971433170252124,0.03950901712434568,0.04323111660156809,0.0023139107386723388,0.002313910738672342,10,0.7666666666666666,0.6666666666666666,0.7606060606060606,0.6666666666666666,0.626625386996904,0.5,0.9908337605560769,0.9855279109084996,0.9483682983682984,0.9090909090909091,0.77088868101029,0.5,1.0,22,9,10,High
DISAGREE_09,xgboost,XGBoost,1,Brute Force -Web,0.4868808388710022,0,FN,5,1.0,0.13660473484708396,0.13582614871170873,0.13317491645107127,0.002758587713206634,0.1540944860227733,0.1541886563893866,0.15542919018058854,0.0013094020924505512,0.001309402092450542,10,0.8666666666666666,0.6666666666666666,0.7575757575757576,0.6666666666666666,0.747549019607843,0.6666666666666666,0.9757757943342282,0.9543661297007187,0.9370879120879121,0.9166666666666666,0.8544434050514498,0.6,1.0,20,10,14,High
DISAGREE_10,lightgbm,LightGBM,1,Infilteration,0.8946649828780958,1,TP,5,1.0,0.45381444363880374,0.45152899521910184,0.44440898153784403,0.008116371106391684,0.4674697739578533,0.4685450930773447,0.46978057001622137,0.0025101938994564867,0.0025101938994564867,10,1.0,1.0,0.6328671328671328,0.5384615384615384,0.6403508771929824,0.5789473684210527,0.9959029036108344,0.9936175707842504,1.0,1.0,0.7761325671522117,0.2,1.0,21,9,10,Moderate
DISAGREE_10,xgboost,XGBoost,1,Infilteration,0.41593611240386963,0,FN,5,1.0,0.2413233916780504,0.23895485402885908,0.23631189464198732,0.005742190467689147,0.056220291579298566,0.056447114888810046,0.05932031766208523,0.0022377617732488447,0.0022377617732488434,10,0.7333333333333333,0.6666666666666666,0.8545454545454547,0.8181818181818182,0.7794117647058824,0.6666666666666666,0.9870891944073014,0.9809799211976262,1.0,1.0,0.8808392356006948,1.0,1.0,20,12,13,High
DISAGREE_11,lightgbm,LightGBM,1,Infilteration,0.20817075540176824,0,FN,5,0.0,0.3745183052053586,0.3738571285722989,0.3679002355264648,0.008098554074388488,0.19362994082047474,0.19374528405070332,0.1961865242050885,0.0018990063243135263,0.0018990063243135378,10,0.7666666666666666,0.6666666666666666,0.5915750915750915,0.42857142857142855,0.6474587203302373,0.5,0.9917273806749112,0.9888448536659703,0.9760739260739261,0.9090909090909091,0.7600587999465455,0.0,0.9,23,9,12,Moderate
DISAGREE_11,xgboost,XGBoost,1,Infilteration,0.5706228017807007,1,TP,5,0.0,0.24042805056974864,0.23869830982476803,0.2302137463057855,0.008599459398994898,0.1712805667389433,0.17015866741110225,0.17688665240984724,0.0036487467448707224,0.003648746744870726,10,0.8666666666666666,0.6666666666666666,0.6177156177156177,0.5384615384615384,0.6785345717234261,0.5789473684210527,0.9605302700694797,0.9350805627715918,0.9582167832167832,0.9090909090909091,0.7881277562474943,0.1,1.0,23,9,14,Moderate
DISAGREE_12,lightgbm,LightGBM,1,Infilteration,0.655675835830698,1,TP,5,1.0,0.38515928435896873,0.38676470285338405,0.37612227293599965,0.005152869527007282,0.10193839629481319,0.10134223032811651,0.1052474611658143,0.002141776126415768,0.0021417761264157513,10,0.8666666666666666,0.6666666666666666,0.5252747252747253,0.3333333333333333,0.6035677428866284,0.42857142857142855,0.9908927698232608,0.9835775803295954,0.9497668997668998,0.9090909090909091,0.7137404784177469,0.0,0.5,24,8,12,Moderate
DISAGREE_12,xgboost,XGBoost,1,Infilteration,0.33467897772789,0,FN,5,1.0,0.3053249546600938,0.3085129255340969,0.2962125922780511,0.006145829320963216,0.026978927492520777,0.027066249322115266,0.02785785316062761,0.0008800491516538159,0.0008800491516538247,10,0.8,0.6666666666666666,0.806060606060606,0.6666666666666666,0.709171826625387,0.5789473684210527,0.9929968804614017,0.9908502229975804,0.9677405927405929,0.9090909090909091,0.8290151008953629,0.8,1.0,22,11,12,High
