component_ordinal,component_id,arm,experiment,unit,evaluation_cell_id,learner,configuration_id,model_seed,compute_backend,fit_action,fit_ordinal_if_new,parameter_sha256,model_evidence_path,model_sha256,stage28_result_evidence_path,ledger_evidence_path,closure_status
11,C011,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED42,XGBOOST,XGB_11,42,CPU,NEW_FIT_AUTHORIZED,2,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a2_chronological_natural_seed42/chronological_natural_seed42_xgboost_cpu_model.json,fc8996214440368a00f6b008128e8c116b8dc2c6dab80e1584ca8e742fd49a57,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a2_chronological_natural_seed42/stage28_2a2_chronological_natural_seed42_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a2_chronological_natural_seed42/stage28_2a2_fit_ledger.json,PASS
12,C012,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED42,LIGHTGBM,LGBM_11,42,CPU,REUSE_EXISTING,,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage22r_training/stage22r_2c_chronological_natural/chronological_natural_lightgbm_model.txt,7be4c610814e45be2e315996969d2e2f404a3ada14866b21a731e4382fdc18b8,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a2_chronological_natural_seed42/stage28_2a2_chronological_natural_seed42_result.json,,PASS
13,C013,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED43,XGBOOST,XGB_11,43,CPU,NEW_FIT_AUTHORIZED,5,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a4_chronological_natural_seed43/chronological_natural_seed43_xgboost_cpu_model.json,ab14e0fc41fe94a7123d220f160b4ee4d6b469d46a9a07c03e028a7e710bea14,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a4_chronological_natural_seed43/stage28_2a4_chronological_natural_seed43_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a4_chronological_natural_seed43/stage28_2a4_fit_ledger.json,PASS
14,C014,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED43,LIGHTGBM,LGBM_11,43,CPU,NEW_FIT_AUTHORIZED,6,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a4_chronological_natural_seed43/chronological_natural_seed43_lightgbm_cpu_model.txt,00f2ea97707ec5b9e39027fe782cd7db99447d6c0c1635cc55123a9abfb54581,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a4_chronological_natural_seed43/stage28_2a4_chronological_natural_seed43_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a4_chronological_natural_seed43/stage28_2a4_fit_ledger.json,PASS
15,C015,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED44,XGBOOST,XGB_11,44,CPU,NEW_FIT_AUTHORIZED,9,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a6_chronological_natural_seed44/chronological_natural_seed44_xgboost_cpu_model.json,91bfd779efa4e4eac394c688dc2c06c9766f1f47e6fcb601086ea71b5b9db1c1,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a6_chronological_natural_seed44/stage28_2a6_chronological_natural_seed44_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a6_chronological_natural_seed44/stage28_2a6_chronological_natural_seed44_fit_ledger.json,PASS
16,C016,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED44,LIGHTGBM,LGBM_11,44,CPU,NEW_FIT_AUTHORIZED,10,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a6_chronological_natural_seed44/chronological_natural_seed44_lightgbm_cpu_model.txt,fda1c7f04f7b7794e264b9c51755bbed97752b959c74f590559e84a1273c3990,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a6_chronological_natural_seed44/stage28_2a6_chronological_natural_seed44_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a6_chronological_natural_seed44/stage28_2a6_chronological_natural_seed44_fit_ledger.json,PASS
17,C017,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED45,XGBOOST,XGB_11,45,CPU,NEW_FIT_AUTHORIZED,13,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a8_chronological_natural_seed45/chronological_natural_seed45_xgboost_cpu_model.json,7b29934f06c0e29bffe4d95729634d6bfbd9980fa2cfc8da0ba9da430715f7de,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a8_chronological_natural_seed45/stage28_2a8_chronological_natural_seed45_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a8_chronological_natural_seed45/stage28_2a8_chronological_natural_seed45_fit_ledger.json,PASS
18,C018,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED45,LIGHTGBM,LGBM_11,45,CPU,NEW_FIT_AUTHORIZED,14,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a8_chronological_natural_seed45/chronological_natural_seed45_lightgbm_cpu_model.txt,1d5b1ffb0344b96a3a841c8dd3f97777219a7e4acf33a13675bfa5d991899541,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a8_chronological_natural_seed45/stage28_2a8_chronological_natural_seed45_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a8_chronological_natural_seed45/stage28_2a8_chronological_natural_seed45_fit_ledger.json,PASS
19,C019,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED46,XGBOOST,XGB_11,46,CPU,NEW_FIT_AUTHORIZED,17,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a10_chronological_natural_seed46/chronological_natural_seed46_xgboost_cpu_model.json,6138cc648393cc3576f22e41e45928efe2a6d55b4e10535f505f6556c49e2e3b,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a10_chronological_natural_seed46/stage28_2a10_chronological_natural_seed46_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a10_chronological_natural_seed46/stage28_2a10_chronological_natural_seed46_fit_ledger.json,PASS
20,C020,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED46,LIGHTGBM,LGBM_11,46,CPU,NEW_FIT_AUTHORIZED,18,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a10_chronological_natural_seed46/chronological_natural_seed46_lightgbm_cpu_model.txt,9f57664a7b8bea66067125bd19c1cc1b460b9f8ba4d1bb2fc7ca7b13cbfcf6e4,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a10_chronological_natural_seed46/stage28_2a10_chronological_natural_seed46_result.json,results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability/stage28_2a10_chronological_natural_seed46/stage28_2a10_chronological_natural_seed46_fit_ledger.json,PASS
21,C021,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED42,XGBOOST,XGB_11,42,CPU,REUSE_EXISTING,,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/BOT_XGBOOST_XGB_11.json,3d7b8747f911ae406894dbb07ec6870ceda91653e09792702b85e5777c5d43c9,,,PASS
22,C022,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED42,LIGHTGBM,LGBM_11,42,CPU,REUSE_EXISTING,,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/BOT_LIGHTGBM_LGBM_11.txt,3c273f00f7d8672c4efcdf2473b9c9c84487f5a63ad60c7abde854c2f3fbad3e,,,PASS
23,C023,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED43,XGBOOST,XGB_11,43,CPU,NEW_FIT_AUTHORIZED,19,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a11_bot_xgboost_seed43/bot_xgboost_seed43_cpu_model.json,3eda9722dc50b8056b9e1a951513d0b6153913c155f91aec02b8cae1006112a9,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a11_bot_xgboost_seed43/stage28_2a11_bot_xgboost_seed43_result.json,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a11_bot_xgboost_seed43/stage28_2a11_bot_xgboost_seed43_fit_ledger.json,PASS
24,C024,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED43,LIGHTGBM,LGBM_11,43,CPU,NEW_FIT_AUTHORIZED,20,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a12_bot_lightgbm_seed43/bot_lightgbm_seed43_cpu_model.txt,b6c1ae839e4143ec713ae93565e5b297b0d729019e6992c88dd53f61a4a723f4,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a12_bot_lightgbm_seed43/stage28_2a12_bot_lightgbm_seed43_result.json,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a12_bot_lightgbm_seed43/stage28_2a12_bot_lightgbm_seed43_fit_ledger.json,PASS
25,C025,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED44,XGBOOST,XGB_11,44,CPU,NEW_FIT_AUTHORIZED,21,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a13_bot_xgboost_seed44/bot_xgboost_seed44_cpu_model.json,8a84c304e4c510b7537fab4e3bcd1b0e224b84db381055aa6e9c0f2e55a1603c,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a13_bot_xgboost_seed44/stage28_2a13_bot_xgboost_seed44_result.json,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a13_bot_xgboost_seed44/stage28_2a13_bot_xgboost_seed44_fit_ledger.json,PASS
26,C026,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED44,LIGHTGBM,LGBM_11,44,CPU,NEW_FIT_AUTHORIZED,22,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a14_bot_lightgbm_seed44/bot_lightgbm_seed44_cpu_model.txt,5a67a35f25d39a19633f13c6c2d226f47ee65650b85e882869d988d16dfa3a6f,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a14_bot_lightgbm_seed44/stage28_2a14_bot_lightgbm_seed44_result.json,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a14_bot_lightgbm_seed44/stage28_2a14_bot_lightgbm_seed44_fit_ledger.json,PASS
27,C027,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED45,XGBOOST,XGB_11,45,CPU,NEW_FIT_AUTHORIZED,23,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a15_bot_xgboost_seed45/bot_xgboost_seed45_cpu_model.json,c12640aaaa1c8584558d41893cf7ff8694438eaac304d34b78d009765585e644,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a15_bot_xgboost_seed45/stage28_2a15_bot_xgboost_seed45_result.json,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a15_bot_xgboost_seed45/stage28_2a15_bot_xgboost_seed45_fit_ledger.json,PASS
28,C028,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED45,LIGHTGBM,LGBM_11,45,CPU,NEW_FIT_AUTHORIZED,24,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a16_bot_lightgbm_seed45/bot_lightgbm_seed45_cpu_model.txt,b100a69bd80f0d69c6e386a5eafd394e72a09fe0a5d4e687440221771f17e834,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a16_bot_lightgbm_seed45/stage28_2a16_bot_lightgbm_seed45_result.json,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a16_bot_lightgbm_seed45/stage28_2a16_bot_lightgbm_seed45_fit_ledger.json,PASS
29,C029,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED46,XGBOOST,XGB_11,46,CPU,NEW_FIT_AUTHORIZED,25,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a17_bot_xgboost_seed46/bot_xgboost_seed46_cpu_model.json,e0c05f06ba1ee027338fc8dbf3c2a4c75d2342b75f75d51c6918497c3f12b0f9,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a17_bot_xgboost_seed46/stage28_2a17_bot_xgboost_seed46_result.json,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a17_bot_xgboost_seed46/stage28_2a17_bot_xgboost_seed46_fit_ledger.json,PASS
30,C030,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED46,LIGHTGBM,LGBM_11,46,CPU,NEW_FIT_AUTHORIZED,26,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a18_bot_lightgbm_seed46/bot_lightgbm_seed46_cpu_model.txt,1c6aea94e9e85722ca3856aa782217f5b91a1001b146ff923f695e476a2ac5ff,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a18_bot_lightgbm_seed46/stage28_2a18_bot_lightgbm_seed46_result.json,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a18_bot_lightgbm_seed46/stage28_2a18_bot_lightgbm_seed46_fit_ledger.json,PASS
31,C031,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::XGBOOST::SEED42,XGBOOST,XGB_11,42,CPU,REUSE_EXISTING,,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/DDOS_XGBOOST_XGB_11.json,3d7b8747f911ae406894dbb07ec6870ceda91653e09792702b85e5777c5d43c9,,,PASS
32,C032,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::LIGHTGBM::SEED42,LIGHTGBM,LGBM_11,42,CPU,REUSE_EXISTING,,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/DDOS_LIGHTGBM_LGBM_11.txt,adb23a188d215acdbfd47002d4c3c5a6a236dae4cc0d4783fbffaaccaef21c44,,,PASS
33,C033,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::XGBOOST::SEED43,XGBOOST,XGB_11,43,CPU,NEW_FIT_AUTHORIZED,27,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a19_ddos_xgboost_seed43/ddos_xgboost_seed43_cpu_model.json,3eda9722dc50b8056b9e1a951513d0b6153913c155f91aec02b8cae1006112a9,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a19_ddos_xgboost_seed43/stage28_2a19_ddos_xgboost_seed43_result.json,results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a19_ddos_xgboost_seed43/stage28_2a19_ddos_xgboost_seed43_fit_ledger.json,PASS
