ledger_path,stage,pre_new_fits_consumed,successful_new_fits_this_ledger,cumulative_new_fits_consumed,new_fits_remaining,component_ids,status
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a27_infiltration_xgboost_seed43/stage28_2a27_infiltration_xgboost_seed43_fit_ledger.json,Stage28-2A27,34,1,35,73,C043,FIT_035_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a28_infiltration_lightgbm_seed43/stage28_2a28_infiltration_lightgbm_seed43_fit_ledger.json,Stage28-2A28,35,1,36,72,C044,FIT_036_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a29_infiltration_xgboost_seed44/stage28_2a29_infiltration_xgboost_seed44_fit_ledger.json,Stage28-2A29,36,1,37,71,C045,FIT_037_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a30_infiltration_lightgbm_seed44/stage28_2a30_infiltration_lightgbm_seed44_fit_ledger.json,Stage28-2A30,37,1,38,70,C046,FIT_038_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a31_infiltration_xgboost_seed45/stage28_2a31_infiltration_xgboost_seed45_fit_ledger.json,Stage28-2A31,38,1,39,69,C047,FIT_039_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a32_infiltration_lightgbm_seed45/stage28_2a32_infiltration_lightgbm_seed45_fit_ledger.json,Stage28-2A32,39,1,40,68,C048,FIT_040_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a33_infiltration_xgboost_seed46/stage28_2a33_infiltration_xgboost_seed46_fit_ledger.json,Stage28-2A33,40,1,41,67,C049,FIT_041_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a34_infiltration_lightgbm_seed46/stage28_2a34_infiltration_lightgbm_seed46_fit_ledger.json,Stage28-2A34,41,1,42,66,C050,FIT_042_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a35_port_scan_xgboost_seed43/stage28_2a35_port_scan_xgboost_seed43_fit_ledger.json,Stage28-2A35,42,1,43,65,C053,FIT_043_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a36_port_scan_lightgbm_seed43/stage28_2a36_port_scan_lightgbm_seed43_fit_ledger.json,Stage28-2A36,43,1,44,64,C054,FIT_044_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a37_port_scan_xgboost_seed44/stage28_2a37_port_scan_xgboost_seed44_fit_ledger.json,Stage28-2A37,44,1,45,63,C055,FIT_045_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a38_port_scan_lightgbm_seed44/stage28_2a38_port_scan_lightgbm_seed44_fit_ledger.json,Stage28-2A38,45,1,46,62,C056,FIT_046_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a39_port_scan_xgboost_seed45/stage28_2a39_port_scan_xgboost_seed45_fit_ledger.json,Stage28-2A39,46,1,47,61,C057,FIT_047_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a40_port_scan_lightgbm_seed45/stage28_2a40_port_scan_lightgbm_seed45_fit_ledger.json,Stage28-2A40,47,1,48,60,C058,FIT_048_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a41_port_scan_xgboost_seed46/stage28_2a41_port_scan_xgboost_seed46_fit_ledger.json,Stage28-2A41,48,1,49,59,C059,FIT_049_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a42_port_scan_lightgbm_seed46/stage28_2a42_port_scan_lightgbm_seed46_fit_ledger.json,Stage28-2A42,49,1,50,58,C060,FIT_050_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a43_web_attack_xgboost_seed43/stage28_2a43_web_attack_xgboost_seed43_fit_ledger.json,Stage28-2A43,50,1,51,57,C063,FIT_051_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a44_web_attack_lightgbm_seed43/stage28_2a44_web_attack_lightgbm_seed43_fit_ledger.json,Stage28-2A44,51,1,52,56,C064,FIT_052_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a45_web_attack_xgboost_seed44/stage28_2a45_web_attack_xgboost_seed44_fit_ledger.json,Stage28-2A45,52,1,53,55,C065,FIT_053_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a46_web_attack_lightgbm_seed44/stage28_2a46_web_attack_lightgbm_seed44_fit_ledger.json,Stage28-2A46,53,1,54,54,C066,FIT_054_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a47_web_attack_xgboost_seed45/stage28_2a47_web_attack_xgboost_seed45_fit_ledger.json,Stage28-2A47,54,1,55,53,C067,FIT_055_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a48_web_attack_lightgbm_seed45/stage28_2a48_web_attack_lightgbm_seed45_fit_ledger.json,Stage28-2A48,55,1,56,52,C068,FIT_056_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a49_web_attack_xgboost_seed46/stage28_2a49_web_attack_xgboost_seed46_fit_ledger.json,Stage28-2A49,56,1,57,51,C069,FIT_057_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability/stage28_2a50_web_attack_lightgbm_seed46/stage28_2a50_web_attack_lightgbm_seed46_fit_ledger.json,Stage28-2A50,57,1,58,50,C070,FIT_058_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b1_bot_xgboost_seed42/stage28_2b1_bot_xgboost_seed42_fit_ledger.json,Stage28-2B1,58,1,59,49,C071,FIT_059_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b2_bot_lightgbm_seed42/stage28_2b2_bot_lightgbm_seed42_fit_ledger.json,Stage28-2B2,59,1,60,48,C072,FIT_060_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b3_bot_xgboost_seed43/stage28_2b3_bot_xgboost_seed43_fit_ledger.json,Stage28-2B3,60,1,61,47,C073,FIT_061_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b4_bot_lightgbm_seed43/stage28_2b4_bot_lightgbm_seed43_fit_ledger.json,Stage28-2B4,61,1,62,46,C074,FIT_062_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b5_bot_xgboost_seed44/stage28_2b5_bot_xgboost_seed44_fit_ledger.json,Stage28-2B5,62,1,63,45,C075,FIT_063_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b6_bot_lightgbm_seed44/stage28_2b6_bot_lightgbm_seed44_fit_ledger.json,Stage28-2B6,63,1,64,44,C076,FIT_064_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b7_bot_xgboost_seed45/stage28_2b7_bot_xgboost_seed45_fit_ledger.json,Stage28-2B7,64,1,65,43,C077,FIT_065_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b8_bot_lightgbm_seed45/stage28_2b8_bot_lightgbm_seed45_fit_ledger.json,Stage28-2B8,65,1,66,42,C078,FIT_066_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b9_bot_xgboost_seed46/stage28_2b9_bot_xgboost_seed46_fit_ledger.json,Stage28-2B9,66,1,67,41,C079,FIT_067_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b10_bot_lightgbm_seed46/stage28_2b10_bot_lightgbm_seed46_fit_ledger.json,Stage28-2B10,67,1,68,40,C080,FIT_068_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b11_ddos_xgboost_seed42/stage28_2b11_ddos_xgboost_seed42_fit_ledger.json,Stage28-2B11,68,1,69,39,C081,FIT_069_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b12_ddos_lightgbm_seed42/stage28_2b12_ddos_lightgbm_seed42_fit_ledger.json,Stage28-2B12,69,1,70,38,C082,FIT_070_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b13_ddos_xgboost_seed43/stage28_2b13_ddos_xgboost_seed43_fit_ledger.json,Stage28-2B13,70,1,71,37,C083,FIT_071_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b14_ddos_lightgbm_seed43/stage28_2b14_ddos_lightgbm_seed43_fit_ledger.json,Stage28-2B14,71,1,72,36,C084,FIT_072_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b15_ddos_xgboost_seed44/stage28_2b15_ddos_xgboost_seed44_fit_ledger.json,Stage28-2B15,72,1,73,35,C085,FIT_073_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b16_ddos_lightgbm_seed44/stage28_2b16_ddos_lightgbm_seed44_fit_ledger.json,Stage28-2B16,73,1,74,34,C086,FIT_074_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b17_ddos_xgboost_seed45/stage28_2b17_ddos_xgboost_seed45_fit_ledger.json,Stage28-2B17,74,1,75,33,C087,FIT_075_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b18_ddos_lightgbm_seed45/stage28_2b18_ddos_lightgbm_seed45_fit_ledger.json,Stage28-2B18,75,1,76,32,C088,FIT_076_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b19_ddos_xgboost_seed46/stage28_2b19_ddos_xgboost_seed46_fit_ledger.json,Stage28-2B19,76,1,77,31,C089,FIT_077_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b20_ddos_lightgbm_seed46/stage28_2b20_ddos_lightgbm_seed46_fit_ledger.json,Stage28-2B20,77,1,78,30,C090,FIT_078_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b21_infiltration_xgboost_seed42/stage28_2b21_infiltration_xgboost_seed42_fit_ledger.json,Stage28-2B21,78,1,79,29,C091,FIT_079_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b22_infiltration_lightgbm_seed42/stage28_2b22_infiltration_lightgbm_seed42_fit_ledger.json,Stage28-2B22,79,1,80,28,C092,FIT_080_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b23_infiltration_xgboost_seed43/stage28_2b23_infiltration_xgboost_seed43_fit_ledger.json,Stage28-2B23,80,1,81,27,C093,FIT_081_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b24_infiltration_lightgbm_seed43/stage28_2b24_infiltration_lightgbm_seed43_fit_ledger.json,Stage28-2B24,81,1,82,26,C094,FIT_082_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b25_infiltration_xgboost_seed44/stage28_2b25_infiltration_xgboost_seed44_fit_ledger.json,Stage28-2B25,82,1,83,25,C095,FIT_083_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b26_infiltration_lightgbm_seed44/stage28_2b26_infiltration_lightgbm_seed44_fit_ledger.json,Stage28-2B26,83,1,84,24,C096,FIT_084_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b27_infiltration_xgboost_seed45/stage28_2b27_infiltration_xgboost_seed45_fit_ledger.json,Stage28-2B27,84,1,85,23,C097,FIT_085_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b28_infiltration_lightgbm_seed45/stage28_2b28_infiltration_lightgbm_seed45_fit_ledger.json,Stage28-2B28,85,1,86,22,C098,FIT_086_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b29_infiltration_xgboost_seed46/stage28_2b29_infiltration_xgboost_seed46_fit_ledger.json,Stage28-2B29,86,1,87,21,C099,FIT_087_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b30_infiltration_lightgbm_seed46/stage28_2b30_infiltration_lightgbm_seed46_fit_ledger.json,Stage28-2B30,87,1,88,20,C100,FIT_088_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b31_port_scan_xgboost_seed42/stage28_2b31_port_scan_xgboost_seed42_fit_ledger.json,Stage28-2B31,88,1,89,19,C101,FIT_089_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b32_port_scan_lightgbm_seed42/stage28_2b32_port_scan_lightgbm_seed42_fit_ledger.json,Stage28-2B32,89,1,90,18,C102,FIT_090_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b33_port_scan_xgboost_seed43/stage28_2b33_port_scan_xgboost_seed43_fit_ledger.json,Stage28-2B33,90,1,91,17,C103,FIT_091_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b34_port_scan_lightgbm_seed43/stage28_2b34_port_scan_lightgbm_seed43_fit_ledger.json,Stage28-2B34,91,1,92,16,C104,FIT_092_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b35_port_scan_xgboost_seed44/stage28_2b35_port_scan_xgboost_seed44_fit_ledger.json,Stage28-2B35,92,1,93,15,C105,FIT_093_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b36_port_scan_lightgbm_seed44/stage28_2b36_port_scan_lightgbm_seed44_fit_ledger.json,Stage28-2B36,93,1,94,14,C106,FIT_094_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b37_port_scan_xgboost_seed45/stage28_2b37_port_scan_xgboost_seed45_fit_ledger.json,Stage28-2B37,94,1,95,13,C107,FIT_095_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b38_port_scan_lightgbm_seed45/stage28_2b38_port_scan_lightgbm_seed45_fit_ledger.json,Stage28-2B38,95,1,96,12,C108,FIT_096_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b39_port_scan_xgboost_seed46/stage28_2b39_port_scan_xgboost_seed46_fit_ledger.json,Stage28-2B39,96,1,97,11,C109,FIT_097_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b40_port_scan_lightgbm_seed46/stage28_2b40_port_scan_lightgbm_seed46_fit_ledger.json,Stage28-2B40,97,1,98,10,C110,FIT_098_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b41_web_attack_xgboost_seed42/stage28_2b41_web_attack_xgboost_seed42_fit_ledger.json,Stage28-2B41,98,1,99,9,C111,FIT_099_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b42_web_attack_lightgbm_seed42/stage28_2b42_web_attack_lightgbm_seed42_fit_ledger.json,Stage28-2B42,99,1,100,8,C112,FIT_100_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b43_web_attack_xgboost_seed43/stage28_2b43_web_attack_xgboost_seed43_fit_ledger.json,Stage28-2B43,100,1,101,7,C113,FIT_101_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b44_web_attack_lightgbm_seed43/stage28_2b44_web_attack_lightgbm_seed43_fit_ledger.json,Stage28-2B44,101,1,102,6,C114,FIT_102_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b45_web_attack_xgboost_seed44/stage28_2b45_web_attack_xgboost_seed44_fit_ledger.json,Stage28-2B45,102,1,103,5,C115,FIT_103_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b46_web_attack_lightgbm_seed44/stage28_2b46_web_attack_lightgbm_seed44_fit_ledger.json,Stage28-2B46,103,1,104,4,C116,FIT_104_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b47_web_attack_xgboost_seed45/stage28_2b47_web_attack_xgboost_seed45_fit_ledger.json,Stage28-2B47,104,1,105,3,C117,FIT_105_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b48_web_attack_lightgbm_seed45/stage28_2b48_web_attack_lightgbm_seed45_fit_ledger.json,Stage28-2B48,105,1,106,2,C118,FIT_106_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b49_web_attack_xgboost_seed46/stage28_2b49_web_attack_xgboost_seed46_fit_ledger.json,Stage28-2B49,106,1,107,1,C119,FIT_107_SUCCESSFULLY_CONSUMED
results/stage28_stability_novelty_control/stage28_2b_random_loao_control/stage28_2b50_web_attack_lightgbm_seed46/stage28_2b50_web_attack_lightgbm_seed46_fit_ledger.json,Stage28-2B50,107,1,108,0,C120,FIT_108_SUCCESSFULLY_CONSUMED
