"figure_candidate","stage","source_artifact","evidence_status","recommended_action","reason"
"figure_holdout_cost_by_ratio","Stage10","figures/operational_cost/figure_holdout_cost_by_ratio.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_lightgbm_probability_distribution","Stage09","figures/calibration/figure_lightgbm_probability_distribution.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_multiseed_balanced_f1","Stage12","figures/multiseed/figure_multiseed_balanced_f1.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_multiseed_security_f2","Stage12","figures/multiseed/figure_multiseed_security_f2.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_multiseed_threshold_stability","Stage12","figures/multiseed/figure_multiseed_threshold_stability.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_validation_fp_fn_pareto_frontier","Stage10","figures/operational_cost/figure_validation_fp_fn_pareto_frontier.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_xgboost_probability_distribution","Stage09","figures/calibration/figure_xgboost_probability_distribution.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure01_baseline16_f1_comparison","Stage01-Stage07","figures/figure01_baseline16_f1_comparison.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure02_tuned_top5_f1_comparison","Stage01-Stage07","figures/figure02_tuned_top5_f1_comparison.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure03_constrained_security_f2_comparison","Stage01-Stage07","figures/figure03_constrained_security_f2_comparison.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure04_xgboost_threshold_tradeoff","Stage01-Stage07","figures/figure04_xgboost_threshold_tradeoff.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure05_lightgbm_threshold_tradeoff","Stage01-Stage07","figures/figure05_lightgbm_threshold_tradeoff.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure07_xgboost_holdout_confusion_matrix","Stage01-Stage07","figures/figure07_xgboost_holdout_confusion_matrix.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure08_lightgbm_security_confusion_matrix","Stage01-Stage07","figures/figure08_lightgbm_security_confusion_matrix.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_cnn_global_top15_features","Stage14","results/stage14_integrated_gradients/publication_assets/figures/ig_cnn_global_top15_features.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_disagreement_baseline_sensitivity","Stage14","results/stage14_integrated_gradients/publication_assets/figures/ig_disagreement_baseline_sensitivity.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_mlp_global_top15_features","Stage14","results/stage14_integrated_gradients/publication_assets/figures/ig_mlp_global_top15_features.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_numerical_convergence_primary_baseline","Stage14","results/stage14_integrated_gradients/publication_assets/figures/ig_numerical_convergence_primary_baseline.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_reference_sensitivity_by_outcome","Stage14","results/stage14_integrated_gradients/publication_assets/figures/ig_reference_sensitivity_by_outcome.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_reliability_classes_by_model_outcome","Stage14","results/stage14_integrated_gradients/publication_assets/figures/ig_reliability_classes_by_model_outcome.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_robust_case_cnn_fp_05","Stage14","results/stage14_integrated_gradients/publication_assets/figures/ig_robust_case_cnn_fp_05.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_robust_case_cnn_tn_06","Stage14","results/stage14_integrated_gradients/publication_assets/figures/ig_robust_case_cnn_tn_06.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_robust_case_cnn_tp_08","Stage14","results/stage14_integrated_gradients/publication_assets/figures/ig_robust_case_cnn_tp_08.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_robust_case_mlp_fp_04","Stage14","results/stage14_integrated_gradients/publication_assets/figures/ig_robust_case_mlp_fp_04.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_robust_case_mlp_tn_08","Stage14","results/stage14_integrated_gradients/publication_assets/figures/ig_robust_case_mlp_tn_08.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"ig_robust_case_mlp_tp_06","Stage14","results/stage14_integrated_gradients/publication_assets/figures/ig_robust_case_mlp_tp_06.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lightgbm_shap_attack_waterfall","Stage01-Stage07","figures/lightgbm_shap_attack_waterfall.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lightgbm_shap_summary_plot","Stage01-Stage07","figures/lightgbm_shap_summary_plot.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lightgbm_shap_top20_bar_plot","Stage01-Stage07","figures/lightgbm_shap_top20_bar_plot.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lime_decision_agreement_by_outcome","Stage13","figures/lime/lime_decision_agreement_by_outcome.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lime_local_r2_vs_fidelity_gap","Stage13","figures/lime/lime_local_r2_vs_fidelity_gap.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"lime_median_fidelity_gap_by_outcome","Stage13","figures/lime/lime_median_fidelity_gap_by_outcome.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_confusion_state_rollout_top20_heatmap","Stage17","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_confusion_state_rollout_top20_heatmap.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_cross_seed_rollout_spearman","Stage17","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_cross_seed_rollout_spearman.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_cross_seed_rollout_top10_jaccard","Stage17","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_cross_seed_rollout_top10_jaccard.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_global_rollout_top20","Stage17","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_global_rollout_top20.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_layer_head_entropy_heatmap","Stage17","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_layer_head_entropy_heatmap.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_layerwise_cls_feature_attention_top20","Stage17","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_layerwise_cls_feature_attention_top20.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_true_attack_vs_benign_top20","Stage17","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_true_attack_vs_benign_top20.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_2_within_layer_head_similarity_heatmaps","Stage17","results/stage17_attention_explainability_checkpoint/stage17_2_attention_analysis_package/figures/stage17_2_within_layer_head_similarity_heatmaps.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"stage17_3b_attention_shap_ig_shared70_heatmap","Stage17","results/stage17_attention_explainability_checkpoint/stage17_3b_cross_method_agreement_package/figures/stage17_3b_attention_shap_ig_shared70_heatmap.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"xgboost_shap_attack_waterfall","Stage01-Stage07","figures/xgboost_shap_attack_waterfall.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"xgboost_shap_summary_plot","Stage01-Stage07","figures/xgboost_shap_summary_plot.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"xgboost_shap_top20_bar_plot","Stage01-Stage07","figures/xgboost_shap_top20_bar_plot.png","SUPPORTING_OR_HISTORICAL","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
