"figure_candidate","stage","scientific_question","source_artifact","native_metric","manuscript_value","redundancy","readability","evidence_status","main_or_supplement","recommended_action","reason"
"figure_break_even_cost_ratios","Stage10","Historical benchmark or supporting diagnostic","figures/operational_cost/figure_break_even_cost_ratios.png","native frozen stage metric","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure_calibration_bin_sensitivity","Stage09","Historical benchmark or supporting diagnostic","figures/calibration/figure_calibration_bin_sensitivity.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_calibration_metric_intervals","Stage09","Historical benchmark or supporting diagnostic","figures/calibration/figure_calibration_metric_intervals.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_calibration_reliability_equal_frequency","Stage09","Historical benchmark or supporting diagnostic","figures/calibration/figure_calibration_reliability_equal_frequency.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_calibration_reliability_equal_width","Stage09","Historical benchmark or supporting diagnostic","figures/calibration/figure_calibration_reliability_equal_width.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_cost_ratio_selected_thresholds","Stage10","Historical benchmark or supporting diagnostic","figures/operational_cost/figure_cost_ratio_selected_thresholds.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_holdout_cost_by_ratio","Stage10","Historical benchmark or supporting diagnostic","figures/operational_cost/figure_holdout_cost_by_ratio.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_lightgbm_probability_distribution","Stage09","Historical benchmark or supporting diagnostic","figures/calibration/figure_lightgbm_probability_distribution.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_multiseed_balanced_f1","Stage12","Historical benchmark or supporting diagnostic","figures/multiseed/figure_multiseed_balanced_f1.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_multiseed_security_f2","Stage12","Historical benchmark or supporting diagnostic","figures/multiseed/figure_multiseed_security_f2.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_multiseed_threshold_stability","Stage12","Historical benchmark or supporting diagnostic","figures/multiseed/figure_multiseed_threshold_stability.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_multiseed_winner_frequency","Stage12","Historical benchmark or supporting diagnostic","figures/multiseed/figure_multiseed_winner_frequency.png","native frozen stage metric","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure_paired_balanced_differences","Stage08","Historical benchmark or supporting diagnostic","figures/statistical_confidence/figure_paired_balanced_differences.png","native frozen stage metric","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure_paired_calibration_differences","Stage09","Historical benchmark or supporting diagnostic","figures/calibration/figure_paired_calibration_differences.png","native frozen stage metric","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure_paired_security_differences","Stage08","Historical benchmark or supporting diagnostic","figures/statistical_confidence/figure_paired_security_differences.png","native frozen stage metric","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure_validation_fp_fn_pareto_frontier","Stage10","Historical benchmark or supporting diagnostic","figures/operational_cost/figure_validation_fp_fn_pareto_frontier.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure_xgboost_probability_distribution","Stage09","Historical benchmark or supporting diagnostic","figures/calibration/figure_xgboost_probability_distribution.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure01_baseline16_f1_comparison","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/figure01_baseline16_f1_comparison.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure02_tuned_top5_f1_comparison","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/figure02_tuned_top5_f1_comparison.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure03_constrained_security_f2_comparison","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/figure03_constrained_security_f2_comparison.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure04_xgboost_threshold_tradeoff","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/figure04_xgboost_threshold_tradeoff.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure05_lightgbm_threshold_tradeoff","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/figure05_lightgbm_threshold_tradeoff.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
"figure06_final_holdout_objective_comparison","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/figure06_final_holdout_objective_comparison.png","native frozen stage metric","SUPPORTING","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","SUPPLEMENT","SUPPLEMENT","Preserves useful frozen detail without overloading the main narrative."
"figure07_xgboost_holdout_confusion_matrix","Stage01-Stage07","Historical benchmark or supporting diagnostic","figures/figure07_xgboost_holdout_confusion_matrix.png","native frozen stage metric","LOW_OR_REDUNDANT","1 file instance(s); formats/duplicates: png","PUBLICATION_ASSET_NOT_REGENERATED_OR_VISUALLY_ALTERED_IN_STAGE29","SUPPORTING_OR_HISTORICAL","EXCLUDED","REMOVE","Historical individual-case redundant or peripheral asset; retained in repository but excluded from final paper."
