search_term,file_path,line_number,context
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,26,"mlp,MLP,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.0891934335231781,-2.3235230445861816,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-4.919373035430908,Trapezoidal rule,16,-4.960098563340791,-0.04072552790988304,0.04072552790988304,0.008278601280399896,True,38.07716287893851,7.879776140682291"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,27,"mlp,MLP,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.0891934335231781,-2.3235230445861816,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-4.919373035430908,Trapezoidal rule,32,-4.928024099860699,-0.0086510644297908,0.0086510644297908,0.0017585705266673312,True,37.69637360163865,7.828487017194397"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,28,"mlp,MLP,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.0891934335231781,-2.3235230445861816,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-4.919373035430908,Trapezoidal rule,64,-4.8877579795458175,0.031615055885090726,0.031615055885090726,0.0064266433257630425,True,37.59127963662151,7.806766323448645"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,29,"mlp,MLP,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.0891934335231781,-2.3235230445861816,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-4.919373035430908,Trapezoidal rule,128,-4.9060545347384785,0.01331850069242968,0.01331850069242968,0.0027073573393409183,True,37.57323497602641,7.804391268602658"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,30,"mlp,MLP,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.0891934335231781,-2.3235230445861816,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.8897953033447266,Trapezoidal rule,16,0.9145877932050368,0.02479248986031024,0.02479248986031024,0.02479248986031024,False,2.7244923420724274,0.8775921358729379"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,31,"mlp,MLP,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.0891934335231781,-2.3235230445861816,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.8897953033447266,Trapezoidal rule,32,0.9076126293873634,0.01781732604263686,0.01781732604263686,0.01781732604263686,False,2.7264849214217755,0.8718145912097952"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,32,"mlp,MLP,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.0891934335231781,-2.3235230445861816,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.8897953033447266,Trapezoidal rule,64,0.8989059666169428,0.009110663272216213,0.009110663272216213,0.009110663272216213,True,2.7124977010923215,0.865775860523403"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,33,"mlp,MLP,NEURAL_DISAGREE_03,11807,142668,0,Benign,0.0891934335231781,-2.3235230445861816,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.8897953033447266,Trapezoidal rule,128,0.8907209420130994,0.000925638668372808,0.000925638668372808,0.000925638668372808,True,2.7138801411272455,0.865390956288267"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,38,"mlp,MLP,NEURAL_DISAGREE_04,30716,257630,0,Benign,0.099039725959301,-2.207940101623535,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-4.803790092468262,Trapezoidal rule,16,-4.7647010526156315,0.039089039852630236,0.039089039852630236,0.008137124874360545,True,42.835641834333735,9.049529996179839"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,39,"mlp,MLP,NEURAL_DISAGREE_04,30716,257630,0,Benign,0.099039725959301,-2.207940101623535,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-4.803790092468262,Trapezoidal rule,32,-4.786777756951827,0.01701233551643444,0.01701233551643444,0.003541440235514795,True,43.04441629809425,9.095316345196366"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,40,"mlp,MLP,NEURAL_DISAGREE_04,30716,257630,0,Benign,0.099039725959301,-2.207940101623535,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-4.803790092468262,Trapezoidal rule,64,-4.795682059191253,0.008108033277008708,0.008108033277008708,0.0016878408758369946,True,43.19525695004443,9.121880526808178"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,41,"mlp,MLP,NEURAL_DISAGREE_04,30716,257630,0,Benign,0.099039725959301,-2.207940101623535,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-4.803790092468262,Trapezoidal rule,128,-4.80884726641519,-0.00505717394692784,0.00505717394692784,0.0010527466541173087,True,43.18519004923565,9.124690848364157"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,42,"mlp,MLP,NEURAL_DISAGREE_04,30716,257630,0,Benign,0.099039725959301,-2.207940101623535,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,1.005378246307373,Trapezoidal rule,16,1.0060889126940606,0.0007106663866875973,0.0007106663866875973,0.0007068646942559031,True,2.8332343147700256,0.962161784824579"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,43,"mlp,MLP,NEURAL_DISAGREE_04,30716,257630,0,Benign,0.099039725959301,-2.207940101623535,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,1.005378246307373,Trapezoidal rule,32,1.0199231289870898,0.014544882679716764,0.014544882679716764,0.01446707518601907,False,2.8241637831168473,0.9552688912738738"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,44,"mlp,MLP,NEURAL_DISAGREE_04,30716,257630,0,Benign,0.099039725959301,-2.207940101623535,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,1.005378246307373,Trapezoidal rule,64,1.0055631778195615,0.0001849315121884576,0.0001849315121884576,0.00018394222559289266,True,2.827224050845402,0.9528883834025215"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,45,"mlp,MLP,NEURAL_DISAGREE_04,30716,257630,0,Benign,0.099039725959301,-2.207940101623535,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,1.005378246307373,Trapezoidal rule,128,1.0062793980142366,0.0009011517068635566,0.0009011517068635566,0.0008963310178764785,True,2.82947707793163,0.9550274465252198"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,50,"mlp,MLP,NEURAL_DISAGREE_05,30033,174394,0,Benign,0.07223702222108841,-2.552823543548584,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.1486735343933105,Trapezoidal rule,16,-5.09674753457785,0.05192599981546042,0.05192599981546042,0.010085316046665809,False,42.18709803265233,8.64263660326771"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,51,"mlp,MLP,NEURAL_DISAGREE_05,30033,174394,0,Benign,0.07223702222108841,-2.552823543548584,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.1486735343933105,Trapezoidal rule,32,-5.180187461700503,-0.03151392730719227,0.03151392730719227,0.006120785692990279,True,42.678643498657614,8.731457495130664"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,52,"mlp,MLP,NEURAL_DISAGREE_05,30033,174394,0,Benign,0.07223702222108841,-2.552823543548584,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.1486735343933105,Trapezoidal rule,64,-5.148559807253181,0.00011372714012924945,0.00011372714012924945,2.2088629113799578e-05,True,42.80941698712187,8.763406765059662"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,53,"mlp,MLP,NEURAL_DISAGREE_05,30033,174394,0,Benign,0.07223702222108841,-2.552823543548584,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.1486735343933105,Trapezoidal rule,128,-5.122407379056206,0.026266155337104635,0.026266155337104635,0.005101538320821051,True,42.72797347852934,8.742353358130886"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,54,"mlp,MLP,NEURAL_DISAGREE_05,30033,174394,0,Benign,0.07223702222108841,-2.552823543548584,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.6604948043823242,Trapezoidal rule,16,0.6502723680207501,-0.010222436361574161,0.010222436361574161,0.010222436361574161,False,16.76342366603062,6.434932144005912"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,55,"mlp,MLP,NEURAL_DISAGREE_05,30033,174394,0,Benign,0.07223702222108841,-2.552823543548584,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.6604948043823242,Trapezoidal rule,32,0.5969653861071831,-0.06352941827514114,0.06352941827514114,0.06352941827514114,False,16.94823727164825,6.540536765801799"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,56,"mlp,MLP,NEURAL_DISAGREE_05,30033,174394,0,Benign,0.07223702222108841,-2.552823543548584,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.6604948043823242,Trapezoidal rule,64,0.675417851122897,0.014923046740572765,0.014923046740572765,0.014923046740572765,False,16.906274552442493,6.515762507368134"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,57,"mlp,MLP,NEURAL_DISAGREE_05,30033,174394,0,Benign,0.07223702222108841,-2.552823543548584,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.6604948043823242,Trapezoidal rule,128,0.6610453369767502,0.0005505325944259454,0.0005505325944259454,0.0005505325944259454,True,16.890782324329148,6.507389212016472"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,62,"mlp,MLP,NEURAL_DISAGREE_06,23693,28361,0,Benign,0.08175196498632431,-2.4187777042388916,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.014627695083618,Trapezoidal rule,16,-5.080559008411126,-0.0659313133275079,0.0659313133275079,0.013147798268682538,False,36.9584393887099,7.387221597168727"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,63,"mlp,MLP,NEURAL_DISAGREE_06,23693,28361,0,Benign,0.08175196498632431,-2.4187777042388916,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.014627695083618,Trapezoidal rule,32,-5.02834648490672,-0.013718789823101929,0.013718789823101929,0.002735754408358559,True,36.49686237237732,7.306937340058864"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,64,"mlp,MLP,NEURAL_DISAGREE_06,23693,28361,0,Benign,0.08175196498632431,-2.4187777042388916,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.014627695083618,Trapezoidal rule,64,-5.016304229813582,-0.0016765347299640965,0.0016765347299640965,0.00033432885388635827,True,36.513869338752684,7.3010263591496685"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,65,"mlp,MLP,NEURAL_DISAGREE_06,23693,28361,0,Benign,0.08175196498632431,-2.4187777042388916,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-5.014627695083618,Trapezoidal rule,128,-5.016603067264974,-0.0019753721813557945,0.0019753721813557945,0.00039392200208451474,True,36.52631517987042,7.298604428300962"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,66,"mlp,MLP,NEURAL_DISAGREE_06,23693,28361,0,Benign,0.08175196498632431,-2.4187777042388916,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.7945406436920166,Trapezoidal rule,16,0.7662504665078762,-0.028290177184140397,0.028290177184140397,0.028290177184140397,False,2.6917743553887084,0.8251763471792282"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,67,"mlp,MLP,NEURAL_DISAGREE_06,23693,28361,0,Benign,0.08175196498632431,-2.4187777042388916,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.7945406436920166,Trapezoidal rule,32,0.7970135515567948,0.002472907864778162,0.002472907864778162,0.002472907864778162,True,2.7036521375198035,0.8282785967691703"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,68,"mlp,MLP,NEURAL_DISAGREE_06,23693,28361,0,Benign,0.08175196498632431,-2.4187777042388916,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.7945406436920166,Trapezoidal rule,64,0.7927032164968486,-0.0018374271951679955,0.0018374271951679955,0.0018374271951679955,True,2.698776199928753,0.8280524432712979"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,69,"mlp,MLP,NEURAL_DISAGREE_06,23693,28361,0,Benign,0.08175196498632431,-2.4187777042388916,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,0.7945406436920166,Trapezoidal rule,128,0.797405441826217,0.0028647981342003748,0.0028647981342003748,0.0028647981342003748,True,2.695564034416088,0.8275216746528886"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,74,"mlp,MLP,NEURAL_DISAGREE_07,9859,173665,1,Infilteration,0.14079225063323975,-1.808725357055664,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-4.404575347900391,Trapezoidal rule,16,-4.321526690808073,0.08304865709231724,0.08304865709231724,0.01885508829628844,False,57.459449479187455,11.527199290946818"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,75,"mlp,MLP,NEURAL_DISAGREE_07,9859,173665,1,Infilteration,0.14079225063323975,-1.808725357055664,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-4.404575347900391,Trapezoidal rule,32,-4.378173162880448,0.026402185019942515,0.026402185019942515,0.005994263449830215,True,58.168249887475675,11.681929086543411"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,76,"mlp,MLP,NEURAL_DISAGREE_07,9859,173665,1,Infilteration,0.14079225063323975,-1.808725357055664,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-4.404575347900391,Trapezoidal rule,64,-4.400373779425482,0.004201568474909045,0.004201568474909045,0.0009539100010882738,True,58.33864849626845,11.703978556361417"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,77,"mlp,MLP,NEURAL_DISAGREE_07,9859,173665,1,Infilteration,0.14079225063323975,-1.808725357055664,zero_scaled,Zero standardized vector,Sensitivity control only,1,2.5958499908447266,-4.404575347900391,Trapezoidal rule,128,-4.412365749757582,-0.007790401857191043,0.007790401857191043,0.0017687066838133752,True,58.49156272824351,11.725205336818492"
vit,results/stage14_integrated_gradients/stage14_3b_ig_completeness_audit.csv,78,"mlp,MLP,NEURAL_DISAGREE_07,9859,173665,1,Infilteration,0.14079225063323975,-1.808725357055664,benign_median,Benign training median,Single benign reference sensitivity baseline,1,-3.213318347930908,1.4045929908752441,Trapezoidal rule,16,1.359447324012077,-0.04514566686316712,0.04514566686316712,0.03214145817076554,False,4.437570619482967,1.3553130656355588"
