"number_id","value","units","stage","context","population","metric","source_artifact","evidence_id","allowed_rounding","notes"
"NUM29-020","0.9776433333080397","proportion","Stage05","balanced XGBoost reference result","reference holdout","PR-AUC","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","Main benchmark candidate"
"NUM29-021","0.26","probability threshold","Stage04","security LightGBM operating point","reference validation","threshold","docs/RESULTS_SUMMARY.md","E29-005","2 decimals","Frozen selected threshold"
"NUM29-022","0.9080189904320635","proportion","Stage04","security LightGBM operating point","reference validation","F2","docs/RESULTS_SUMMARY.md","E29-005","4 decimals","Frozen validation result"
"NUM29-023","0.04798611111111111","proportion","Stage04","security LightGBM operating point","reference validation","FPR","docs/RESULTS_SUMMARY.md","E29-005","4 decimals","Under reference 5% constraint"
"NUM29-024","0.9177721052851823","proportion","Stage05","security LightGBM reference result","reference holdout","F1","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","Frozen holdout result"
"NUM29-025","0.9111605955862803","proportion","Stage05","security LightGBM reference result","reference holdout","F2","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","Frozen holdout result"
"NUM29-026","0.04655555555555556","proportion","Stage05","security LightGBM reference result","reference holdout","FPR","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","Frozen holdout result"
"NUM29-027","2254","false negatives","Stage05","security LightGBM reference result","reference holdout","FN","docs/RESULTS_SUMMARY.md","E29-007","integer","Frozen holdout result"
"NUM29-028","0.9802072525887335","proportion","Stage05","security LightGBM reference result","reference holdout","ROC-AUC","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","Frozen holdout result"
"NUM29-029","0.9776909621341594","proportion","Stage05","security LightGBM reference result","reference holdout","PR-AUC","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","Frozen holdout result"
"NUM29-030","5000","rows","Stage06","shared TreeSHAP sample","reference training sample","sample size","docs/RESULTS_SUMMARY.md","E29-008","integer","Descriptive explanation sample"
"NUM29-031","15","features","Stage06","XGBoost-LightGBM top-20 overlap","shared TreeSHAP sample","top-20 overlap","docs/RESULTS_SUMMARY.md","E29-008","integer","Descriptive"
"NUM29-032","0.6","proportion","Stage06","XGBoost-LightGBM top-20 agreement","shared TreeSHAP sample","Jaccard","docs/RESULTS_SUMMARY.md","E29-008","2 decimals","Descriptive"
"NUM29-033","0.854066","correlation","Stage06","XGBoost-LightGBM rank agreement","shared TreeSHAP sample","Spearman","docs/RESULTS_SUMMARY.md","E29-008","3 decimals","Repository summary value is already shortened"
"NUM29-034","0.000185061470508896","F1 difference","Stage08","XGBoost minus LightGBM balanced","reference holdout","paired F1 difference","results/statistical_confidence/paired_balanced_model_differences.csv","E29-009","6 decimals","Conditional historical bootstrap"
"NUM29-035","-0.0004952955263602676","F1 difference","Stage08","balanced difference interval lower","reference holdout","95% CI lower","results/statistical_confidence/paired_balanced_model_differences.csv","E29-009","6 decimals","Conditional historical bootstrap"
"NUM29-036","0.0008619090916325816","F1 difference","Stage08","balanced difference interval upper","reference holdout","95% CI upper","results/statistical_confidence/paired_balanced_model_differences.csv","E29-009","6 decimals","Conditional historical bootstrap"
"NUM29-037","-0.0013644257008186278","recall difference","Stage08","XGBoost minus LightGBM security","reference holdout","paired recall difference","results/statistical_confidence/paired_security_model_differences.csv","E29-010","6 decimals","Conditional historical bootstrap"
"NUM29-038","-0.002646158934921039","recall difference","Stage08","security recall interval lower","reference holdout","95% CI lower","results/statistical_confidence/paired_security_model_differences.csv","E29-010","6 decimals","Conditional historical bootstrap"
"NUM29-039","-0.00008269246671632757","recall difference","Stage08","security recall interval upper","reference holdout","95% CI upper","results/statistical_confidence/paired_security_model_differences.csv","E29-010","6 decimals","Conditional historical bootstrap"
"NUM29-040","33","false negatives","Stage08","XGBoost minus LightGBM security","reference holdout","paired FN difference","results/statistical_confidence/paired_security_model_differences.csv","E29-010","integer","Conditional historical bootstrap"
"NUM29-041","2","false negatives","Stage08","FN difference interval lower","reference holdout","95% CI lower","results/statistical_confidence/paired_security_model_differences.csv","E29-010","integer","Conditional historical bootstrap"
"NUM29-042","64","false negatives","Stage08","FN difference interval upper","reference holdout","95% CI upper","results/statistical_confidence/paired_security_model_differences.csv","E29-010","integer","Conditional historical bootstrap"
"NUM29-043","0.04277372026730192","Brier score","Stage09","XGBoost calibration","reference holdout","Brier","results/calibration/calibration_metric_point_estimates.csv","E29-011","5 decimals","No resolved calibration winner"
"NUM29-044","0.04275382352223183","Brier score","Stage09","LightGBM calibration","reference holdout","Brier","results/calibration/calibration_metric_point_estimates.csv","E29-011","5 decimals","No resolved calibration winner"
"NUM29-045","1.8407079646017699","FN:FP cost ratio","Stage10","LightGBM security vs balanced break-even","reference holdout","break-even ratio","results/operational_cost/break_even_cost_analysis.csv","E29-012","2 decimals","Conditional relative-cost scenario"
"NUM29-046","1.6987043925893093","FN:FP cost ratio","Stage10","break-even interval lower","reference holdout","95% CI lower","results/operational_cost/break_even_cost_analysis.csv","E29-012","2 decimals","Conditional historical bootstrap"
"NUM29-047","1.9973514290693621","FN:FP cost ratio","Stage10","break-even interval upper","reference holdout","95% CI upper","results/operational_cost/break_even_cost_analysis.csv","E29-012","2 decimals","Conditional historical bootstrap"
"NUM29-048","12","attack categories","Stage11","known-category audit","reference attack holdout","category count","docs/ATTACK_CATEGORY_ANALYSIS.md","E29-013","integer","Known categories not unseen-family folds"
"NUM29-049","3967","attacks","Stage11","Infilteration known-category support","reference attack holdout","support","docs/ATTACK_CATEGORY_ANALYSIS.md","E29-013","integer","Distinct from Stage27 LOAO support 36; not a disagreement"
"NUM29-050","0.4383665238215276","proportion","Stage11","LightGBM security Infilteration detection","reference attack holdout","detection rate","results/attack_category/attack_category_operating_point_metrics.csv","E29-013","3 decimals","Known-category result"
"NUM29-051","13","attacks","Stage11","SQL Injection known-category support","reference attack holdout","support","docs/ATTACK_CATEGORY_ANALYSIS.md","E29-013","integer","Low-support result"
"NUM29-052","5","seeds","Stage12","fixed-recipe robustness scope","processed IDS2018","seed count","docs/MULTISEED_ROBUSTNESS.md","E29-014","integer","Seeds 42 52 62 72 82; full HPO not repeated"
"NUM29-053","3/5","seeds","Stage12","balanced XGBoost winner frequency","processed IDS2018","winner frequency","docs/RESULTS_SUMMARY.md","E29-014","exact fraction","Descriptive fixed-seed frequency"
"NUM29-054","4/5","seeds","Stage12","security LightGBM winner frequency","processed IDS2018","winner frequency","docs/RESULTS_SUMMARY.md","E29-014","exact fraction","Descriptive fixed-seed frequency"
"NUM29-055","64","explanations","Stage13","outcome-stratified local panel","model-specific holdout cases","panel size","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","integer","Deterministic panel"
"NUM29-056","2","explanations","Stage13","cases meeting all criteria","model-specific holdout cases","qualified count","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","integer","3.1% if percentage is used"
"NUM29-057","31","explanations","Stage13","cases failing local decision reproduction","model-specific holdout cases","failure count","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","integer","48.4% if percentage is used"
"NUM29-058","0.304","proportion","Stage13","XGBoost SHAP-LIME top-10 agreement","disagreement panel","mean Jaccard","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","3 decimals","Descriptive"
"NUM29-059","0.360","proportion","Stage13","LightGBM SHAP-LIME top-10 agreement","disagreement panel","mean Jaccard","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","3 decimals","Descriptive"
"NUM29-060","192521","rows","Stage18","timestamp-recovered population","Stage18 temporal provenance audit","row count","results/stage18_representation_feasibility_checkpoint/stage18_1_temporal_feasibility_package/stage18_1_temporal_feasibility_closure.json","E29-016","integer","Incomplete recovery"
"NUM29-061","0.8536783","proportion","Stage18","unique temporal provenance","Stage18 temporal provenance audit","provenance fraction","results/stage18_representation_feasibility_checkpoint/stage18_1_temporal_feasibility_package/stage18_1_temporal_feasibility_closure.json","E29-016","4 decimals","Partial evidence"
"NUM29-062","0.1555201","proportion","Stage18","mixed temporal bin rate","Stage18 temporal provenance audit","mixed-bin rate","results/stage18_representation_feasibility_checkpoint/stage18_1_temporal_feasibility_package/evidence/stage18_1l_temporal_leakage_audit/stage18_1l_temporal_leakage_result.json","E29-016","4 decimals","Partial evidence"
"NUM29-063","0.9976558","proportion","Stage18","validation bins within 30 seconds of training bins","Stage18 temporal provenance audit","temporal proximity rate","results/stage18_representation_feasibility_checkpoint/stage18_1_temporal_feasibility_package/stage18_1_temporal_feasibility_closure.json","E29-016","4 decimals","Partial evidence"
"NUM29-064","0","representations","Stage18","ViT candidates passing feasibility","frozen representation inventory","pass count","docs/STAGE18_MANUSCRIPT_INTEGRATION.md","E29-017","integer","No Stage18 ViT performance result"
"NUM29-065","7","representations","Stage18","ViT candidates audited","frozen representation inventory","audit count","docs/STAGE18_MANUSCRIPT_INTEGRATION.md","E29-017","integer","Feasibility only"
"NUM29-066","0.9735953918848133","proportion","Stage18","graph final ranking","source-restricted Feb20 target","PR-AUC","results/stage18_representation_feasibility_checkpoint/stage18_3l_final_graph_holdout_lock/compact_evidence/stage18_3l_graph_transformer_holdout_metrics.json","E29-018","4 decimals","Conditional source-restricted result"
"NUM29-067","0.9986766395630168","proportion","Stage18","graph final ranking","source-restricted Feb20 target","ROC-AUC","results/stage18_representation_feasibility_checkpoint/stage18_3l_final_graph_holdout_lock/compact_evidence/stage18_3l_graph_transformer_holdout_metrics.json","E29-018","4 decimals","Conditional source-restricted result"
"NUM29-068","0","true positives","Stage18","graph frozen threshold","source-restricted Feb20 target","TP","results/stage18_representation_feasibility_checkpoint/stage18_3l_final_graph_holdout_lock/compact_evidence/stage18_3l_graph_transformer_holdout_metrics.json","E29-018","integer","Zero among 151773 attacks in source document"
"NUM29-069","0","proportion","Stage18","graph frozen threshold","source-restricted Feb20 target","F1","results/stage18_representation_feasibility_checkpoint/stage18_3l_final_graph_holdout_lock/compact_evidence/stage18_3l_graph_transformer_holdout_metrics.json","E29-018","exact zero","Ranking/threshold divergence"
"NUM29-070","0.42976973171668154","proportion","Stage18","edge-only final ranking","source-restricted Feb20 target","PR-AUC","results/stage18_representation_feasibility_checkpoint/stage18_3l_final_graph_holdout_lock/compact_evidence/stage18_3l_edgeonly_holdout_metrics.json","E29-018","4 decimals","Descriptive control"
"NUM29-071","0.6559877841940602","proportion","Stage18","edge-only frozen threshold","source-restricted Feb20 target","F1","results/stage18_representation_feasibility_checkpoint/stage18_3l_final_graph_holdout_lock/compact_evidence/stage18_3l_edgeonly_holdout_metrics.json","E29-018","4 decimals","Descriptive control"
"NUM29-072","0.48945269459245255","proportion","Stage21","CNN frozen Friday comparison","restored Friday target","PR-AUC","results/stage21_architecture/stage21_5_cnn_vit_descriptive_comparison.json","E29-019","4 decimals","Descriptive only"
"NUM29-073","0.43921400808023464","proportion","Stage21","CNN frozen Friday comparison","restored Friday target","ROC-AUC","results/stage21_architecture/stage21_5_cnn_vit_descriptive_comparison.json","E29-019","4 decimals","Descriptive only"
"NUM29-074","0.606536911289453","proportion","Stage21","ViT frozen Friday comparison","restored Friday target","PR-AUC","results/stage21_architecture/stage21_5_cnn_vit_descriptive_comparison.json","E29-019","4 decimals","Descriptive only"
"NUM29-075","0.5686939700294255","proportion","Stage21","ViT frozen Friday comparison","restored Friday target","ROC-AUC","results/stage21_architecture/stage21_5_cnn_vit_descriptive_comparison.json","E29-019","4 decimals","Descriptive only"
"NUM29-076","0.11708421669700042","PR-AUC points","Stage21","ViT minus CNN frozen comparison","restored Friday target","PR-AUC delta","results/stage21_architecture/stage21_5_cnn_vit_descriptive_comparison.json","E29-019","4 decimals","Descriptive only"
"NUM29-077","0.1294799619491908","ROC-AUC points","Stage21","ViT minus CNN frozen comparison","restored Friday target","ROC-AUC delta","results/stage21_architecture/stage21_5_cnn_vit_descriptive_comparison.json","E29-019","4 decimals","Descriptive only"
"NUM29-078","1374133","rows","Stage22","shared forward final holdout","Mar1-Mar2 IDS2018","row count","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","integer","Historically opened target reused by Stage28"
"NUM29-079","375345","rows","Stage22","attack rows in shared target","Mar1-Mar2 IDS2018","class count","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","integer","Frozen count"
"NUM29-080","998788","rows","Stage22","benign rows in shared target","Mar1-Mar2 IDS2018","class count","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","integer","Frozen count"
"NUM29-081","0.2731504155711274","proportion","Stage22","attack prevalence in shared target","Mar1-Mar2 IDS2018","prevalence","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","6 decimals","Frozen prevalence"
"NUM29-082","0.26295321962777995","proportion","Stage22","random-natural forward ranking","shared final holdout","PR-AUC","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","4 decimals","Seed42 Stage22R value"
"NUM29-083","0.5204903284767843","proportion","Stage22","random-natural forward ranking","shared final holdout","ROC-AUC","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","4 decimals","Seed42 Stage22R value"
"NUM29-084","0.6107344875615713","proportion","Stage22","chronological-natural forward ranking","shared final holdout","PR-AUC","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","4 decimals","Seed42 Stage22R value"
"NUM29-085","0.8064180161824033","proportion","Stage22","chronological-natural forward ranking","shared final holdout","ROC-AUC","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","4 decimals","Seed42 Stage22R value"
"NUM29-086","0.6926302657182113","proportion","Stage22","chronological-rebalanced forward ranking","shared final holdout","PR-AUC","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","4 decimals","Largest Stage22R observed final PR-AUC; no post-holdout selection"
"NUM29-087","0.8321639645817649","proportion","Stage22","chronological-rebalanced forward ranking","shared final holdout","ROC-AUC","results/stage22r_training/stage22r_final_single_holdout/stage22r_final_holdout_result.json","E29-020","4 decimals","No post-holdout selection"
"NUM29-088","0.2870","proportion","Stage22","random security operating-point transfer","shared final holdout","FPR","docs/STAGE22R_MANUSCRIPT_INTEGRATION.md","E29-021","4 decimals","One frozen random security point; Stage22 integration supplies rounded value"
"NUM29-089","0.2685","proportion","Stage22","second random security operating-point transfer","shared final holdout","FPR","docs/STAGE22R_MANUSCRIPT_INTEGRATION.md","E29-021","4 decimals","Frozen random security point; Stage22 integration supplies rounded value"
"NUM29-090","2830743","rows","Stage24","forward transfer effective target","CICIDS2017","row count","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","integer","Frozen effective population"
"NUM29-091","0.667483","proportion","Stage24","IDS2018 to CICIDS2017 bridge62","CICIDS2017 target","PR-AUC","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","6 decimals","Direction-specific"
"NUM29-092","0.733946","proportion","Stage24","IDS2018 to CICIDS2017 bridge62","CICIDS2017 target","ROC-AUC","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","6 decimals","Direction-specific"
"NUM29-093","0.104847","proportion","Stage24","reverse target attack prevalence","IDS2018 Feb28 target","prevalence","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","Direction-specific population"
"NUM29-094","0.108176","proportion","Stage24","CICIDS2017 to IDS2018 bridge62","IDS2018 Feb28 target","PR-AUC","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","Direction-specific"
"NUM29-095","0.525167","proportion","Stage24","CICIDS2017 to IDS2018 bridge62","IDS2018 Feb28 target","ROC-AUC","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","Direction-specific"
"NUM29-096","-0.007729","PR-AUC points","Stage24","aggregate-flag correction","bridge70 primary target","paired delta","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-026","6 decimals","Conditional paired interval excludes zero"
"NUM29-097","0.002192","ROC-AUC points","Stage24","aggregate-flag correction","bridge70 primary target","paired delta","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-026","6 decimals","Metric direction differs from PR-AUC"
"NUM29-098","0.005087","Brier points","Stage24","aggregate-flag correction","bridge70 primary target","paired delta","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-026","6 decimals","Metric direction differs; no common degradation score"
"NUM29-099","2","cells","Stage24","GROUNDED_S4 cancellation","frozen target cells","cancelled count","docs/STAGE24_PUBLICATION_CLOSEOUT.md","E29-027","integer","No scientific results exist for these cells"
"NUM29-100","0.1","percent attack prevalence","Stage25","primary low-prevalence example","prior-shift projection","prevalence scenario","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal percent","Equals proportion 0.001; do not confuse units"
"NUM29-101","0.965572","proportion","Stage25","random STANDARD projection at 0.1%","prior-shift scenario","PPV","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","6 decimals","Conditional projection"
"NUM29-102","33.5","analyst-hours/day","Stage25","random STANDARD projection at 0.1%","prior-shift scenario","workload","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal","Assumption-bound analyst time"
"NUM29-103","0.000551068","proportion","Stage25","chronological STANDARD projection at 0.1%","prior-shift scenario","PPV","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-029","9 decimals","Conditional projection"
"NUM29-104","0.0322","true alerts/day","Stage25","chronological STANDARD projection at 0.1%","prior-shift scenario","true alert volume","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-029","4 decimals","Conditional projection"
"NUM29-105","0.039233","proportion","Stage25","forward STANDARD PPV range lower at 0.1%","prior-shift transfer scenario","PPV","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","6 decimals","Conditional projection"
"NUM29-106","0.060313","proportion","Stage25","forward STANDARD PPV range upper at 0.1%","prior-shift transfer scenario","PPV","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","6 decimals","Conditional projection"
"NUM29-107","0.000257610","proportion","Stage25","reverse STANDARD PPV range lower at 0.1%","prior-shift transfer scenario","PPV","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","9 decimals","Conditional projection"
"NUM29-108","0.000287993","proportion","Stage25","reverse STANDARD PPV range upper at 0.1%","prior-shift transfer scenario","PPV","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","9 decimals","Conditional projection"
"NUM29-109","15/24","operating points","Stage25","1:100 cost scenario at 0.1%","24 frozen operating points","model-favored count","results/stage25_prevalence_stress/stage25_5_final_audit_and_seal/stage25_5_final_synthesis.md","E29-031","exact fraction","Conditional cost scenario"
"NUM29-110","3/24","operating points","Stage25","1:100 cost scenario at 0.01%","24 frozen operating points","model-favored count","results/stage25_prevalence_stress/stage25_5_final_audit_and_seal/stage25_5_final_synthesis.md","E29-031","exact fraction","Conditional cost scenario"
"NUM29-111","1.9415216272658395","CPU/GPU ratio","Stage26","five-checkpoint soft-voting batch1","measured Stage26 hardware","p95 latency speedup CPU over GPU","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","Point estimate only; component-level"
"NUM29-112","1.579056832689612","CPU/GPU ratio","Stage26","single-resource reference batch1","measured Stage26 hardware","p95 latency speedup CPU over GPU","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","Point estimate only; component-level"
"NUM29-113","0.16178896782073898","CPU/GPU ratio","Stage26","Stage16 CatBoost batch1","measured Stage26 hardware","p95 latency speedup CPU over GPU","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","Below 1 means CPU advantage; point estimate only"
"NUM29-114","0.25913087788404343","CPU/GPU ratio","Stage26","Stage16 XGBoost batch1","measured Stage26 hardware","p95 latency speedup CPU over GPU","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","Below 1 means CPU advantage; point estimate only"
"NUM29-115","10.858442808697973","CPU/GPU ratio","Stage26","Stage20 masked CNN batch1","measured Stage26 hardware","p95 latency speedup CPU over GPU","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","Point estimate only; hardware-specific"
"NUM29-116","1.0484184716605593","CPU/GPU ratio","Stage26","Stage21 masked ViT batch1","measured Stage26 hardware","p95 latency speedup CPU over GPU","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","Point estimate only; hardware-specific"
"NUM29-117","5","families","Stage27","eligible LOAO families","IDS2018 family taxonomy","eligible-family count","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","integer","DOS and AUTH_BRUTE_FORCE are ineligible"
"NUM29-118","36","attacks","Stage27","Infiltration LOAO support","chronological LOAO target","held-out support","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","Descriptive only; distinct population from Stage11 support 3967"
"NUM29-119","0.9982","proportion","Stage27","DDoS XGBoost LOAO","eligible family target","ROC-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","Rounded manuscript integration value"
"NUM29-120","0.9925","proportion","Stage27","DDoS XGBoost LOAO","eligible family target","PR-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","Rounded manuscript integration value"
"NUM29-121","0.9986","proportion","Stage27","DDoS LightGBM LOAO","eligible family target","ROC-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","Rounded manuscript integration value"
"NUM29-122","0.9940","proportion","Stage27","DDoS LightGBM LOAO","eligible family target","PR-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","Rounded manuscript integration value"
"NUM29-123","0.9693","proportion","Stage27","Web Attack XGBoost LOAO","eligible family target","ROC-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","Rounded manuscript integration value"
"NUM29-124","0.7206","proportion","Stage27","Web Attack XGBoost LOAO","eligible family target","PR-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","Rounded manuscript integration value"
"NUM29-125","0.9901","proportion","Stage27","Web Attack LightGBM LOAO","eligible family target","ROC-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","Rounded manuscript integration value"
"NUM29-126","0.7605","proportion","Stage27","Web Attack LightGBM LOAO","eligible family target","PR-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","Rounded manuscript integration value"
"NUM29-127","0.3224","proportion","Stage27","BOT XGBoost LOAO","eligible family target","ROC-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","Learner-dependent family result"
"NUM29-128","0.003256","proportion","Stage27","BOT XGBoost LOAO","eligible family target","PR-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","6 decimals","Below prevalence anchor in frozen result"
"NUM29-129","0.5591","proportion","Stage27","BOT LightGBM LOAO","eligible family target","ROC-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","Learner-dependent family result"
"NUM29-130","0.5506","proportion","Stage27","Port Scan XGBoost LOAO","eligible family target","ROC-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","Learner-dependent family result"
"NUM29-131","0.7559","proportion","Stage27","Port Scan LightGBM LOAO","eligible family target","ROC-AUC","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","Learner-dependent family result"
"NUM29-132","108/108","fits","Stage28","new fit completion","frozen Stage28 plan","completed fits","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-041","exact fraction","Execution completion not inferential expansion"
"NUM29-133","12","artifact reuses","Stage28","frozen reuse completion","frozen Stage28 plan","reuse count","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-041","integer","No new fit for reuses"
"NUM29-134","0","cells","Stage28","remaining planned execution","frozen Stage28 plan","remaining count","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-041","integer","Stage28 empirical plan closed"
