audit_id,manuscript_location,number_id,manuscript_value,source_artifact,evidence_id,resolution_type,notes
MNA-023,"Methods 4.2",NUM29-079,"375,345",results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-020,FORMATTED,"Shared target attack rows; thousands separator added"
MNA-024,"Methods 4.2",NUM29-080,"998,788",results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-020,FORMATTED,"Shared target benign rows; thousands separator added"
MNA-025,"Methods 4.4",NUM29-099,2,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-027,EXACT,"Cancelled GROUNDED_S4 cells"
MNA-026,"Methods 4.7",NUM29-118,36,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-036,EXACT,"Descriptive-only Infiltration support"
MNA-027,"Results 5.1 paragraph 1 and Table 1",NUM29-017,0.9285,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-006,ROUNDED,"Balanced XGBoost F1; two occurrences"
MNA-028,"Results 5.1 paragraph 1 and Table 1",NUM29-018,0.0061,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-006,ROUNDED,"Balanced XGBoost FPR; two occurrences"
MNA-029,"Results 5.1 paragraph 1 and Table 1",NUM29-019,0.9802,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-006,ROUNDED,"Balanced XGBoost ROC-AUC; two occurrences"
MNA-030,"Results 5.1 paragraph 1 and Table 1",NUM29-020,0.9776,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-006,ROUNDED,"Balanced XGBoost PR-AUC; two occurrences"
MNA-031,"Results 5.1 paragraph 1 and Table 1",NUM29-024,0.9178,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-007,ROUNDED,"Security LightGBM F1; two occurrences"
MNA-032,"Results 5.1 paragraph 1 and Table 1",NUM29-025,0.9112,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-007,ROUNDED,"Security LightGBM F2; two occurrences"
MNA-033,"Results 5.1 paragraph 1 and Table 1",NUM29-026,0.0466,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-007,ROUNDED,"Security LightGBM FPR; two occurrences"
MNA-034,"Results 5.1 paragraph 1 and Table 1",NUM29-028,0.9802,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-007,ROUNDED,"Security LightGBM ROC-AUC; two occurrences"
MNA-035,"Results 5.1 paragraph 1 and Table 1",NUM29-029,0.9777,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-007,ROUNDED,"Security LightGBM PR-AUC; two occurrences"
MNA-036,"Results 5.1 Table 1",NUM29-014,0.51,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-004,EXACT,"Balanced threshold"
MNA-037,"Results 5.1 Table 1",NUM29-021,0.26,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-005,EXACT,"Security threshold"
MNA-038,"Results 5.1 paragraph 2",NUM29-034,0.000185,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-009,ROUNDED,"Paired F1 difference"
MNA-039,"Results 5.1 paragraph 2",NUM29-035,-0.000495,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-009,ROUNDED,"Paired interval lower bound"
MNA-040,"Results 5.1 paragraph 2",NUM29-036,0.000862,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-009,ROUNDED,"Paired interval upper bound"
MNA-041,"Results 5.1 paragraph 2",NUM29-040,33,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-010,EXACT,"Fewer false negatives"
MNA-042,"Results 5.1 paragraph 2",NUM29-041,2,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-010,EXACT,"False-negative interval lower bound"
MNA-043,"Results 5.1 paragraph 2",NUM29-042,64,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-010,EXACT,"False-negative interval upper bound"
MNA-044,"Results 5.1 paragraph 3",NUM29-043,0.04277,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-011,ROUNDED,"XGBoost Brier score"
MNA-045,"Results 5.1 paragraph 3",NUM29-044,0.04275,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-011,ROUNDED,"LightGBM Brier score"
MNA-046,"Results 5.2 paragraph 1 and Table 2",NUM29-135,0.5176,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-037,EXACT,"Random-natural mean ROC-AUC; two occurrences"
MNA-047,"Results 5.2 paragraph 1 and Table 2",NUM29-136,0.0073,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-037,EXACT,"Random-natural ROC-AUC SD; two occurrences"
MNA-048,"Results 5.2 paragraph 1 and Table 2",NUM29-137,0.2599,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-037,EXACT,"Random-natural mean PR-AUC; two occurrences"
MNA-049,"Results 5.2 paragraph 1 and Table 2",NUM29-138,0.0034,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-037,EXACT,"Random-natural PR-AUC SD; two occurrences"
MNA-050,"Results 5.2 paragraph 1 and Table 2",NUM29-139,0.8209,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-037,EXACT,"Chronological-natural mean ROC-AUC; two occurrences"
MNA-051,"Results 5.2 paragraph 1 and Table 2",NUM29-140,0.0085,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-037,EXACT,"Chronological-natural ROC-AUC SD; two occurrences"
MNA-052,"Results 5.2 paragraph 1 and Table 2",NUM29-141,0.6388,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-037,EXACT,"Chronological-natural mean PR-AUC; two occurrences"
MNA-053,"Results 5.2 paragraph 1 and Table 2",NUM29-142,0.0322,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-037,EXACT,"Chronological-natural PR-AUC SD; two occurrences"
MNA-054,"Results 5.2 paragraph 1 and Table 2",NUM29-143,5/5,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-038,EXACT,"PR-AUC directional consistency; two occurrences"
MNA-055,"Results 5.2 paragraph 1 and Table 2",NUM29-144,5/5,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-038,EXACT,"ROC-AUC directional consistency; two occurrences"
MNA-056,"Results 5.2 paragraph 2",NUM29-088,0.2870,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-021,EXACT,"First random security FPR"
MNA-057,"Results 5.2 paragraph 2",NUM29-089,0.2685,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-021,EXACT,"Second random security FPR"
MNA-058,"Results 5.3 paragraph 3",NUM29-056,2,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-015,EXACT,"Explanations meeting all criteria"
MNA-059,"Results 5.3 paragraph 3",NUM29-055,64,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-015,EXACT,"Deterministic explanation panel size; appears twice"
MNA-060,"Results 5.3 paragraph 3",NUM29-057,31,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-015,EXACT,"Cases failing local decision reproduction"
MNA-061,"Results 5.3 paragraph 3",NUM29-058,0.304,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-015,EXACT,"XGBoost SHAP-LIME top-10 Jaccard"
MNA-062,"Results 5.3 paragraph 3",NUM29-059,0.360,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-015,EXACT,"LightGBM SHAP-LIME top-10 Jaccard"
MNA-063,"Results 5.4 paragraphs 1 and Table 3",NUM29-090,"2,830,743",results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-024,FORMATTED,"Forward effective target rows; two occurrences"
MNA-064,"Results 5.4 paragraphs 1 and Table 3",NUM29-091,0.667483,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-024,EXACT,"Forward PR-AUC; two occurrences"
MNA-065,"Results 5.4 paragraphs 1 and Table 3",NUM29-092,0.733946,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-024,EXACT,"Forward ROC-AUC; two occurrences"
MNA-066,"Results 5.4 paragraphs 1 and Table 3",NUM29-093,0.104847,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-025,EXACT,"Reverse target prevalence; two occurrences"
MNA-067,"Results 5.4 paragraphs 1 and Table 3",NUM29-094,0.108176,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-025,EXACT,"Reverse PR-AUC; two occurrences"
MNA-068,"Results 5.4 paragraphs 1 and Table 3",NUM29-095,0.525167,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-025,EXACT,"Reverse ROC-AUC; two occurrences"
MNA-069,"Results 5.4 paragraph 2",NUM29-096,-0.007729,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-026,EXACT,"Aggregate-flag correction PR-AUC change"
MNA-070,"Results 5.4 paragraph 2",NUM29-097,+0.002192,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-026,EXACT,"Aggregate-flag correction ROC-AUC change"
MNA-071,"Results 5.4 paragraph 2",NUM29-098,+0.005087,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-026,EXACT,"Aggregate-flag correction Brier change"
MNA-072,"Results 5.4 paragraph 3",NUM29-099,2,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-027,EXACT,"Cancelled GROUNDED_S4 cells"
MNA-073,"Results 5.5 paragraphs 1-2 and Table 4",NUM29-100,0.1%,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-028,EXACT,"Assumed prevalence; repeated across text table and ranges"
MNA-074,"Results 5.5 paragraph 1 and Table 4",NUM29-101,0.965572,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-028,EXACT,"Random STANDARD projected PPV; two occurrences"
MNA-075,"Results 5.5 paragraph 1 and Table 4",NUM29-102,33.5,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-028,EXACT,"Projected analyst-hours/day; two occurrences"
MNA-076,"Results 5.5 paragraph 1 and Table 4",NUM29-103,0.000551068,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-029,EXACT,"Chronological STANDARD projected PPV; two occurrences"
MNA-077,"Results 5.5 paragraph 1 and Table 4",NUM29-104,0.0322,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-029,EXACT,"Projected true alerts/day; two occurrences"
MNA-078,"Results 5.5 paragraph 2 and Table 4",NUM29-105,0.039233,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-030,EXACT,"Forward PPV range lower; two occurrences"
MNA-079,"Results 5.5 paragraph 2 and Table 4",NUM29-106,0.060313,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-030,EXACT,"Forward PPV range upper; two occurrences"
MNA-080,"Results 5.5 paragraph 2 and Table 4",NUM29-107,0.000257610,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-030,EXACT,"Reverse PPV range lower; two occurrences"
MNA-081,"Results 5.5 paragraph 2 and Table 4",NUM29-108,0.000287993,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-030,EXACT,"Reverse PPV range upper; two occurrences"
MNA-082,"Results 5.5 paragraph 2",NUM29-109,15/24,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-031,EXACT,"Operating points favored at frozen 1:100 cost and 0.1% prevalence"
MNA-083,"Results 5.5 paragraph 2",NUM29-110,3/24,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-031,EXACT,"Operating points favored at frozen 1:100 cost and 0.01% prevalence"
MNA-084,"Results 5.6 paragraph 1",NUM29-111,1.94,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-032,ROUNDED,"Five-checkpoint p95 CPU/GPU ratio"
MNA-085,"Results 5.6 paragraph 1",NUM29-112,1.58,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-032,ROUNDED,"Single-resource p95 CPU/GPU ratio"
MNA-086,"Results 5.6 paragraph 1",NUM29-113,0.16,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-032,ROUNDED,"CatBoost p95 CPU/GPU ratio"
MNA-087,"Results 5.6 paragraph 1",NUM29-114,0.26,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-032,ROUNDED,"XGBoost p95 CPU/GPU ratio"
MNA-088,"Results 5.6 paragraph 1",NUM29-115,10.86,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-032,ROUNDED,"CNN p95 CPU/GPU ratio"
MNA-089,"Results 5.6 paragraph 1",NUM29-116,1.05,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-032,ROUNDED,"ViT p95 CPU/GPU ratio"
MNA-090,"Results 5.7 paragraph 1",NUM29-119,0.9982,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"DDoS XGBoost ROC-AUC"
MNA-091,"Results 5.7 paragraph 1",NUM29-120,0.9925,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"DDoS XGBoost PR-AUC"
MNA-092,"Results 5.7 paragraph 1",NUM29-121,0.9986,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"DDoS LightGBM ROC-AUC"
MNA-093,"Results 5.7 paragraph 1",NUM29-122,0.9940,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"DDoS LightGBM PR-AUC"
MNA-094,"Results 5.7 paragraph 1",NUM29-123,0.9693,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"Web Attack XGBoost ROC-AUC"
MNA-095,"Results 5.7 paragraph 1",NUM29-124,0.7206,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"Web Attack XGBoost PR-AUC"
MNA-096,"Results 5.7 paragraph 1",NUM29-125,0.9901,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"Web Attack LightGBM ROC-AUC"
MNA-097,"Results 5.7 paragraph 1",NUM29-126,0.7605,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"Web Attack LightGBM PR-AUC"
MNA-098,"Results 5.7 paragraph 2",NUM29-127,0.3224,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"Bot XGBoost ROC-AUC"
MNA-099,"Results 5.7 paragraph 2",NUM29-128,0.003256,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"Bot XGBoost PR-AUC"
MNA-100,"Results 5.7 paragraph 2",NUM29-129,0.5591,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"Bot LightGBM ROC-AUC"
MNA-101,"Results 5.7 paragraph 2",NUM29-130,0.5506,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"Port Scan XGBoost ROC-AUC"
MNA-102,"Results 5.7 paragraph 2",NUM29-131,0.7559,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-034,EXACT,"Port Scan LightGBM ROC-AUC"
MNA-103,"Results 5.7 paragraph 2 and Table 5",NUM29-118,36,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-036,EXACT,"Infiltration held-out positives; two occurrences"
MNA-104,"Results 5.8 paragraph 1",NUM29-132,108/108,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-041,EXACT,"Completed preregistered new fits"
MNA-105,"Results 5.8 paragraph 1",NUM29-133,12,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-041,EXACT,"Declared frozen artifact reuses"
MNA-106,"Results 5.8 paragraph 1",NUM29-134,0,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-041,EXACT,"Remaining planned execution"
MNA-107,"Limitations 7.1",NUM29-099,2,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-027,EXACT,"Cancelled GROUNDED_S4 cells"
MNA-108,"Limitations 7.2",NUM29-118,36,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-036,EXACT,"Infiltration positive support"
MNA-109,"Limitations 7.3",NUM29-143,5/5,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-038,EXACT,"Descriptive PR-AUC seed consistency"
MNA-110,"Limitations 7.3",NUM29-144,5/5,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-038,EXACT,"Descriptive ROC-AUC seed consistency"
MNA-111,"Manuscript-wide dataset names",META29-001,"CSE-CIC-IDS2018; CICIDS2017",results/stage29_manuscript_synthesis/evidence/master_evidence_matrix.csv,NONE,NON_RESULT_METADATA,"Digits are part of frozen dataset names rather than scientific results"
MNA-112,"Manuscript-wide stage labels",META29-002,"Stage01-Stage29",results/stage29_manuscript_synthesis/evidence/master_evidence_matrix.csv,NONE,NON_RESULT_METADATA,"Stage identifiers are provenance labels"
MNA-113,"Section headings and exhibit labels",META29-003,"Sections 1-8; Figures 1-6; Tables 1-6",results/stage29_manuscript_synthesis/figures/final_figure_registry.csv,NONE,NON_RESULT_METADATA,"Document and exhibit numbering"
MNA-114,"Datasets 3.2 and Methods 4.4",META29-004,"bridge62; bridge70; GROUNDED_S4",results/stage29_manuscript_synthesis/evidence/master_evidence_matrix.csv,E29-024,NON_RESULT_METADATA,"Frozen protocol and representation names"
MNA-115,"Datasets and limitations",META29-005,"February 20; February 28",results/stage29_manuscript_synthesis/evidence/master_evidence_matrix.csv,"E29-018;E29-025",NON_RESULT_METADATA,"Frozen source/target date labels"
MNA-116,"Methods 4.2",META29-006,4,results/stage29_manuscript_synthesis/evidence/master_evidence_matrix.csv,E29-020,NON_RESULT_METADATA,"Count of frozen temporal development cells"
MNA-117,"Methods 4.3",META29-007,7,results/stage29_manuscript_synthesis/evidence/master_evidence_matrix.csv,E29-022,NON_RESULT_METADATA,"Count of preregistered shortcut feature subsets"
MNA-118,"Results 5.5 paragraph 2",META29-008,"1:100; 0.01%",results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-031,NON_RESULT_METADATA,"Scenario labels are frozen in the contexts for NUM29-109 and NUM29-110"
MNA-119,"Results 5.6 paragraph 1",META29-009,"batch one",results/stage29_manuscript_synthesis/evidence/master_evidence_matrix.csv,E29-032,NON_RESULT_METADATA,"Frozen measurement batch label"
MNA-120,"Results 5.3 paragraph 3",META29-010,top-10,results/stage29_manuscript_synthesis/evidence/final_manuscript_numbers.csv,E29-015,NON_RESULT_METADATA,"Frozen attribution-agreement cutoff recorded in NUM29-058 and NUM29-059 contexts"
