component_ordinal,component_id,arm,experiment,unit,evaluation_cell_id,learner,configuration_id,model_seed,compute_backend,parameter_set_id,parameter_sha256,membership_reference,positive_class_weight,fit_action,reused_model_path,reused_model_sha256,new_fit_budget_units,reuse_budget_units
13,C013,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED43,XGBOOST,XGB_11,43,CPU,STAGE22_FULL::XGBOOST::SEED43,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
14,C014,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED43,LIGHTGBM,LGBM_11,43,CPU,STAGE22_FULL::LIGHTGBM::SEED43,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
15,C015,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED44,XGBOOST,XGB_11,44,CPU,STAGE22_FULL::XGBOOST::SEED44,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
16,C016,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED44,LIGHTGBM,LGBM_11,44,CPU,STAGE22_FULL::LIGHTGBM::SEED44,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
17,C017,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED45,XGBOOST,XGB_11,45,CPU,STAGE22_FULL::XGBOOST::SEED45,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
18,C018,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED45,LIGHTGBM,LGBM_11,45,CPU,STAGE22_FULL::LIGHTGBM::SEED45,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
19,C019,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED46,XGBOOST,XGB_11,46,CPU,STAGE22_FULL::XGBOOST::SEED46,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
20,C020,28A_TRAINING_SEED_STABILITY,STAGE22_FULL,CHRONOLOGICAL_NATURAL,28A_STAGE22::CHRONOLOGICAL_NATURAL::SEED46,LIGHTGBM,LGBM_11,46,CPU,STAGE22_FULL::LIGHTGBM::SEED46,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,STAGE22R_FROZEN_CHRONOLOGICAL_NATURAL_MEMBERSHIP,,NEW_FIT_AUTHORIZED,,,1,0
21,C021,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED42,XGBOOST,XGB_11,42,CPU,LOAO::XGBOOST::SEED42,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,5.260953260086455,REUSE_EXISTING,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/BOT_XGBOOST_XGB_11.json,3d7b8747f911ae406894dbb07ec6870ceda91653e09792702b85e5777c5d43c9,0,1
22,C022,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED42,LIGHTGBM,LGBM_11,42,CPU,LOAO::LIGHTGBM::SEED42,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,5.260953260086455,REUSE_EXISTING,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/BOT_LIGHTGBM_LGBM_11.txt,3c273f00f7d8672c4efcdf2473b9c9c84487f5a63ad60c7abde854c2f3fbad3e,0,1
23,C023,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED43,XGBOOST,XGB_11,43,CPU,LOAO::XGBOOST::SEED43,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
24,C024,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED43,LIGHTGBM,LGBM_11,43,CPU,LOAO::LIGHTGBM::SEED43,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
25,C025,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED44,XGBOOST,XGB_11,44,CPU,LOAO::XGBOOST::SEED44,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
26,C026,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED44,LIGHTGBM,LGBM_11,44,CPU,LOAO::LIGHTGBM::SEED44,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
27,C027,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED45,XGBOOST,XGB_11,45,CPU,LOAO::XGBOOST::SEED45,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
28,C028,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED45,LIGHTGBM,LGBM_11,45,CPU,LOAO::LIGHTGBM::SEED45,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
29,C029,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::XGBOOST::SEED46,XGBOOST,XGB_11,46,CPU,LOAO::XGBOOST::SEED46,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
30,C030,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,BOT,28A_STAGE27_CHRONO::BOT::LIGHTGBM::SEED46,LIGHTGBM,LGBM_11,46,CPU,LOAO::LIGHTGBM::SEED46,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_BOT_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
31,C031,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::XGBOOST::SEED42,XGBOOST,XGB_11,42,CPU,LOAO::XGBOOST::SEED42,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,5.260953260086455,REUSE_EXISTING,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/DDOS_XGBOOST_XGB_11.json,3d7b8747f911ae406894dbb07ec6870ceda91653e09792702b85e5777c5d43c9,0,1
32,C032,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::LIGHTGBM::SEED42,LIGHTGBM,LGBM_11,42,CPU,LOAO::LIGHTGBM::SEED42,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,5.260953260086455,REUSE_EXISTING,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/DDOS_LIGHTGBM_LGBM_11.txt,adb23a188d215acdbfd47002d4c3c5a6a236dae4cc0d4783fbffaaccaef21c44,0,1
33,C033,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::XGBOOST::SEED43,XGBOOST,XGB_11,43,CPU,LOAO::XGBOOST::SEED43,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
34,C034,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::LIGHTGBM::SEED43,LIGHTGBM,LGBM_11,43,CPU,LOAO::LIGHTGBM::SEED43,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
35,C035,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::XGBOOST::SEED44,XGBOOST,XGB_11,44,CPU,LOAO::XGBOOST::SEED44,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
36,C036,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::LIGHTGBM::SEED44,LIGHTGBM,LGBM_11,44,CPU,LOAO::LIGHTGBM::SEED44,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
37,C037,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::XGBOOST::SEED45,XGBOOST,XGB_11,45,CPU,LOAO::XGBOOST::SEED45,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
38,C038,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::LIGHTGBM::SEED45,LIGHTGBM,LGBM_11,45,CPU,LOAO::LIGHTGBM::SEED45,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
39,C039,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::XGBOOST::SEED46,XGBOOST,XGB_11,46,CPU,LOAO::XGBOOST::SEED46,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
40,C040,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,DDOS,28A_STAGE27_CHRONO::DDOS::LIGHTGBM::SEED46,LIGHTGBM,LGBM_11,46,CPU,LOAO::LIGHTGBM::SEED46,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_DDOS_reconstruction_receipt.json,5.260953260086455,NEW_FIT_AUTHORIZED,,,1,0
41,C041,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::XGBOOST::SEED42,XGBOOST,XGB_11,42,CPU,LOAO::XGBOOST::SEED42,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,69.53321286591977,REUSE_EXISTING,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/INFILTRATION_XGBOOST_XGB_11.json,0611a874f999a4483d20ac8a1a01418dc6f08d36636a203ce209d37be3e6c2e9,0,1
42,C042,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::LIGHTGBM::SEED42,LIGHTGBM,LGBM_11,42,CPU,LOAO::LIGHTGBM::SEED42,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,69.53321286591977,REUSE_EXISTING,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/INFILTRATION_LIGHTGBM_LGBM_11.txt,5dc9100c3e0fcad481b61a6a6b35008a1943cc7881416a4b89cd143501b77751,0,1
43,C043,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::XGBOOST::SEED43,XGBOOST,XGB_11,43,CPU,LOAO::XGBOOST::SEED43,5ac981f17f3327f8de881b672b6bf35a3b020a3a56a68957146cbe6622e30ed0,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
44,C044,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::LIGHTGBM::SEED43,LIGHTGBM,LGBM_11,43,CPU,LOAO::LIGHTGBM::SEED43,d43b2e4009bec8e9874a2ec0fd65f1279ea8d493808a386ab84fc801076e9c13,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
45,C045,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::XGBOOST::SEED44,XGBOOST,XGB_11,44,CPU,LOAO::XGBOOST::SEED44,ae022425b27139a0ccdbb8e08ab9035ab386c4521afb3d9f095b1f7dc5cb7731,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
46,C046,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::LIGHTGBM::SEED44,LIGHTGBM,LGBM_11,44,CPU,LOAO::LIGHTGBM::SEED44,0ed7e79e2b5d5f55b4cf8a3753c5df9ad083d412aa0ad08f72610f69b7692454,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
47,C047,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::XGBOOST::SEED45,XGBOOST,XGB_11,45,CPU,LOAO::XGBOOST::SEED45,ca62fc9245eaad469fdf744635d56dc10951d77cf808c1616122be817be35565,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
48,C048,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::LIGHTGBM::SEED45,LIGHTGBM,LGBM_11,45,CPU,LOAO::LIGHTGBM::SEED45,6daf64f6e8034953ca426e6241177a45ee5cc6bdf5434bfa5a8f3789e34f431c,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
49,C049,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::XGBOOST::SEED46,XGBOOST,XGB_11,46,CPU,LOAO::XGBOOST::SEED46,f0f79c993ba61a0d11f6abb3fe34419203768a8f65df0dbcee72f3fa9d93f676,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
50,C050,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,INFILTRATION,28A_STAGE27_CHRONO::INFILTRATION::LIGHTGBM::SEED46,LIGHTGBM,LGBM_11,46,CPU,LOAO::LIGHTGBM::SEED46,7847b3ccffa8bdc77842ddf8ae34dddfec4d7b468b41824b2603d47828190d9c,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_INFILTRATION_reconstruction_receipt.json,69.53321286591977,NEW_FIT_AUTHORIZED,,,1,0
51,C051,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::XGBOOST::SEED42,XGBOOST,XGB_11,42,CPU,LOAO::XGBOOST::SEED42,1eb12cc88f3e1b455da9882d8439938fda175c66435940a5e2a6850cbcda63ff,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,5.260953260086455,REUSE_EXISTING,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/PORT_SCAN_XGBOOST_XGB_11.json,3d7b8747f911ae406894dbb07ec6870ceda91653e09792702b85e5777c5d43c9,0,1
52,C052,28A_TRAINING_SEED_STABILITY,STAGE27_CHRONOLOGY_LOAO,PORT_SCAN,28A_STAGE27_CHRONO::PORT_SCAN::LIGHTGBM::SEED42,LIGHTGBM,LGBM_11,42,CPU,LOAO::LIGHTGBM::SEED42,dbb7ac185b3ac6aa8e3ac915cfa2b2080ee54bec8e7a38cab83537faad2f2754,results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction/fold_PORT_SCAN_reconstruction_receipt.json,5.260953260086455,REUSE_EXISTING,results/stage27_loao_unseen_attack/stage27_2a_preopening_models/models/PORT_SCAN_LIGHTGBM_LGBM_11.txt,d257eeb3b63018cde78b9460dadb02c46e0287cde5f8477bab0b8ff757962c4c,0,1
