feature_index,feature_name,dtype,training_unique_count,training_missing_count,training_minimum,training_maximum,training_mean,training_std,dominant_value_fraction,constant_feature,near_constant_feature,integer_like,low_cardinality_numeric_candidate,validation_mean_shift_in_train_std,holdout_mean_shift_in_train_std,suspicious_target_name
24,Fwd IAT Max,float64,82389,0,0.0,119982384.0,5394374.188734793,16117656.0595032,0.2997720581744923,False,False,True,False,-0.004322436011112658,-0.004317377835757414,False
25,Fwd IAT Min,float64,31233,0,0.0,119982384.0,2524112.4068216393,13127773.637132153,0.30660512064301404,False,False,True,False,-0.007747107135125757,-0.002975369604065436,False
26,Bwd IAT Tot,float64,64534,0,0.0,120000000.0,6634230.800299076,24277667.305898458,0.5348429070630812,False,False,True,False,0.0016623637324951097,6.446737391045364e-05,False
27,Bwd IAT Mean,float64,69884,0,0.0,119464319.0,1217194.711660374,7592466.363309943,0.5348429070630812,False,False,False,False,0.0009326292831362207,-0.0014432653907777134,False
28,Bwd IAT Std,float64,68965,0,0.0,84356069.8143886,852901.7592933896,3704333.5377411502,0.6299138597976043,False,False,False,False,0.003923791480305913,-0.0021937717253187653,False
29,Bwd IAT Max,float64,54933,0,0.0,119564005.0,2632353.4102329784,11478054.84222344,0.5348429070630812,False,False,True,False,0.0005079902642888473,-0.0028248971865669197,False
30,Bwd IAT Min,float64,31444,0,0.0,119464319.0,639722.7078658103,6667129.491089154,0.5615365044420099,False,False,True,False,-0.0006443553039744882,-0.0020439666728002967,False
31,Fwd PSH Flags,int64,2,0,0.0,1.0,0.03319435285809973,0.1791437629295183,0.9668056471419003,False,False,True,True,0.008431316419311562,-0.0053640890384220345,False
32,Bwd PSH Flags,int64,1,0,0.0,0.0,0.0,0.0,1.0,True,True,True,True,0.0,0.0,False
33,Fwd URG Flags,int64,2,0,0.0,1.0,0.0005399988576947241,0.023231600438380545,0.9994600011423053,False,True,True,True,0.00804556530682879,-0.00035786377365060255,False
34,Bwd URG Flags,int64,1,0,0.0,0.0,0.0,0.0,1.0,True,True,True,True,0.0,0.0,False
35,Fwd Header Len,int64,758,0,0.0,1942080.0,1153.2253612540435,31867.783407091534,0.27133384910147307,False,False,True,False,0.004921560684260853,0.0035019238664375386,False
36,Bwd Header Len,int64,769,0,0.0,527112.0,104.80007061523524,1716.1607486872915,0.2057603339685243,False,False,True,False,0.002542923624678929,0.007059686928056858,False
37,Fwd Pkts/s,float64,108686,0,0.0166691137,3000000.0,83967.90118444941,250746.97674436925,0.06539178474814765,False,False,False,False,0.0035275165071865957,-0.0015816926157980317,False
38,Bwd Pkts/s,float64,88111,0,0.0,2000000.0,69129.76080593902,196959.79014238284,0.20535014252854464,False,False,False,False,0.0010172414747086343,-0.0018957552722427076,False
39,Pkt Len Min,int64,84,0,0.0,788.0,8.669785506222967,35.3705847463152,0.8340126588193756,False,False,True,False,0.004532726641880907,0.00623412352513827,False
40,Pkt Len Max,int64,947,0,0.0,64440.0,403.8672797038314,527.5164098153145,0.3670798004081145,False,False,True,False,0.0021628611827314314,0.00343962174236954,False
41,Pkt Len Mean,float64,12658,0,0.0,3326.9937254902,78.15587425858486,102.36587230939844,0.3670798004081145,False,False,False,False,0.00889455921372684,0.0029329608262910383,False
42,Pkt Len Std,float64,14341,0,0.0,10579.8091239129,131.09698621768592,164.1668384879976,0.3827501518746787,False,False,False,False,0.0026335120982596072,-0.00034107340026585806,False
43,Pkt Len Var,float64,14140,0,0.0,111932361.098431,44137.17065324031,269478.6640232785,0.3827501518746787,False,False,False,False,0.0009281058779280095,0.006265537580537231,False
44,FIN Flag Cnt,int64,2,0,0.0,1.0,0.002731148068725239,0.05218897296309273,0.9972688519312748,False,False,True,True,-0.002985477739554755,-0.007124022072804078,False
45,SYN Flag Cnt,int64,2,0,0.0,1.0,0.03319435285809973,0.1791437629295183,0.9668056471419003,False,False,True,True,0.008431316419311562,-0.0053640890384220345,False
46,RST Flag Cnt,int64,2,0,0.0,1.0,0.21402647032862046,0.41014526734629636,0.7859735296713796,False,False,True,True,0.001207179368432806,-0.005849589843858911,False
47,PSH Flag Cnt,int64,2,0,0.0,1.0,0.5279319601439305,0.49921919594762043,0.5279319601439305,False,False,True,True,0.005849507274155476,-0.0034651178394704313,False
48,ACK Flag Cnt,int64,2,0,0.0,1.0,0.2910438074073305,0.4542436676246149,0.7089561925926695,False,False,True,True,-0.006422470527092927,-0.0013081111063626978,False
49,URG Flag Cnt,int64,2,0,0.0,1.0,0.02572263789441984,0.15830661323606965,0.9742773621055801,False,False,True,True,6.306596416265666e-05,-0.00547266477293643,False
50,CWE Flag Count,int64,2,0,0.0,1.0,0.0005399988576947241,0.023231600438380545,0.9994600011423053,False,True,True,True,0.00804556530682879,-0.00035786377365060255,False
51,ECE Flag Cnt,int64,2,0,0.0,1.0,0.21402647032862046,0.41014526734629636,0.7859735296713796,False,False,True,True,0.001207179368432806,-0.005849589843858911,False
52,Down/Up Ratio,int64,30,0,0.0,224.0,0.5229421630069628,0.9428175840656258,0.49709490999153655,False,False,True,True,-0.001104557926694134,-0.0005603550663346055,False
53,Pkt Size Avg,float64,12304,0,0.0,3328.2989407611,89.18983756716808,109.54085223185274,0.3670798004081145,False,False,False,False,0.009319713021874305,0.003003564720463208,False
54,Fwd Seg Size Avg,float64,7489,0,0.0,16529.3138401559,63.85670939374015,86.6437127409402,0.3678482603209878,False,False,False,False,0.004556712451338339,0.006680112254333901,False
55,Bwd Seg Size Avg,float64,8312,0,0.0,1955.963636,100.221316132153,152.27543968396014,0.42749736490942036,False,False,False,False,0.0050738372536921145,-0.0015841971704338282,False
56,Fwd Byts/b Avg,int64,1,0,0.0,0.0,0.0,0.0,1.0,True,True,True,True,0.0,0.0,False
57,Fwd Pkts/b Avg,int64,1,0,0.0,0.0,0.0,0.0,1.0,True,True,True,True,0.0,0.0,False
58,Fwd Blk Rate Avg,int64,1,0,0.0,0.0,0.0,0.0,1.0,True,True,True,True,0.0,0.0,False
59,Bwd Byts/b Avg,int64,1,0,0.0,0.0,0.0,0.0,1.0,True,True,True,True,0.0,0.0,False
60,Bwd Pkts/b Avg,int64,1,0,0.0,0.0,0.0,0.0,1.0,True,True,True,True,0.0,0.0,False
61,Bwd Blk Rate Avg,int64,1,0,0.0,0.0,0.0,0.0,1.0,True,True,True,True,0.0,0.0,False
62,Subflow Fwd Pkts,int64,503,0,1.0,242760.0,135.34714138104707,3982.5753658939193,0.29965263535019443,False,False,True,False,0.004758748772241206,0.003406771070043476,False
63,Subflow Fwd Byts,int64,3370,0,0.0,8737314.0,4740.375268052318,131479.90880990296,0.3678482603209878,False,False,True,False,0.0052229993595069,0.007125993694351426,False
64,Subflow Bwd Pkts,int64,375,0,0.0,26355.0,4.799857731070184,85.84321295472354,0.3279350755219556,False,False,True,False,0.002539554192829348,0.007183844833769259,False
65,Subflow Bwd Byts,int64,5896,0,0.0,38392354.0,2623.3883993706936,121638.1008508608,0.42749736490942036,False,False,True,False,0.002686430720117811,0.005455455096482076,False
66,Init Fwd Win Byts,int64,1531,0,-1.0,65535.0,15342.658533799255,20641.658537784228,0.23042374333438911,False,False,True,False,-0.0038661400127744773,-0.008175871202377488,False
67,Init Bwd Win Byts,int64,1726,0,-1.0,65535.0,7580.4544869232,18510.1441664396,0.3578167430799666,False,False,True,False,0.003789092975334223,0.003456431882044037,False
68,Fwd Act Data Pkts,int64,342,0,0.0,242759.0,131.98693618148116,3982.4891069497758,0.5036943191081711,False,False,True,False,0.004706547647299485,0.003377391451764293,False
69,Fwd Seg Size Min,int64,10,0,0.0,48.0,22.200806882908516,9.919936718526637,0.5247802360418083,False,False,True,True,0.0023477117824736195,-0.002729732472064116,False
70,Active Mean,float64,16674,0,0.0,111992358.0,251791.90140162554,2765808.4118052023,0.8979869465660746,False,False,False,False,-0.0011711583225204334,-0.0056178685488774225,False
71,Active Std,float64,11065,0,0.0,67898659.406766,107872.13212248564,1605311.1252301042,0.9416074312150493,False,False,False,False,-0.00016630157357128698,-0.006487662095989706,False
72,Active Max,float64,16487,0,0.0,111992358.0,353418.3639592301,3622026.5530987657,0.8979869465660746,False,False,True,False,-0.0005549461080767784,-0.006498098314139009,False
73,Active Min,float64,14345,0,0.0,111992358.0,177403.152264101,2346393.2420871565,0.8979869465660746,False,False,True,False,-0.001118735618030747,-0.0033832963184425298,False
74,Idle Mean,float64,31716,0,0.0,119982384.0,4292805.524203839,14559784.616539067,0.8072619461766524,False,False,False,False,-0.008747398842393301,-0.00483435243120045,False
75,Idle Std,float64,12655,0,0.0,69100000.0,322683.4257722726,2345047.1298178015,0.9262122714740411,False,False,False,False,0.006472173162908299,-0.0012873630945542626,False
76,Idle Max,float64,29833,0,0.0,119982384.0,4693746.189529214,15344251.718322013,0.8072619461766524,False,False,True,False,-0.0069672268770941915,-0.004406022273692531,False
77,Idle Min,float64,32110,0,0.0,119982384.0,4004072.219737997,14332408.734359588,0.8072619461766524,False,False,True,False,-0.010082782482880857,-0.005064142867734472,False
