path,extension,size_bytes,sha256,git_tracked,scientific_stage,artifact_role,provenance_classification,structured_shape,row_count,dimension_basis,record_bound,redistribution_status,rights_basis,notes
configs/stage04/protocol.json,.json,2849,4a3375092f71025fad80af2494e9c2de8c8f49ad7de47716b850b88178a18f3e,YES,Stage04,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=10,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage05/protocol.json,.json,2078,c975b690dd35a33520a716c0cfd4c92be43c7542a1530b66d6c9c395945fd623,YES,Stage05,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=10,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage06/protocol.json,.json,4747,000b6631a448915b7d3fb768416f3d603331f38d81c2bd1cd13de40124d8588b,YES,Stage06,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=12,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage07/protocol.json,.json,4271,1b388b229042e6fe2c738e9b5141177228bbfc66ab5f057d16bfbf98dc520496,YES,Stage07,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=11,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage08/protocol.json,.json,4148,8c4b7924d7651e3fdfffd6e3a0aa4e69e6ae200a93ee03ac4b06f069d057ea4a,YES,Stage08,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=10,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage09/protocol.json,.json,4343,5f38b14b3601034a9d1a897e7b7c99ce00135a390f69eee29c4d7a956b1c9ba1,YES,Stage09,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=10,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage10/protocol.json,.json,3987,a80b59040a760b368a5a461d4e16b5fdd3298bffaa88c3eb2f5b7000bb1875c4,YES,Stage10,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=10,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage11/protocol.json,.json,4091,0ef1a43bacd779497ae52997c1a530fa56a2f117a5b8a6466319b8ac15f7e7e6,YES,Stage11,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=10,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage12/protocol.json,.json,4098,853c59e824b6817b1a75d1c399a9e021ef64b1fc9c7320021311e63561741d94,YES,Stage12,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=10,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage13/protocol.json,.json,4927,c61644f52487ef5fcbbf186f1f967603cf53d497f756a209992a201def1974af,YES,Stage13,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=10,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage14/protocol.json,.json,4581,7f75fd7a5fac55db4c05c3eac1109c8c5a180803e20ddba1fd362acc16745141,YES,Stage14,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=10,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage15/protocol.json,.json,10786,ac10239b25a0b021b4212f2a39f109080a91ab2ebf5e4e1670d353a3fd288016,YES,Stage15,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=11,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage16/protocol.json,.json,7098,52cb7c35e895ff60df046f2425c8b79e9c562d2121210b1b89532f61a255c33c,YES,Stage16,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=11,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage17/protocol.json,.json,9958,4ac64c17059ba63862b68c49ee286d2cafdc503a6173fff3af0c2b241d6f68e2,YES,Stage17,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=11,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage18/protocol.json,.json,14444,7c3610a0b4aa34ee0e9bd08bafdf555467e5478d41e332745836f637c1a80656,YES,Stage18,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=11,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage19/protocol.json,.json,13049,16a62ffe2805a78c1963edbd860d51c542e370727326ca3a731ad7e613dd76c2,YES,Stage19,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=11,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage20/cnn_governance.json,.json,3026,5f1dedc831e7e933d8bca890d32b49e650f954cdf2a629f0b05d9dce8f21bc8e,YES,Stage20,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=12,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage20/compact_corpus.json,.json,1798,3eea22dd0361cf6da84fd3fb3eb967b8f134fc29754e60ad94e77ae230934a47,YES,Stage20,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=15,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage20/protocol.json,.json,12086,09dfba0d1d3f74bd37953a1e8f83c53872badc554dbac3a69357ad977f04dbdb,YES,Stage20,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=13,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage20/provenance.json,.json,3223,4ce772ecbcb38530b492f535b32febaf55e099d53ffdf2112a186d49ad228381,YES,Stage20,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=9,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage20/reconstruction.json,.json,3271,b8322ea3904f6e88cf71e509576bcee36b0c321f10fe7740a5040d9d0e89b714,YES,Stage20,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=13,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage20/representation.json,.json,1963,8b2c145f98189b71f06374c817f97db5982c6990f17f2fe0580cd65b49823b13,YES,Stage20,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=11,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage21/protocol.json,.json,7913,44e18a9125e23bb3cdf5dfd6fe70671e24048e6d0c090367c686f3d1079f6440,YES,Stage21,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=16,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage22/protocol.json,.json,11904,e88f0a43fe92f2e982ec266c4dffbf88da2cccff64921a4e9e043ac6a49a4298,YES,Stage22,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=16,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage23/protocol.json,.json,11086,86a7689fd10cf4556cef182613621ada9804f6242b060ef1c11e7e29dd6618b4,YES,Stage23,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=16,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage24/protocol.json,.json,12789,afb5cf9105fee7f3348bb158ef3647e5b195344688cd5168ea867f6cdf6ba6d7,YES,Stage24,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=16,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage25/protocol.json,.json,7590,0102e91661c45f38546a8f3396d2d78ee94d95b5286eb20059ec038ad1b03915,YES,Stage25,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=16,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage26/protocol.json,.json,13506,15f49ad968c284295affe610738b7b8c9e4789446a844dba33c8c676dbcb16d5,YES,Stage26,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=16,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage27/protocol.json,.json,12096,646e8229357037059c763b33171eb30412714ac58704b75947c91db0260c3414,YES,Stage27,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=16,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
configs/stage28/protocol.json,.json,13128,cc2a3086d9125e6a4a63b0eb256f6fddcf43003c5e022c4b227e0db7d599ab7a,YES,Stage28,CONFIG_PROTOCOL,REPOSITORY_AUTHORED_DOCUMENTATION,json_object_keys=16,NOT_APPLICABLE,JSON_TOP_LEVEL_STATIC_METADATA,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored protocol or environment documentation
docs/ATTACK_CATEGORY_ANALYSIS.md,.md,9703,2a64f29f2a8f1cd17293547e163b1cc1f1f5d2c6f9c831c6ce53f24eecbf402a,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/CALIBRATION_ASSESSMENT.md,.md,3262,230cf91c325e11bd55720335d6ee5b611fd1cf20bb39943aea592a68dbdce50a,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/EXPERIMENT_PROTOCOL.md,.md,5253,6a0fa718717948b46acd3c0a0cefde98eef90e4dce45cf93cea627dd263facfa,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/JOURNAL_EXTENSION_SUMMARY.md,.md,8050,2ae0ad556b2cbd5c00dc4a8e14337f24d3ee77c22495eb54f095cbf6ec401e34,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/MULTISEED_ROBUSTNESS.md,.md,4128,70a78cfde5f19e4b3df33b06da784e5e6a307024b67f4ef02d81c79372a63f2b,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/OPERATIONAL_COST_ANALYSIS.md,.md,6477,28c28febc222fad3260472bee7f52197672577439a83266f113fcf7ae560e4eb,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/ORIGINAL_VS_VALIDATION_SAFE.md,.md,991,190bf868247527b81a33abf8c0a53b9856527b26077208560a111006df86fdf5,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/PUBLICATION_ARCHIVE_THROUGH_STAGE21.md,.md,1903,8ac42f5815772b38a240f7e00a1363a4ca5ee1312957dd4dca2e7e81df67cb8e,YES,Stage21,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/RESULTS_SUMMARY.md,.md,5208,11d05ba7e8cd4390c30c274c3b2be824ca2d0ceb62e00df08c1e20082ac61a67,YES,CROSS_STAGE_OR_NOT_STAGE_SPECIFIC,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md,.md,3899,54180a82bc44458e440c85e6d01b20fc6df43004996483556067467df64c80c3,YES,Stage13,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE13_MANUSCRIPT_PARAGRAPH.txt,.txt,874,a9857e780b8c93f8cba171c6747a3700304ae4b045600d2d40b3d5ed106c12c5,YES,Stage13,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE18_MANUSCRIPT_INTEGRATION.md,.md,17377,83138e8feb7080f7709f5afcaf8c8a08c4b9c55475590faa04917b8a0ebdf1bf,YES,Stage18,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE20_1C11_JNETPCAP_FORENSIC_CHECKPOINT.md,.md,5783,7f21d48e0a9eb33eebe2979009cedab21cb1f5462e0c66db07617bb37fe0116c,YES,Stage20,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE20_1C14_TCP_PAYLOAD_SEMANTICS_FREEZE.md,.md,2687,1a86cc2bc8359dfabc9c8e9837a43f8923d8cfd7451f1e6fe619c05338400466,YES,Stage20,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE20_1C15R_D5_SOURCE_FAITHFUL_BASELINE_ERRATUM.md,.md,3756,d2a9090d3c83a3bd4fd568309d450f57a83c5f47da3e29c4823e3f112f3392a3,YES,Stage20,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE20_1C15R_V1_TCP_PAYLOAD_VALIDATION.md,.md,3935,d4c1bf92009da9c915f665b0f340af26297236ff25f9f081d82991c68be9261a,YES,Stage20,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE20_1C16A_D_COHORT_UNION_FORENSIC.md,.md,2767,6a7200ab1ebe7b17443d01bb067396399c427a3d7286d6302457926fec084e27,YES,Stage20,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE20_1C16A_SOURCE_FAITHFUL_MANIFEST_RECOVERY.md,.md,2866,fbc779905fab4d749501ede75a224d154aacd0360bcef8477233325ec4a8c9fc,YES,Stage20,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE20_1C16B_TRANSITION_COHORT_PACKET_GEOMETRY.md,.md,4813,17f4ac6691cde3acc24a883d24ac3fa328724475e81275bf8fa1a79f66870516,YES,Stage20,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE20_1C16C_PACKET_GEOMETRY_SIGN_POSITION_PHENOTYPE.md,.md,3200,eddaa1effef971410cd2808ae189372758a16a690188d7deaedbb55ef55c227e,YES,Stage20,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE20_1C16D0_MECHANISM_SEARCH_STOPPING_RULE.md,.md,3738,8d16d4c649a07feac0b9c45bd2540c22d6b41767c47696ec1b87cc3ba01318bc,YES,Stage20,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
docs/STAGE20_1C16D1_M1_GT_CAPTURE_BEYOND_DECLARED_IPV4.md,.md,2605,70fd8a379bd3422378b63ccd8ac2a777ca61ec3abefd3895d1942623e5268556,YES,Stage20,SCIENTIFIC_OR_REPOSITORY_DOCUMENTATION,REPOSITORY_AUTHORED_DOCUMENTATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO,INCLUDE,SCOPED_MIT_REPOSITORY_AUTHORED,Repository-authored manuscript or documentation
