"audit_id","manuscript_location","number_id","frozen_source_value","displayed_manuscript_value","source_artifact","evidence_id","registered_rounding_rule","rounding_authorization","resolution_type","status"
"P2C-FNA-021","5. Results / 5.1 How strong was the conventional reference?, line 134","NUM29-026","0.04655555555555556","0.0466","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-022","5. Results / 5.1 How strong was the conventional reference?, line 134","NUM29-025","0.9111605955862803","0.9112","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-023","5. Results / 5.1 How strong was the conventional reference?, line 134","NUM29-024","0.9177721052851823","0.9178","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-024","5. Results / 5.1 How strong was the conventional reference?, line 134","NUM29-017","0.9285008671218141","0.9285","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-025","5. Results / 5.1 How strong was the conventional reference?, line 134","NUM29-020","0.9776433333080397","0.9776","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-026","5. Results / 5.1 How strong was the conventional reference?, line 134","NUM29-029","0.9776909621341594","0.9777","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-027","5. Results / 5.1 How strong was the conventional reference?, line 134","NUM29-019","0.9801912125472036","0.9802","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-028","5. Results / 5.1 How strong was the conventional reference?, line 134","NUM29-028","0.9802072525887335","0.9802","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-029","5. Results / 5.1 How strong was the conventional reference?, line 136","NUM29-035","-0.0004952955263602676","-0.000495","results/statistical_confidence/paired_balanced_model_differences.csv","E29-009","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-030","5. Results / 5.1 How strong was the conventional reference?, line 136","NUM29-034","0.000185061470508896","0.000185","results/statistical_confidence/paired_balanced_model_differences.csv","E29-009","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-031","5. Results / 5.1 How strong was the conventional reference?, line 136","NUM29-036","0.0008619090916325816","0.000862","results/statistical_confidence/paired_balanced_model_differences.csv","E29-009","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-032","5. Results / 5.1 How strong was the conventional reference?, line 136","NUM29-044","0.04275382352223183","0.04275","results/calibration/calibration_metric_point_estimates.csv","E29-011","5 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-033","5. Results / 5.1 How strong was the conventional reference?, line 136","NUM29-043","0.04277372026730192","0.04277","results/calibration/calibration_metric_point_estimates.csv","E29-011","5 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-034","5. Results / 5.1 How strong was the conventional reference?, line 136","NUM29-041","2","2","results/statistical_confidence/paired_security_model_differences.csv","E29-010","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-035","5. Results / 5.1 How strong was the conventional reference?, line 136","NUM29-040","33","33","results/statistical_confidence/paired_security_model_differences.csv","E29-010","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-036","5. Results / 5.1 How strong was the conventional reference?, line 136","NUM29-042","64","64","results/statistical_confidence/paired_security_model_differences.csv","E29-010","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-037","5. Results / 5.1 How strong was the conventional reference?, line 142","NUM29-018","0.006083333333333333","0.0061","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-038","5. Results / 5.1 How strong was the conventional reference?, line 142","NUM29-014","0.51","0.51","docs/RESULTS_SUMMARY.md","E29-004","2 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-039","5. Results / 5.1 How strong was the conventional reference?, line 142","NUM29-017","0.9285008671218141","0.9285","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-040","5. Results / 5.1 How strong was the conventional reference?, line 142","NUM29-020","0.9776433333080397","0.9776","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-041","5. Results / 5.1 How strong was the conventional reference?, line 142","NUM29-019","0.9801912125472036","0.9802","docs/RESULTS_SUMMARY.md","E29-006","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-042","5. Results / 5.1 How strong was the conventional reference?, line 143","NUM29-026","0.04655555555555556","0.0466","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-043","5. Results / 5.1 How strong was the conventional reference?, line 143","NUM29-021","0.26","0.26","docs/RESULTS_SUMMARY.md","E29-005","2 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-044","5. Results / 5.1 How strong was the conventional reference?, line 143","NUM29-025","0.9111605955862803","0.9112","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-045","5. Results / 5.1 How strong was the conventional reference?, line 143","NUM29-024","0.9177721052851823","0.9178","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-046","5. Results / 5.1 How strong was the conventional reference?, line 143","NUM29-029","0.9776909621341594","0.9777","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-047","5. Results / 5.1 How strong was the conventional reference?, line 143","NUM29-028","0.9802072525887335","0.9802","docs/RESULTS_SUMMARY.md","E29-007","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","ROUNDED","RESOLVED"
"P2C-FNA-048","5. Results / 5.2 Did temporal development change forward validity?, line 147","NUM29-138","0.0034","0.0034","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-049","5. Results / 5.2 Did temporal development change forward validity?, line 147","NUM29-136","0.0073","0.0073","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-050","5. Results / 5.2 Did temporal development change forward validity?, line 147","NUM29-140","0.0085","0.0085","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-051","5. Results / 5.2 Did temporal development change forward validity?, line 147","NUM29-142","0.0322","0.0322","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-052","5. Results / 5.2 Did temporal development change forward validity?, line 147","NUM29-137","0.2599","0.2599","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-053","5. Results / 5.2 Did temporal development change forward validity?, line 147","NUM29-135","0.5176","0.5176","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-054","5. Results / 5.2 Did temporal development change forward validity?, line 147","NUM29-141","0.6388","0.6388","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-055","5. Results / 5.2 Did temporal development change forward validity?, line 147","NUM29-139","0.8209","0.8209","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-056","5. Results / 5.2 Did temporal development change forward validity?, line 147","NUM29-143;NUM29-144","5/5","5/5","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-038","exact fraction","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-057","5. Results / 5.2 Did temporal development change forward validity?, line 149","NUM29-089","0.2685","0.2685","docs/STAGE22R_MANUSCRIPT_INTEGRATION.md","E29-021","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-058","5. Results / 5.2 Did temporal development change forward validity?, line 149","NUM29-088","0.2870","0.2870","docs/STAGE22R_MANUSCRIPT_INTEGRATION.md","E29-021","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-059","5. Results / 5.2 Did temporal development change forward validity?, line 151","NUM29-143;NUM29-144","5/5","5/5","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-038","exact fraction","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-060","5. Results / 5.2 Did temporal development change forward validity?, line 157","NUM29-138","0.0034","0.0034","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-061","5. Results / 5.2 Did temporal development change forward validity?, line 157","NUM29-136","0.0073","0.0073","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-062","5. Results / 5.2 Did temporal development change forward validity?, line 157","NUM29-137","0.2599","0.2599","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-063","5. Results / 5.2 Did temporal development change forward validity?, line 157","NUM29-135","0.5176","0.5176","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-064","5. Results / 5.2 Did temporal development change forward validity?, line 157","NUM29-143;NUM29-144","5/5","5/5","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-038","exact fraction","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-065","5. Results / 5.2 Did temporal development change forward validity?, line 158","NUM29-140","0.0085","0.0085","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-066","5. Results / 5.2 Did temporal development change forward validity?, line 158","NUM29-142","0.0322","0.0322","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-067","5. Results / 5.2 Did temporal development change forward validity?, line 158","NUM29-141","0.6388","0.6388","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-068","5. Results / 5.2 Did temporal development change forward validity?, line 158","NUM29-139","0.8209","0.8209","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-069","5. Results / 5.2 Did temporal development change forward validity?, line 158","NUM29-143;NUM29-144","5/5","5/5","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-038","exact fraction","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-070","5. Results / 5.3 Were shortcut and explanation conclusions stable?, line 164","NUM29-058","0.304","0.304","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","3 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-071","5. Results / 5.3 Were shortcut and explanation conclusions stable?, line 164","NUM29-059","0.360","0.360","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","3 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-072","5. Results / 5.3 Were shortcut and explanation conclusions stable?, line 164","NUM29-056","2","2","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-073","5. Results / 5.3 Were shortcut and explanation conclusions stable?, line 164","NUM29-057","31","31","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-074","5. Results / 5.3 Were shortcut and explanation conclusions stable?, line 164","NUM29-055","64","64","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-075","5. Results / 5.3 Were shortcut and explanation conclusions stable?, line 164","NUM29-055","64","64","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-076","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 170","NUM29-093","0.104847","0.104847","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-077","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 170","NUM29-094","0.108176","0.108176","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-078","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 170","NUM29-095","0.525167","0.525167","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-079","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 170","NUM29-091","0.667483","0.667483","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-080","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 170","NUM29-092","0.733946","0.733946","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-081","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 170","NUM29-090","2830743","2,830,743","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","FORMATTED","RESOLVED"
"P2C-FNA-082","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 172","NUM29-096","-0.007729","-0.007729","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-026","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-083","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 172","NUM29-097","0.002192","+0.002192","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-026","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-084","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 172","NUM29-098","0.005087","+0.005087","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-026","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-085","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 180","NUM29-091","0.667483","0.667483","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-086","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 180","NUM29-092","0.733946","0.733946","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-087","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 180","NUM29-090","2830743","2,830,743","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","integer","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","FORMATTED","RESOLVED"
"P2C-FNA-088","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 181","NUM29-093","0.104847","0.104847","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-089","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 181","NUM29-094","0.108176","0.108176","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-090","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 181","NUM29-095","0.525167","0.525167","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-091","5. Results / 5.5 Did projected precision imply operational utility?, line 185","NUM29-103","0.000551068","0.000551068","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-029","9 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-092","5. Results / 5.5 Did projected precision imply operational utility?, line 185","NUM29-104","0.0322","0.0322","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-029","4 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-093","5. Results / 5.5 Did projected precision imply operational utility?, line 185","NUM29-100","0.1","0.1%","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal percent","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-094","5. Results / 5.5 Did projected precision imply operational utility?, line 185","NUM29-101","0.965572","0.965572","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-095","5. Results / 5.5 Did projected precision imply operational utility?, line 185","NUM29-102","33.5","33.5","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-096","5. Results / 5.5 Did projected precision imply operational utility?, line 187","NUM29-107","0.000257610","0.000257610","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","9 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-097","5. Results / 5.5 Did projected precision imply operational utility?, line 187","NUM29-108","0.000287993","0.000287993","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","9 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-098","5. Results / 5.5 Did projected precision imply operational utility?, line 187","NUM29-105","0.039233","0.039233","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-099","5. Results / 5.5 Did projected precision imply operational utility?, line 187","NUM29-106","0.060313","0.060313","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","6 decimals","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
"P2C-FNA-100","5. Results / 5.5 Did projected precision imply operational utility?, line 187","NUM29-100","0.1","0.1%","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal percent","AUTHORIZED_BY_STAGE29_REGISTERED_RULE","EXACT","RESOLVED"
