"audit_id","manuscript_location","number_id","manuscript_value","source_artifact","evidence_id","allowed_rounding","resolution_type","status"
"FNA-050","5. Results / 5.2 Did temporal development change forward validity?, line 151","NUM29-140","0.0085","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-051","5. Results / 5.2 Did temporal development change forward validity?, line 151","NUM29-142","0.0322","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-052","5. Results / 5.2 Did temporal development change forward validity?, line 151","NUM29-137","0.2599","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-053","5. Results / 5.2 Did temporal development change forward validity?, line 151","NUM29-135","0.5176","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-054","5. Results / 5.2 Did temporal development change forward validity?, line 151","NUM29-141","0.6388","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-055","5. Results / 5.2 Did temporal development change forward validity?, line 151","NUM29-139","0.8209","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-056","5. Results / 5.2 Did temporal development change forward validity?, line 151","NUM29-143;NUM29-144","5/5","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-038","exact fraction","EXACT","RESOLVED"
"FNA-057","5. Results / 5.2 Did temporal development change forward validity?, line 153","NUM29-089","0.2685","docs/STAGE22R_MANUSCRIPT_INTEGRATION.md","E29-021","4 decimals","EXACT","RESOLVED"
"FNA-058","5. Results / 5.2 Did temporal development change forward validity?, line 153","NUM29-088","0.2870","docs/STAGE22R_MANUSCRIPT_INTEGRATION.md","E29-021","4 decimals","EXACT","RESOLVED"
"FNA-059","5. Results / 5.2 Did temporal development change forward validity?, line 155","NUM29-143;NUM29-144","5/5","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-038","exact fraction","EXACT","RESOLVED"
"FNA-060","5. Results / 5.2 Did temporal development change forward validity?, line 161","NUM29-138","0.0034","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-061","5. Results / 5.2 Did temporal development change forward validity?, line 161","NUM29-136","0.0073","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-062","5. Results / 5.2 Did temporal development change forward validity?, line 161","NUM29-137","0.2599","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-063","5. Results / 5.2 Did temporal development change forward validity?, line 161","NUM29-135","0.5176","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-064","5. Results / 5.2 Did temporal development change forward validity?, line 161","NUM29-143;NUM29-144","5/5","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-038","exact fraction","EXACT","RESOLVED"
"FNA-065","5. Results / 5.2 Did temporal development change forward validity?, line 162","NUM29-140","0.0085","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-066","5. Results / 5.2 Did temporal development change forward validity?, line 162","NUM29-142","0.0322","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-067","5. Results / 5.2 Did temporal development change forward validity?, line 162","NUM29-141","0.6388","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-068","5. Results / 5.2 Did temporal development change forward validity?, line 162","NUM29-139","0.8209","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-037","4 decimals","EXACT","RESOLVED"
"FNA-069","5. Results / 5.2 Did temporal development change forward validity?, line 162","NUM29-143;NUM29-144","5/5","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-038","exact fraction","EXACT","RESOLVED"
"FNA-070","5. Results / 5.3 Were shortcut and explanation conclusions stable?, line 168","NUM29-058","0.304","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","3 decimals","EXACT","RESOLVED"
"FNA-071","5. Results / 5.3 Were shortcut and explanation conclusions stable?, line 168","NUM29-059","0.360","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","3 decimals","EXACT","RESOLVED"
"FNA-072","5. Results / 5.3 Were shortcut and explanation conclusions stable?, line 168","NUM29-056","2","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","integer","EXACT","RESOLVED"
"FNA-073","5. Results / 5.3 Were shortcut and explanation conclusions stable?, line 168","NUM29-057","31","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","integer","EXACT","RESOLVED"
"FNA-074","5. Results / 5.3 Were shortcut and explanation conclusions stable?, line 168","NUM29-055","64","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","integer","EXACT","RESOLVED"
"FNA-075","5. Results / 5.3 Were shortcut and explanation conclusions stable?, line 168","NUM29-055","64","docs/STAGE13_LOCAL_EXPLANATION_RELIABILITY.md","E29-015","integer","EXACT","RESOLVED"
"FNA-076","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 174","NUM29-093","0.104847","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","EXACT","RESOLVED"
"FNA-077","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 174","NUM29-094","0.108176","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","EXACT","RESOLVED"
"FNA-078","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 174","NUM29-095","0.525167","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","EXACT","RESOLVED"
"FNA-079","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 174","NUM29-091","0.667483","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","6 decimals","EXACT","RESOLVED"
"FNA-080","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 174","NUM29-092","0.733946","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","6 decimals","EXACT","RESOLVED"
"FNA-081","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 174","NUM29-090","2,830,743","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","integer","FORMATTED","RESOLVED"
"FNA-082","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 176","NUM29-096","-0.007729","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-026","6 decimals","EXACT","RESOLVED"
"FNA-083","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 176","NUM29-097","+0.002192","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-026","6 decimals","EXACT","RESOLVED"
"FNA-084","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 176","NUM29-098","+0.005087","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-026","6 decimals","EXACT","RESOLVED"
"FNA-085","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 184","NUM29-091","0.667483","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","6 decimals","EXACT","RESOLVED"
"FNA-086","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 184","NUM29-092","0.733946","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","6 decimals","EXACT","RESOLVED"
"FNA-087","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 184","NUM29-090","2,830,743","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-024","integer","FORMATTED","RESOLVED"
"FNA-088","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 185","NUM29-093","0.104847","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","EXACT","RESOLVED"
"FNA-089","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 185","NUM29-094","0.108176","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","EXACT","RESOLVED"
"FNA-090","5. Results / 5.4 Was cross-dataset transfer symmetric?, line 185","NUM29-095","0.525167","docs/STAGE24_MANUSCRIPT_INTEGRATION.md","E29-025","6 decimals","EXACT","RESOLVED"
"FNA-091","5. Results / 5.5 Did projected precision imply operational utility?, line 189","NUM29-103","0.000551068","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-029","9 decimals","EXACT","RESOLVED"
"FNA-092","5. Results / 5.5 Did projected precision imply operational utility?, line 189","NUM29-104","0.0322","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-029","4 decimals","EXACT","RESOLVED"
"FNA-093","5. Results / 5.5 Did projected precision imply operational utility?, line 189","NUM29-100","0.1%","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal percent","EXACT","RESOLVED"
"FNA-094","5. Results / 5.5 Did projected precision imply operational utility?, line 189","NUM29-101","0.965572","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","6 decimals","EXACT","RESOLVED"
"FNA-095","5. Results / 5.5 Did projected precision imply operational utility?, line 189","NUM29-102","33.5","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal","EXACT","RESOLVED"
"FNA-096","5. Results / 5.5 Did projected precision imply operational utility?, line 191","NUM29-107","0.000257610","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","9 decimals","EXACT","RESOLVED"
"FNA-097","5. Results / 5.5 Did projected precision imply operational utility?, line 191","NUM29-108","0.000287993","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","9 decimals","EXACT","RESOLVED"
"FNA-098","5. Results / 5.5 Did projected precision imply operational utility?, line 191","NUM29-105","0.039233","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","6 decimals","EXACT","RESOLVED"
"FNA-099","5. Results / 5.5 Did projected precision imply operational utility?, line 191","NUM29-106","0.060313","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","6 decimals","EXACT","RESOLVED"
"FNA-100","5. Results / 5.5 Did projected precision imply operational utility?, line 191","NUM29-100","0.1%","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal percent","EXACT","RESOLVED"
"FNA-101","5. Results / 5.5 Did projected precision imply operational utility?, line 191","NUM29-109","15/24","results/stage25_prevalence_stress/stage25_5_final_audit_and_seal/stage25_5_final_synthesis.md","E29-031","exact fraction","EXACT","RESOLVED"
"FNA-102","5. Results / 5.5 Did projected precision imply operational utility?, line 191","NUM29-110","3/24","results/stage25_prevalence_stress/stage25_5_final_audit_and_seal/stage25_5_final_synthesis.md","E29-031","exact fraction","EXACT","RESOLVED"
"FNA-103","5. Results / 5.5 Did projected precision imply operational utility?, line 195","NUM29-100","0.1%","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal percent","EXACT","RESOLVED"
"FNA-104","5. Results / 5.5 Did projected precision imply operational utility?, line 199","NUM29-101","0.965572","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","6 decimals","EXACT","RESOLVED"
"FNA-105","5. Results / 5.5 Did projected precision imply operational utility?, line 199","NUM29-102","33.5","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-028","1 decimal","EXACT","RESOLVED"
"FNA-106","5. Results / 5.5 Did projected precision imply operational utility?, line 200","NUM29-103","0.000551068","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-029","9 decimals","EXACT","RESOLVED"
"FNA-107","5. Results / 5.5 Did projected precision imply operational utility?, line 200","NUM29-104","0.0322","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-029","4 decimals","EXACT","RESOLVED"
"FNA-108","5. Results / 5.5 Did projected precision imply operational utility?, line 201","NUM29-105","0.039233","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","6 decimals","EXACT","RESOLVED"
"FNA-109","5. Results / 5.5 Did projected precision imply operational utility?, line 201","NUM29-106","0.060313","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","6 decimals","EXACT","RESOLVED"
"FNA-110","5. Results / 5.5 Did projected precision imply operational utility?, line 202","NUM29-107","0.000257610","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","9 decimals","EXACT","RESOLVED"
"FNA-111","5. Results / 5.5 Did projected precision imply operational utility?, line 202","NUM29-108","0.000287993","docs/STAGE25_MANUSCRIPT_INTEGRATION.md","E29-030","9 decimals","EXACT","RESOLVED"
"FNA-112","5. Results / 5.6 Was one compute backend consistently faster?, line 206","NUM29-113","0.16","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","ROUNDED","RESOLVED"
"FNA-113","5. Results / 5.6 Was one compute backend consistently faster?, line 206","NUM29-114","0.26","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","ROUNDED","RESOLVED"
"FNA-114","5. Results / 5.6 Was one compute backend consistently faster?, line 206","NUM29-116","1.05","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","ROUNDED","RESOLVED"
"FNA-115","5. Results / 5.6 Was one compute backend consistently faster?, line 206","NUM29-112","1.58","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","ROUNDED","RESOLVED"
"FNA-116","5. Results / 5.6 Was one compute backend consistently faster?, line 206","NUM29-111","1.94","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","ROUNDED","RESOLVED"
"FNA-117","5. Results / 5.6 Was one compute backend consistently faster?, line 206","NUM29-115","10.86","results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_BATCH1_ANCHOR.csv","E29-032","2 decimals","ROUNDED","RESOLVED"
"FNA-118","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 212","NUM29-124","0.7206","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","EXACT","RESOLVED"
"FNA-119","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 212","NUM29-126","0.7605","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","EXACT","RESOLVED"
"FNA-120","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 212","NUM29-123","0.9693","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","EXACT","RESOLVED"
"FNA-121","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 212","NUM29-125","0.9901","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","EXACT","RESOLVED"
"FNA-122","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 212","NUM29-120","0.9925","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","EXACT","RESOLVED"
"FNA-123","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 212","NUM29-122","0.9940","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","EXACT","RESOLVED"
"FNA-124","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 212","NUM29-119","0.9982","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","EXACT","RESOLVED"
"FNA-125","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 212","NUM29-121","0.9986","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","EXACT","RESOLVED"
"FNA-126","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 214","NUM29-128","0.003256","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","6 decimals","EXACT","RESOLVED"
"FNA-127","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 214","NUM29-127","0.3224","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","EXACT","RESOLVED"
"FNA-128","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 214","NUM29-130","0.5506","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","EXACT","RESOLVED"
"FNA-129","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 214","NUM29-129","0.5591","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","EXACT","RESOLVED"
"FNA-130","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 214","NUM29-131","0.7559","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-034","4 decimals","EXACT","RESOLVED"
"FNA-131","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 214","NUM29-118","36","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","EXACT","RESOLVED"
"FNA-132","5. Results / 5.7 Did eligible withheld families behave uniformly?, line 216","NUM29-118","36","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","EXACT","RESOLVED"
"FNA-133","5. Results / 5.8 Did central conclusions survive the frozen realizations?, line 230","NUM29-132","108/108","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-041","exact fraction","EXACT","RESOLVED"
"FNA-134","5. Results / 5.8 Did central conclusions survive the frozen realizations?, line 230","NUM29-133","12","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-041","integer","EXACT","RESOLVED"
"FNA-135","7. Limitations / 7.2 Evaluation and protocol, line 314","NUM29-118","36","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","EXACT","RESOLVED"
"FNA-136","7. Limitations / 7.3 Statistical, line 320","NUM29-143;NUM29-144","5/5","results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_manuscript_results.md","E29-038","exact fraction","EXACT","RESOLVED"
"FNA-137","Supplementary Material Plan / S6. Family eligibility and realization stability, line 376","NUM29-118","36","docs/STAGE27_MANUSCRIPT_INTEGRATION.md","E29-035","integer","EXACT","RESOLVED"
