candidate_id,gap_id,title,authors,year,venue,doi,source_url,peer_reviewed,source_type,directness,quality,supports_claim,limitations,decision
CR-011,RG-005,"Why Should I Trust You?: Explaining the Predictions of Any Classifier","Marco Tulio Ribeiro; Sameer Singh; Carlos Guestrin",2016,"Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",10.1145/2939672.2939778,https://doi.org/10.1145/2939672.2939778,YES,ORIGINAL_METHOD,DIRECT_SUPPORT,TIER_1_PRIMARY,"Original LIME local-surrogate method and its local-fidelity objective","The method's stated objective is not proof that every fitted LIME surrogate is faithful",SELECT
CR-012,RG-005,"A Unified Approach to Interpreting Model Predictions","Scott M. Lundberg; Su-In Lee",2017,"Advances in Neural Information Processing Systems 30",NO_DOI_ASSIGNED,https://proceedings.neurips.cc/paper/2017/hash/8a20a8621978632d76c43dfd28b67767-Abstract.html,YES,ORIGINAL_METHOD,DIRECT_SUPPORT,TIER_1_PRIMARY,"Original SHAP framework; additive feature-attribution class and stated properties","Does not by itself establish TreeSHAP's tree-specific algorithm or empirical explanation fidelity",SELECT
CR-013,RG-005,"From Local Explanations to Global Understanding with Explainable AI for Trees","Scott M. Lundberg; Gabriel Erion; Hugh Chen; Alex DeGrave; Jordan M. Prutkin; Bala Nair; Ronit Katz; Jonathan Himmelfarb; Nisha Bansal; Su-In Lee",2020,"Nature Machine Intelligence",10.1038/s42256-019-0138-9,https://doi.org/10.1038/s42256-019-0138-9,YES,ORIGINAL_METHOD,DIRECT_SUPPORT,TIER_1_PRIMARY,"Tree-specific exact/polynomial-time SHAP algorithm and aggregation of local explanations","Applications are medical; this source does not validate this project's explanation outputs",SELECT
CR-014,RG-005,"On the (In)fidelity and Sensitivity of Explanations","Chih-Kuan Yeh; Cheng-Yu Hsieh; Arun Sai Suggala; David I. Inouye; Pradeep Ravikumar",2019,"Advances in Neural Information Processing Systems 32",NO_DOI_ASSIGNED,https://papers.nips.cc/paper_files/paper/2019/hash/a7471fdc77b3435276507cc8f2dc2569-Abstract.html,YES,EXPLANATION_EVALUATION,DIRECT_SUPPORT,TIER_1_PRIMARY,"Defines and analyzes separate infidelity and sensitivity measures; supports treating stability/sensitivity and fidelity as distinct","Saliency/explanation methodology is domain-general and does not single out LIME in this project",SELECT
CR-015,RG-006,"Inter-dataset Generalization Strength of Supervised Machine Learning Methods for Intrusion Detection","Laurens D'hooge; Tim Wauters; Bruno Volckaert; Filip De Turck",2020,"Journal of Information Security and Applications",10.1016/j.jisa.2020.102564,https://doi.org/10.1016/j.jisa.2020.102564,YES,EMPIRICAL_CROSS_DATASET,DIRECT_SUPPORT,TIER_1_PRIMARY,"Direct CICIDS2017/CSE-CIC-IDS2018 inter-dataset evaluation with shared attack classes and twelve algorithms","Selected attack-class bridges are study-specific; causes and scope of transfer deficiency remain unresolved",SELECT
CR-016,RG-006,"Explainable Cross-domain Evaluation of ML-based Network Intrusion Detection Systems","Siamak Layeghy; Marius Portmann",2023,"Computers & Electrical Engineering",10.1016/j.compeleceng.2023.108692,https://doi.org/10.1016/j.compeleceng.2023.108692,YES,EMPIRICAL_CROSS_DATASET,DIRECT_SUPPORT,TIER_1_PRIMARY,"Eight models across four common-feature benchmark datasets; directly reports strong source-target asymmetry and feature-distribution correspondence","Uses standardized NetFlow versions and does not validate this project's semantic bridge or explain all asymmetry causes",SELECT
CR-017,RG-006,"Machine Learning in Network Intrusion Detection: A Cross-Dataset Generalization Study","Marco Cantone; Claudio Marrocco; Alessandro Bria",2024,"IEEE Access",10.1109/ACCESS.2024.3472907,https://doi.org/10.1109/ACCESS.2024.3472907,YES,EMPIRICAL_CROSS_DATASET,DIRECT_SUPPORT,TIER_1_PRIMARY,"Recent CICIDS-family cross-dataset evaluation; examines feature selection and dataset heterogeneity","Later corroborating study; not needed for every citation location and cannot establish universal failure",SELECT
CR-018,RG-007,"The Base-Rate Fallacy and the Difficulty of Intrusion Detection","Stefan Axelsson",2000,"ACM Transactions on Information and System Security",10.1145/357830.357849,https://doi.org/10.1145/357830.357849,YES,FOUNDATIONAL_IDS_METHOD,DIRECT_SUPPORT,TIER_1_PRIMARY,"Formal IDS-specific relationship among base rate; detection; false alarms; and Bayesian detection rate/PPV","Foundational analytic argument; not an observed SOC workload study and no single prevalence is universal",SELECT
CR-019,RG-007,"Adjusting the Outputs of a Classifier to New a Priori Probabilities: A Simple Procedure","Marco Saerens; Patrice Latinne; Christine Decaestecker",2002,"Neural Computation",10.1162/089976602753284446,https://doi.org/10.1162/089976602753284446,YES,PRIOR_SHIFT_METHOD,DIRECT_SUPPORT,TIER_1_PRIMARY,"Direct prior-probability-shift method under changed class priors; states required conditional-distribution assumptions","Not IDS-specific; broader dataset shift violates its assumptions; not a field observation",SELECT
CR-020,RG-007,"A Controlled Experiment on the Impact of Intrusion Detection False Alarm Rate on Analyst Performance","Lucas Layman; William Roden",2023,"Proceedings of the Human Factors and Ergonomics Society Annual Meeting",10.1177/21695067231192573,https://doi.org/10.1177/21695067231192573,YES,HUMAN_FACTORS_EXPERIMENT,DIRECT_SUPPORT,TIER_1_PRIMARY,"Controlled IDS-alarm experiment measuring analyst precision and time-on-task under two false-alarm rates","Simulated task and two experimental false-alarm conditions; not evidence for this project's projected SOC workload",SELECT
CR-021,RG-008,"MLPerf: An Industry Standard Benchmark Suite for Machine Learning Performance","Peter Mattson; Hanlin Tang; Gu-Yeon Wei; Carole-Jean Wu; Vijay Janapa Reddi; Christine Cheng; Cody Coleman; Greg Diamos; David Kanter; Paulius Micikevicius; David A. Patterson; Guenther Schmuelling",2020,"IEEE Micro",10.1109/MM.2020.2974843,https://doi.org/10.1109/MM.2020.2974843,YES,SYSTEMS_BENCHMARK,DIRECT_SUPPORT,TIER_1_PRIMARY,"Authoritative ML systems benchmark design; emphasizes system-level performance and controlled benchmark definitions","Not IDS-specific and its published benchmark values do not transfer to this repository's hardware or pipeline",SELECT
CR-022,"RG-008;RG-009","Kitsune: An Ensemble of Autoencoders for Online Network Intrusion Detection","Yisroel Mirsky; Tomer Doitshman; Yuval Elovici; Asaf Shabtai",2018,"Network and Distributed System Security Symposium (NDSS 2018)",10.14722/ndss.2018.23204,https://www.ndss-symposium.org/wp-content/uploads/2018/02/ndss2018_03A-3_Mirsky_paper.pdf,YES,EMPIRICAL_DEPLOYMENT,DIRECT_SUPPORT,TIER_1_PRIMARY,"IDS-specific online inference; feature-extraction boundary; resource constraints; Raspberry Pi evaluation; and closed-world motivation","Different unsupervised model and deployment path; does not supply latency for this project's models",SELECT
CR-023,RG-009,"Toward Open Set Recognition","Walter J. Scheirer; Anderson de Rezende Rocha; Archana Sapkota; Terrance E. Boult",2013,"IEEE Transactions on Pattern Analysis and Machine Intelligence",10.1109/TPAMI.2012.256,https://doi.org/10.1109/TPAMI.2012.256,YES,FOUNDATIONAL_METHOD,DIRECT_SUPPORT,TIER_1_PRIMARY,"Formal definition of open-set recognition with unknown classes at test time","Computer-vision experiments; does not equate a held-out IDS family with a live zero-day attack",SELECT
CR-024,RG-009,"Which Algorithm Can Detect Unknown Attacks? Comparison of Supervised, Unsupervised and Meta-Learning Algorithms for Intrusion Detection","Tommaso Zoppi; Andrea Ceccarelli; Tommaso Puccetti; Andrea Bondavalli",2023,"Computers & Security",10.1016/j.cose.2023.103107,https://doi.org/10.1016/j.cose.2023.103107,YES,EMPIRICAL_UNSEEN_ATTACK,DIRECT_SUPPORT,TIER_1_PRIMARY,"Forty-seven algorithms; eleven attack datasets; explicit methodology simulating attacks unknown during training","Study-specific construction of unknown attacks and metrics; cannot establish arbitrary future-attack detection",SELECT
CR-025,RG-009,"Open Set Recognition with Dissimilarity Weight for Unknown Attack Detection","Gun-Yoon Shin; Dong-Wook Kim; Myung-Mook Han",2023,"IEEE Access",10.1109/ACCESS.2023.3277871,https://doi.org/10.1109/ACCESS.2023.3277871,YES,EMPIRICAL_OPEN_SET_IDS,DIRECT_SUPPORT,TIER_1_PRIMARY,"Explicit open-set IDS protocols across NSL-KDD; UNSW-NB15; and CICIDS2017 with known/unknown attack separation","Proposed method and selected unknown classes are study-specific; not a LOAO standard or live zero-day validation",SELECT
CR-026,RG-010,"Improving Reproducibility in Machine Learning Research (A Report from the NeurIPS 2019 Reproducibility Program)","Joelle Pineau; Philippe Vincent-Lamarre; Koustuv Sinha; Vincent Lariviere; Alina Beygelzimer; Florence d'Alche-Buc; Emily Fox; Hugo Larochelle",2021,"Journal of Machine Learning Research",NO_DOI_ASSIGNED,https://www.jmlr.org/papers/v22/20-303.html,YES,REPRODUCIBILITY_PROGRAM,DIRECT_SUPPORT,TIER_1_PRIMARY,"Peer-reviewed report on code submission; reproducibility checklists; reproducibility challenges; and robust experimental workflows","Program report does not certify this repository or make code release equivalent to full result regeneration",SELECT
CR-027,RG-010,"The Reusable Holdout: Preserving Validity in Adaptive Data Analysis","Cynthia Dwork; Vitaly Feldman; Moritz Hardt; Toniann Pitassi; Omer Reingold; Aaron Roth",2015,"Science",10.1126/science.aaa9375,https://doi.org/10.1126/science.aaa9375,YES,ADAPTIVE_ANALYSIS_METHOD,DIRECT_SUPPORT,TIER_1_PRIMARY,"Direct methodological evidence that adaptive reuse of holdout results threatens validity and motivates guarded reuse","Does not imply that all repeated evaluation is invalid and does not independently validate this project's governance",SELECT
CR-028,RG-001,"CSE-CIC-IDS2018","Registry of Open Data on AWS",2018,"Amazon Web Services Open Data Registry",NO_DOI_ASSIGNED,https://registry.opendata.aws/cse-cic-ids2018/,NO,OFFICIAL_MIRROR,BACKGROUND_ONLY,TIER_3_OFFICIAL_SOURCE,"Confirms public cloud hosting and points to the dataset description","Mirror is unnecessary once the UNB source is selected and adds no peer-reviewed scientific support",REJECT
CR-029,RG-001,"A Survey and Analysis of Intrusion Detection Models Based on CSE-CIC-IDS2018 Big Data","Ibrahim et al.",2020,"Journal of Big Data",10.1186/s40537-020-00382-x,https://doi.org/10.1186/s40537-020-00382-x,YES,SURVEY,PARTIAL_SUPPORT,TIER_2_HIGH_QUALITY_REVIEW,"Potential model-class context on CSE-CIC-IDS2018","Author metadata and review methods were not needed after original and broader dataset sources resolved the bounded claim; avoid implying exhaustive model coverage",REJECT
CR-030,RG-008,"MLPerf Inference Benchmark","Vijay Janapa Reddi et al.",2020,"2020 ACM/IEEE 47th Annual International Symposium on Computer Architecture (ISCA)",10.1109/ISCA45697.2020.00045,https://doi.org/10.1109/ISCA45697.2020.00045,YES,SYSTEMS_BENCHMARK,DIRECT_SUPPORT,TIER_1_PRIMARY,"Detailed inference-benchmark scenarios and system-level measurement method","Overlaps CR-021 for the manuscript's limited reporting-guidance need; retained as a considered source but not integrated to minimize citation load",REJECT
CR-031,RG-009,"Unknown Network Attack Detection Based on Open Set Recognition","Yong Zhang; Jian Niu; Dan Guo; Yansong Teng; Xiaoyan Bao",2020,"Procedia Computer Science",10.1016/j.procs.2020.06.104,https://doi.org/10.1016/j.procs.2020.06.104,YES,EMPIRICAL_OPEN_SET_IDS,DIRECT_SUPPORT,TIER_1_PRIMARY,"Open-CNN experiment adds attacks absent from training as unknown test classes","Superseded for this manuscript by stronger and broader CR-024/CR-025 evidence; reported robustness is protocol-bound",REJECT
CR-032,RG-009,"Detecting Unknown Attacks in IoT Environments: An Open Set Classifier for Enhanced Network Intrusion Detection","Yasir Ali Farrukh; Syed Wali; Irfan Khan; Nathaniel D. Bastian",2023,"arXiv",10.48550/arXiv.2309.07461,https://arxiv.org/abs/2309.07461,NO,PREPRINT,PARTIAL_SUPPORT,TIER_4_CONTEXTUAL,"IoT open-set framing and unseen-attack experiment","NON_PEER_REVIEWED; adequate peer-reviewed sources exist; no need to rely on preprint",REJECT
CR-033,RG-009,"An Adaptable Deep Learning-based Intrusion Detection System to Zero-day Attacks","Authors not fully verified for selection",2023,"Journal of Information Security and Applications",10.1016/j.jisa.2023.103516,https://doi.org/10.1016/j.jisa.2023.103516,YES,EMPIRICAL_OPEN_SET_IDS,PARTIAL_SUPPORT,TIER_1_PRIMARY,"Open-set phase for identifying unknown attacks and adaptation workflow","Metadata and full protocol were unnecessary after CR-024/CR-025 resolved the frozen gap; no unsupported author fields will enter the bibliography",REJECT
CR-034,RG-009,"A Deep Learning Ensemble Approach to Detecting Unknown Network Attacks","Authors not fully verified for selection",2022,"Journal of Information Security and Applications",10.1016/j.jisa.2022.103196,https://doi.org/10.1016/j.jisa.2022.103196,YES,EMPIRICAL_UNSEEN_ATTACK,PARTIAL_SUPPORT,TIER_1_PRIMARY,"Experiments on threats absent from model training","Not needed after broader controlled comparison in CR-024; author metadata intentionally left unasserted rather than inferred",REJECT
CR-035,RG-009,"An Expert-in-the-loop Framework for Unknown Attack Detection via Open-set Recognition","Xinjing Yuan; Peiran Yu; Song Liu; Zhe Sun; Yu Zhang; Jingdong Xu",2026,"Journal of Computer Security",10.1177/0926227X251414058,https://doi.org/10.1177/0926227X251414058,YES,EMPIRICAL_OPEN_SET_IDS,PARTIAL_SUPPORT,TIER_1_PRIMARY,"Recent open-set IDS framework","Recent and unnecessary for the bounded historical/methodological claim; selected earlier primary studies provide adequate coverage",REJECT
CR-036,RG-003,"TESSERACT: Eliminating Experimental Bias in Malware Classification across Space and Time (Extended Version)","Zeliang Kan; Shae McFadden; Daniel Arp; Feargus Pendlebury; Roberto Jordaney; Johannes Kinder; Fabio Pierazzi; Lorenzo Cavallaro",2024,"arXiv",10.48550/arXiv.2402.01359,https://arxiv.org/abs/2402.01359,NO,PREPRINT,DIRECT_SUPPORT,TIER_4_CONTEXTUAL,"Updated multi-domain extension of TESSERACT","NON_PEER_REVIEWED; the selected peer-reviewed 2019 conference version directly supports the needed claim",REJECT
CR-037,RG-006,"On the Cross-Dataset Generalization of Machine Learning for Network Intrusion Detection","Marco Cantone; Claudio Marrocco; Alessandro Bria",2024,"arXiv",10.48550/arXiv.2402.10974,https://arxiv.org/abs/2402.10974,NO,PREPRINT,DIRECT_SUPPORT,TIER_4_CONTEXTUAL,"Preprint version of the selected IEEE Access study","Duplicate-version handling: replaced by final peer-reviewed CR-017",REJECT
CR-038,RG-010,"Generalization in Adaptive Data Analysis and Holdout Reuse","Cynthia Dwork; Vitaly Feldman; Moritz Hardt; Toniann Pitassi; Omer Reingold; Aaron Roth",2015,"Advances in Neural Information Processing Systems 28",NO_DOI_ASSIGNED,https://proceedings.neurips.cc/paper_files/paper/2015/hash/bad5f33780c42f2588878a9d07405083-Abstract.html,YES,ADAPTIVE_ANALYSIS_METHOD,DIRECT_SUPPORT,TIER_1_PRIMARY,"Full technical treatment of holdout reuse under adaptive analysis","Overlaps the more concise selected Science article CR-027 for the manuscript's bounded statement; retained as a verified alternative",REJECT
