citation_key,action,old_metadata,new_metadata,verification_source,reason
axelsson2000baserate,ADD,NONE,"Axelsson S. The Base-Rate Fallacy and the Difficulty of Intrusion Detection. ACM TISSEC. 2000;3(3):186-205. doi:10.1145/357830.357849.",https://doi.org/10.1145/357830.357849,"Foundational IDS base-rate analysis"
saerens2002prior,ADD,NONE,"Saerens M; Latinne P; Decaestecker C. Adjusting the Outputs of a Classifier to New a Priori Probabilities: A Simple Procedure. Neural Computation. 2002;14(1):21-41. doi:10.1162/089976602753284446.",https://pubmed.ncbi.nlm.nih.gov/11747533/,"Prior-probability-shift method"
layman2023falsealarms,ADD,NONE,"Layman L; Roden W. A Controlled Experiment on the Impact of Intrusion Detection False Alarm Rate on Analyst Performance. Proceedings of the Human Factors and Ergonomics Society Annual Meeting. 2023;67:220-225. doi:10.1177/21695067231192573.",https://doi.org/10.1177/21695067231192573,"Controlled IDS analyst-workload experiment"
mattson2020mlperf,ADD,NONE,"Mattson P et al. MLPerf: An Industry Standard Benchmark Suite for Machine Learning Performance. IEEE Micro. 2020;40(2):8-16. doi:10.1109/MM.2020.2974843.",https://doi.org/10.1109/MM.2020.2974843,"Systems-benchmark measurement guidance"
mirsky2018kitsune,ADD,NONE,"Mirsky Y; Doitshman T; Elovici Y; Shabtai A. Kitsune: An Ensemble of Autoencoders for Online Network Intrusion Detection. NDSS. 2018. doi:10.14722/ndss.2018.23204.",https://www.ndss-symposium.org/wp-content/uploads/2018/02/ndss2018_03A-3_Mirsky_paper.pdf,"IDS-specific deployment/resource study"
scheirer2013openset,ADD,NONE,"Scheirer WJ; de Rezende Rocha A; Sapkota A; Boult TE. Toward Open Set Recognition. IEEE TPAMI. 2013;35(7):1757-1772. doi:10.1109/TPAMI.2012.256.",https://pubmed.ncbi.nlm.nih.gov/23682001/,"Foundational open-set definition"
zoppi2023unknown,ADD,NONE,"Zoppi T; Ceccarelli A; Puccetti T; Bondavalli A. Which Algorithm Can Detect Unknown Attacks? Comparison of Supervised Unsupervised and Meta-Learning Algorithms for Intrusion Detection. Computers & Security. 2023;127:103107. doi:10.1016/j.cose.2023.103107.",https://iris.unitn.it/handle/11572/397895,"Primary multi-algorithm unknown-attack IDS study"
shin2023openset,ADD,NONE,"Shin GY; Kim DW; Han MM. Open Set Recognition with Dissimilarity Weight for Unknown Attack Detection. IEEE Access. 2023;11:102381-102390. doi:10.1109/ACCESS.2023.3277871.",https://doi.org/10.1109/ACCESS.2023.3277871,"Primary open-set IDS study"
pineau2021reproducibility,ADD,NONE,"Pineau J et al. Improving Reproducibility in Machine Learning Research (A Report from the NeurIPS 2019 Reproducibility Program). JMLR. 2021;22(164):1-20.",https://www.jmlr.org/papers/v22/20-303.html,"Peer-reviewed ML reproducibility report"
dwork2015holdout,ADD,NONE,"Dwork C; Feldman V; Hardt M; Pitassi T; Reingold O; Roth A. The Reusable Holdout: Preserving Validity in Adaptive Data Analysis. Science. 2015;349(6248):636-638. doi:10.1126/science.aaa9375.",https://pubmed.ncbi.nlm.nih.gov/26250683/,"Primary adaptive-holdout methodology"
