background_position,training_position,original_row_index,y_true
102,151105,219507,1
103,150821,272410,0
104,43555,159409,0
105,23761,257775,0
106,98014,291465,0
107,90287,218015,0
108,156772,98637,1
109,164438,152107,1
110,98662,100243,0
111,145931,116213,1
112,55950,151783,1
113,152965,292675,1
114,16580,40493,1
115,89058,75343,0
116,138120,159775,0
117,18921,247229,1
118,183332,115777,0
119,88692,291875,1
120,153648,50518,0
121,41751,19175,0
122,100627,280137,1
123,94901,253563,0
124,101963,262290,0
125,31879,219981,0
126,96185,295235,0
127,109171,18534,1
128,108117,52861,0
129,101338,227410,0
130,148984,121179,1
131,13182,127604,0
132,3096,82025,1
133,56765,233916,0
134,87887,84909,1
135,191475,155243,1
136,75780,252593,0
137,62495,189111,0
138,71217,278445,0
139,106840,227424,0
140,54241,47704,1
141,148314,91320,0
142,37523,108542,0
143,160044,146118,0
144,188870,75290,0
145,154239,200007,1
146,142507,260097,0
147,183158,170673,0
148,114229,77677,1
149,153184,85361,1
150,57573,196231,0
151,96066,256590,0
152,18894,109898,1
153,35984,28910,0
154,31704,157970,0
155,168293,173763,0
156,108519,289156,1
157,157177,141320,0
158,103171,195389,0
159,140319,287106,0
160,171932,218824,1
161,153992,14696,1
162,43092,36006,0
163,62757,8017,0
164,17676,61022,1
165,80750,33887,0
166,147055,273743,1
167,34706,129924,0
168,35005,143206,1
169,124977,230026,0
170,99650,93024,1
171,81790,220255,1
172,104028,151172,1
173,17985,89495,0
174,163573,231559,1
175,159972,106797,0
176,37893,209006,0
177,151770,234272,1
178,131790,80029,1
179,45577,210570,0
180,96678,80321,1
181,21950,268519,1
182,73734,141727,1
183,188759,238918,0
184,35651,217347,0
185,155512,153446,0
186,90560,252224,1
187,183199,41643,0
188,64316,190426,1
189,187849,282384,1
190,68859,119910,0
191,110146,61473,0
192,77051,232939,1
193,81851,197808,1
194,183517,282054,1
195,57224,10264,0
196,174917,290936,1
197,170749,90618,1
198,174446,151173,1
199,25954,85109,1
200,146848,111549,0
201,182701,265138,1
202,167329,93333,1
203,11709,67382,0
204,14382,234206,0
205,118949,58486,1
206,131169,278502,0
207,58673,62499,1
208,153170,232095,0
209,55462,184325,1
210,189593,138788,0
211,134539,12816,0
212,44741,88960,1
213,168631,65585,0
214,98374,215995,0
215,26077,6793,0
216,176438,83689,1
217,159703,292614,0
218,119956,277289,0
219,176821,173082,1
220,152059,183526,0
221,61915,172633,0
222,73014,271273,0
223,172892,217626,0
224,155665,286394,0
225,75679,16700,0
226,57618,26743,0
227,82485,188515,0
228,123580,1011,1
229,137429,149738,0
230,63093,192932,0
231,33713,199804,1
232,154128,245416,0
233,127868,151508,0
234,12704,108222,1
235,113218,119846,0
236,185044,277996,0
237,49493,292354,1
238,153685,162389,0
239,12839,83037,1
240,85189,199291,1
241,84519,223661,0
242,144869,103622,0
243,95488,131779,0
244,101746,52007,0
245,15536,218210,0
246,115856,140793,0
247,44517,186527,1
248,171164,173515,1
249,13107,62728,0
250,118420,295978,0
251,116692,104422,0
252,24622,10452,1
253,57770,82783,0
254,119774,38298,1
255,151558,113791,0
256,121611,94702,0
257,182620,159338,1
258,106918,255024,0
259,166722,103782,0
260,90540,278376,1
261,124109,156591,0
262,99337,60409,0
263,92157,248921,1
264,111863,203841,1
265,19444,119368,1
266,154343,48465,0
267,16812,64006,1
268,165777,173381,0
269,168063,277141,0
270,9005,239230,0
271,118223,269046,1
272,136084,135429,1
273,168720,179194,0
274,37693,256099,0
275,166318,38589,0
276,60708,212938,1
277,71280,175275,0
278,154075,298438,0
279,130948,162373,1
280,56598,42153,0
281,1038,141140,0
282,83417,185793,0
283,131040,101332,0
284,84924,260864,0
285,99067,279038,1
286,57170,175717,0
287,18793,54053,0
288,74916,40388,0
289,160424,405,1
290,130764,138349,1
291,92945,106098,0
292,128144,241874,0
293,128018,45365,1
294,31930,171477,0
295,45952,160791,0
296,149162,229465,0
297,34958,218782,0
298,34769,91843,0
299,46311,217792,1
300,157071,299138,0
301,7626,107642,0
302,140144,237227,0
303,79996,248126,0
304,133071,171557,1
305,35363,156699,1
306,109334,192735,0
307,41954,150539,0
308,124767,219998,1
309,174462,266541,1
310,141881,125333,0
311,150945,19116,0
312,106300,96622,1
313,32770,69850,0
314,83246,227780,0
315,21630,163449,1
316,101090,248231,1
317,177972,113952,1
318,142510,273354,0
319,49768,289640,0
320,44386,282949,0
321,70606,145190,0
322,107645,96751,1
323,14282,211584,0
324,15512,268598,0
325,185465,32476,1
326,83975,156284,0
327,149758,211174,0
328,125585,191787,0
329,99235,199255,0
330,111994,242349,1
331,56593,266269,1
332,129790,208522,0
333,3980,207432,0
334,185152,104220,0
335,155629,29018,0
336,27873,30354,0
337,176365,269136,0
338,40037,191608,0
339,63533,27890,1
340,29295,220835,1
341,19469,281891,0
342,108886,57942,1
343,4952,145044,1
344,74205,24817,0
345,64612,203396,1
346,148067,73032,1
347,188258,140989,0
348,91573,101639,0
349,162311,72184,0
350,44844,154753,0
351,6299,221440,0
352,81989,180465,1
353,24963,113471,0
354,73782,72070,1
355,10584,280573,1
356,166024,11413,0
357,125182,178354,1
358,183788,155787,0
359,1875,19644,0
360,6584,77220,1
361,127195,280536,1
362,146502,273232,0
363,44910,238312,1
364,6092,145947,0
365,182604,59199,0
366,170589,82078,0
367,138695,28850,0
368,33675,161552,1
369,107982,244988,1
370,141608,273724,1
371,8556,173623,0
372,149066,148005,1
373,191613,258688,1
374,77719,281380,0
375,15601,31168,1
376,23534,92061,1
377,157109,19113,0
378,186302,70108,0
379,129027,215464,0
380,112830,179697,1
381,51798,47825,0
382,163230,196167,0
383,128496,33008,0
384,120203,244916,0
385,31002,189219,1
386,4706,297943,1
387,52609,272894,1
388,150782,56234,1
389,30546,123590,0
390,80056,54870,0
391,118003,159740,0
392,9900,22230,1
393,7418,143669,0
394,170445,192853,0
395,32536,217949,0
396,79227,119795,0
397,154345,265872,1
398,117836,148475,1
399,160352,112789,1
400,34607,99712,1
401,104830,16151,0
402,182893,116189,1
403,24864,175291,1
404,78094,169378,0
405,68825,56303,0
406,115057,243199,0
407,53013,126540,0
408,2205,19853,1
409,2498,168687,1
410,112878,137354,1
411,96062,12231,1
412,161179,35659,1
413,133044,22265,1
414,17993,125661,0
415,23505,254722,0
416,33728,217876,0
417,29872,182759,1
418,11284,158810,0
419,39499,185859,1
420,65148,5197,1
421,114411,76278,0
422,25105,280195,0
423,157297,157905,1
424,62691,144867,1
425,9260,186489,1
426,95070,271451,0
427,12147,6988,0
428,16391,263167,0
429,97250,245185,0
430,138464,36661,1
431,4247,178826,0
432,80272,72816,0
433,151676,205935,0
434,175112,197032,0
435,3522,149194,1
436,81925,31561,1
437,83433,113052,1
438,7432,139125,1
439,67181,28268,0
440,163370,241808,1
441,97380,59699,1
442,185269,176007,0
443,111753,279670,0
444,18922,286413,0
445,97628,200721,0
446,63804,247049,0
447,110725,6785,1
448,147539,215071,0
449,46948,108323,0
450,27171,65188,1
451,11310,78619,0
452,172214,270165,0
453,42540,72083,1
454,11103,246436,1
455,158165,68003,0
456,84256,263864,0
457,7883,279852,0
458,136265,4736,1
459,103486,136850,0
460,166480,97569,1
461,144324,291401,1
462,151268,197265,0
463,133117,294349,0
464,187530,271643,1
465,17776,123390,1
466,129237,101277,0
467,32057,112837,1
468,35698,82704,0
469,57866,147316,1
470,148726,164698,1
471,176414,117448,0
472,28820,286014,1
473,187519,138239,1
474,240,88996,0
475,43966,212814,0
476,126400,17172,0
477,21372,286592,0
478,44806,281129,0
479,43524,131539,0
480,182595,164846,1
481,136403,142665,0
482,42144,219268,0
483,14604,131368,0
484,30267,62691,1
485,159017,26124,1
486,111770,39811,0
487,109520,198819,0
488,43215,130669,0
489,89594,169624,0
490,61583,295507,1
491,67485,196036,1
492,56805,139954,0
493,105773,46,1
494,22068,161454,1
495,180092,240384,1
496,13790,212268,0
497,170615,34001,1
498,166352,83296,1
499,114640,281608,0
500,77910,142126,1
501,93319,8144,0
502,181827,255876,0
503,31951,234550,0
504,115153,21624,0
505,140168,117325,0
506,161455,265446,0
507,136832,230371,1
508,146180,258567,0
509,91763,190040,0
510,177465,197078,1
511,65153,156947,0
512,111506,5475,0
513,181318,61902,1
514,33690,196357,0
515,158061,200597,0
516,56258,171708,0
517,94068,207981,0
518,187424,117157,0
519,92435,273100,0
520,68490,59444,1
521,176513,172505,1
522,20780,81110,1
523,1791,42799,0
524,15372,75578,0
525,148934,118276,1
526,128362,293416,1
527,70410,198839,0
528,176984,118921,1
529,20612,193109,0
530,120180,158646,1
531,82772,269961,1
532,60534,8089,1
533,179327,64091,1
534,106568,90652,0
535,19706,1476,1
536,81865,152189,0
537,11713,72224,1
538,87151,173271,1
539,102198,264662,0
540,111197,73234,1
541,110919,249691,0
542,5961,106607,0
543,189218,243337,0
544,107834,285291,0
545,27541,106095,1
546,181082,65343,0
547,88705,18489,0
548,61045,294690,0
549,173442,106573,0
550,184772,238683,0
551,19037,68052,0
552,20827,219870,0
553,97200,26189,1
554,170422,286104,0
555,72818,222165,0
556,104774,192424,0
557,16830,70727,0
558,53827,16072,0
559,62608,99185,1
560,15897,176026,0
561,53345,206874,0
562,161604,278358,0
563,14352,52203,0
564,90429,195747,0
565,78687,3463,0
566,84053,121946,0
567,114039,268672,0
568,80253,288067,0
569,100565,166917,0
570,28432,246038,1
571,154187,267395,1
572,95674,110111,0
573,102636,44923,0
574,6508,145951,1
575,13422,288106,1
576,124440,248115,0
577,129977,290291,0
578,110278,58869,0
579,97512,244007,0
580,17535,41291,0
581,120026,66154,0
582,22611,100388,1
583,9399,9837,0
584,14778,67464,0
585,168455,128329,1
586,35459,161921,0
587,68371,254101,0
588,132486,90786,1
589,42520,173013,0
590,152989,238825,0
591,91687,61092,1
592,3574,267185,0
593,140948,162369,0
594,131957,160141,0
595,170327,119452,0
596,135521,172081,1
597,99078,75594,1
598,97792,218179,0
599,179246,61332,0
600,59769,26832,1
601,93368,262787,0
602,148560,46244,0
603,56280,137359,0
604,137636,291137,0
605,35629,277154,1
606,162714,98913,1
607,57916,77730,0
608,30238,290253,1
609,176881,150841,1
610,82111,253553,0
611,132979,242773,0
612,111796,18092,1
613,62986,151131,0
614,155125,157396,0
615,156398,83716,1
616,143527,150311,0
617,153201,60286,0
618,34699,296541,0
619,14465,103630,1
620,158976,219133,0
621,54317,1714,0
622,52241,67040,0
623,79221,275122,0
624,132161,297471,1
625,155089,234533,0
626,83752,104889,1
627,87949,300126,0
628,49195,28110,0
629,108377,117618,0
630,84686,206567,1
631,64500,115737,0
632,168505,241706,1
633,154329,152717,0
634,54083,74291,0
635,97521,113305,0
636,159868,20275,0
637,89645,252883,0
638,143359,156193,1
639,104683,80783,1
640,173165,255982,1
641,107272,177852,1
642,35442,59234,1
643,7768,109858,0
644,169020,54218,0
645,188103,33395,0
646,115604,37864,1
647,118654,192834,0
648,85346,86394,1
649,189320,286880,1
650,160050,97019,1
651,184075,27254,1
652,150841,131993,1
653,43300,241819,1
654,48605,202281,1
655,13573,92340,1
656,22423,42230,0
657,74670,184953,1
658,92115,425,0
659,144627,239041,0
660,41967,275239,1
661,27347,262139,0
662,136107,46716,1
663,26221,153987,0
664,39605,161407,0
665,65600,118884,1
666,74018,199311,1
667,125609,261483,0
668,30492,243546,1
669,150213,45999,0
670,80305,124409,0
671,180696,178869,0
672,118139,52665,1
673,66934,264968,0
674,124539,249672,1
675,179947,265191,1
676,138509,56622,1
677,13313,95505,1
678,159034,82341,1
679,161185,250806,0
680,146518,271103,1
681,111687,221004,0
682,96880,79685,0
683,92839,183962,0
684,58641,59282,0
685,80672,248641,0
686,14644,75487,1
687,96732,285122,1
688,106454,241297,0
689,3815,72853,0
690,26405,122228,0
691,1407,62036,0
692,138858,99398,1
693,132820,160617,0
694,165462,226034,0
695,116516,50150,0
696,176424,111829,0
697,90610,32221,0
698,28544,191486,0
699,109179,113117,0
700,49393,260471,0
701,145363,288324,0
702,66632,125626,1
703,80358,270513,0
704,151688,5592,0
705,130096,220966,0
706,66020,69419,0
707,168591,109186,1
708,26283,205093,1
709,588,91758,0
710,190496,137318,0
711,57837,142888,1
712,155133,38472,1
713,78530,190296,0
714,62146,219871,0
715,10199,22905,0
716,152342,169044,0
717,184934,285995,0
718,132107,258098,1
719,173465,157764,0
720,134799,284478,0
721,146947,77556,1
722,21522,121482,0
723,136496,30671,0
724,40489,194679,1
725,146096,142644,0
726,9200,238308,1
727,23846,95623,1
728,41304,300026,1
729,106535,113491,1
730,37621,109006,1
731,115684,113001,0
732,164339,206401,0
733,97636,73502,0
734,17428,283339,0
735,150752,244401,1
736,149372,209223,0
737,34670,265859,0
738,125018,295803,0
739,114138,230808,0
740,35323,226456,0
741,117599,79403,1
742,170961,91117,0
743,68920,192931,0
744,140176,111688,0
745,88480,16612,1
746,78391,276216,1
747,186421,194714,0
748,40486,212177,0
749,109532,114751,1
750,94850,88735,1
751,5607,212190,1
752,138198,141812,1
753,28050,14488,1
754,77947,101865,0
755,44437,22255,1
756,51130,123129,1
757,95839,205621,1
758,190603,64932,1
759,131289,88724,0
760,132125,109410,1
761,53414,95646,0
762,87672,291810,0
763,48072,284495,0
764,115234,59682,0
765,89126,133434,0
766,55358,265592,1
767,33288,205906,0
768,186942,244299,0
769,23366,156942,1
770,154977,249197,0
771,104386,250119,1
772,76730,164191,1
773,183924,48218,1
774,178807,8362,1
775,184944,230529,1
776,36761,149134,0
777,110533,50553,1
778,102745,150017,0
779,56418,139111,0
780,86996,221262,0
781,129481,183119,0
782,59618,139864,1
783,107206,231046,0
784,169612,4890,0
785,36804,111744,0
786,98914,160253,1
787,113017,235527,0
788,66654,212406,0
789,31820,130376,1
790,132702,59819,1
791,48391,130573,0
792,37695,168884,1
793,63402,94960,1
794,60256,142922,1
795,26899,181243,0
796,181090,73815,0
797,156225,133499,1
798,67943,287276,0
799,66984,101997,0
800,98775,264313,0
801,136886,163064,0
802,79314,233695,0
803,27098,284923,1
804,168905,48664,0
805,65468,152906,0
806,26031,235794,0
807,17168,67962,1
808,104371,138832,0
809,104446,252153,0
810,166336,298832,0
811,7887,123620,1
812,10878,35705,1
813,129124,154144,1
814,178372,71398,0
815,49130,208269,1
816,69119,34996,0
817,17073,41890,1
818,35481,247542,0
819,109768,88600,1
820,41396,215312,0
821,17150,53582,0
822,184309,216468,0
823,75098,270183,0
824,126281,188971,1
825,123347,64396,0
826,109760,122025,0
827,6648,245041,0
828,56010,13901,1
829,157822,84619,0
830,172073,81755,0
831,110983,218197,0
832,43883,30784,0
833,119560,235392,0
834,87977,73561,0
835,184034,204653,1
836,33825,259427,0
837,7065,89566,0
838,137613,141725,0
839,9923,80230,0
840,122322,46154,0
841,135931,140399,0
842,124906,164132,1
843,2009,213125,0
844,174812,236393,0
845,155505,260662,0
846,44590,176017,0
847,78421,157156,0
848,132433,141292,1
849,84501,83886,1
850,119583,278272,0
851,92841,167044,0
852,96025,251997,1
853,74723,99519,1
854,38121,73343,0
855,112697,265765,0
856,160875,286098,1
857,37041,182525,0
858,84300,140174,1
859,74870,226597,1
860,12517,290459,0
861,116656,219958,1
862,116138,138746,1
863,17700,32702,0
864,135225,290795,0
865,9434,21915,0
866,170999,143781,0
867,183207,277901,0
868,15941,79111,1
869,186532,208668,0
870,126038,278790,1
871,104671,254913,1
872,191933,160237,0
873,73138,160029,0
874,81387,38930,1
875,18778,173926,1
876,130874,164607,1
877,167679,167259,1
878,166296,258927,1
879,142607,115610,1
880,61408,184102,0
881,78796,83775,1
882,4117,217269,0
883,87240,134664,0
884,94302,38613,0
885,152050,76601,0
886,93021,176109,1
887,73290,17487,1
888,49646,197500,0
889,68723,30577,0
890,171881,290563,1
891,25902,40407,1
892,163615,11039,0
893,155314,190977,0
894,132737,255114,0
895,140409,153232,0
896,87097,109083,1
897,86925,173334,1
898,114419,226542,1
899,26407,14054,1
900,114161,219283,0
901,27117,136646,0
902,15751,75724,0
903,174172,28609,1
904,58753,287208,1
905,82289,209130,1
906,65304,168863,0
907,173480,79564,0
908,81570,214736,0
909,44010,237252,0
910,155669,65877,1
911,15569,66297,0
912,1330,3983,0
913,22091,201552,0
914,829,227618,0
915,18235,108068,0
916,75748,151482,0
917,3161,9633,0
918,49561,9302,0
919,81247,151471,1
920,158890,159676,0
921,79794,181033,0
922,48889,142535,0
923,130765,162666,0
924,101073,17559,0
925,76080,250468,0
926,81691,107901,0
927,5695,100248,1
928,83483,87062,0
929,78825,102351,0
930,35174,120310,1
931,91822,167783,0
932,171872,198027,0
933,74202,61472,1
934,127146,228316,0
935,145797,147074,0
936,11268,47751,0
937,9888,49692,0
938,166838,249370,0
939,133458,113922,0
940,164643,232532,0
941,145531,241690,0
942,91033,227386,0
943,89784,105662,0
944,102114,200996,1
945,126076,103076,0
946,19156,47241,1
947,106207,88680,1
948,82753,77303,1
949,35367,142179,1
950,181937,200625,0
951,186100,63968,0
952,1052,148307,0
953,103810,80670,0
954,101198,257110,0
955,142538,10375,0
956,34354,266569,1
957,90,268746,1
958,48240,94449,0
959,130776,19822,1
960,978,77605,1
961,25196,3727,0
962,59609,294693,1
963,93976,255065,0
964,74206,285230,0
965,4636,205364,0
966,88731,71433,1
967,10494,114351,0
968,26005,88944,1
969,153081,146544,1
970,74591,267695,0
971,72645,28873,0
972,67301,107906,0
973,66348,88827,0
974,188122,248757,1
975,179541,37298,1
976,138465,31943,0
977,57414,293368,0
978,103333,115765,1
979,169181,80219,1
980,161609,9842,0
981,185644,144537,1
982,186853,299096,1
983,135512,80672,0
984,191093,155625,1
985,59981,146678,1
986,97195,280663,0
987,86357,269540,0
988,123157,230411,1
989,39742,151986,1
990,137406,200284,0
991,84874,94362,0
992,2613,11837,0
993,54714,235006,0
994,74511,168681,1
995,74674,213861,0
996,130555,258877,1
997,94484,252835,0
998,39893,275060,0
999,25883,43533,0
1000,50372,58201,1
1001,152636,88345,1
1002,140562,166296,0
1003,157552,123072,0
1004,170402,785,1
1005,170888,262171,1
1006,144147,103137,1
1007,88265,62506,0
1008,90259,296441,1
1009,192117,36492,0
1010,25458,61127,1
1011,9710,77827,0
1012,185867,40657,0
1013,49576,103383,1
1014,130144,158789,0
1015,21272,182957,0
1016,67017,100873,1
1017,17542,118958,1
1018,100996,77261,0
1019,42011,125468,1
1020,73676,213780,0
1021,82055,118613,0
1022,118969,88242,0
1023,48869,73295,0
1024,185509,65122,1
1025,84243,171210,0
1026,180898,57819,1
1027,172714,285284,1
1028,186290,10565,0
1029,26897,80573,0
1030,51985,264771,0
1031,16167,61230,0
1032,100289,53312,0
1033,78155,117070,1
1034,70148,149936,1
1035,3875,4998,0
1036,12431,241309,0
1037,191088,2699,1
1038,147867,122249,0
1039,110219,245787,0
1040,135714,107063,1
1041,18145,12587,0
1042,103639,239604,0
1043,109602,84767,0
1044,147453,236723,0
1045,14114,152347,0
1046,10301,90124,0
1047,142313,243962,1
1048,42290,67612,1
1049,73866,145469,0
1050,58407,300528,1
1051,90562,56997,0
1052,162835,169715,1
1053,108668,217480,1
1054,56139,97192,0
1055,102001,78292,0
1056,110437,242695,0
1057,91173,33948,0
1058,95629,140229,0
1059,84469,9673,1
1060,168076,233450,0
1061,162531,279846,0
1062,184416,21436,0
1063,112525,249703,1
1064,16203,166078,1
1065,133592,8988,0
1066,174072,32407,0
1067,74033,104204,1
1068,14260,262878,0
1069,34931,106864,1
1070,92793,280734,1
1071,121687,98019,0
1072,192167,170154,0
1073,144156,15259,0
1074,24501,190840,1
1075,177698,47178,1
1076,74580,222160,1
1077,21825,85240,0
1078,152476,200530,0
1079,187735,61964,1
1080,11131,157827,1
1081,111493,236244,0
1082,80881,134985,1
1083,148272,237664,0
1084,20197,26687,0
1085,2347,240586,0
1086,97204,239317,1
1087,118817,293158,0
1088,62461,55544,0
1089,78095,110394,0
1090,64230,33231,0
1091,43975,202051,0
1092,78472,211977,0
1093,27792,64902,1
1094,120803,276472,1
1095,150889,56386,0
1096,127013,291969,0
1097,130246,63189,0
1098,69519,201739,0
1099,131571,194450,0
1100,7002,243660,1
1101,148577,254921,0
1102,27397,125258,0
1103,47983,125946,0
1104,109214,47348,0
1105,120915,245279,0
1106,41246,250855,1
1107,135603,25075,1
1108,118403,9457,1
1109,115017,139384,0
1110,173883,97128,0
1111,178848,272756,0
1112,47128,66127,0
1113,75046,76217,1
1114,75195,24753,0
1115,60349,181736,1
1116,116216,112470,0
1117,40905,22521,0
1118,145206,57099,0
1119,142579,198381,1
1120,40684,27202,1
1121,139552,226678,1
1122,85822,249939,0
1123,104883,113339,1
1124,69382,18388,0
1125,117766,231704,1
1126,30531,155321,1
1127,102877,185798,0
1128,142834,298281,1
1129,151136,300286,1
1130,65013,32254,1
1131,145658,152858,0
1132,180234,60496,0
1133,131210,212201,1
1134,49820,273307,1
1135,132386,263521,0
1136,124413,273312,0
1137,54798,37029,0
1138,24305,236347,1
1139,171706,51001,0
1140,162918,280261,1
1141,49566,256048,0
1142,63807,253754,0
1143,114517,42007,1
1144,76997,92900,1
1145,36677,242344,1
1146,22569,212334,1
1147,146467,9838,0
1148,3528,163882,1
1149,128707,228659,0
1150,25915,280835,0
1151,65064,235250,0
1152,155013,195042,1
1153,66316,65897,0
1154,148703,156155,0
1155,146675,274301,1
1156,99399,299812,1
1157,161795,211653,0
1158,62220,184137,1
1159,125914,217080,1
1160,131940,138339,0
1161,132751,209984,0
1162,106636,272291,1
1163,188569,58195,0
1164,78370,87006,0
1165,57457,289235,0
1166,40313,109122,0
1167,2437,81695,1
1168,145620,211971,1
1169,179940,269281,0
1170,180484,209348,0
1171,141786,68747,0
1172,34375,105334,0
1173,130050,79764,0
1174,126930,278447,1
1175,160134,24984,1
1176,137331,293199,1
1177,177979,62222,0
1178,112099,64101,1
1179,97578,292312,0
1180,98152,108568,0
1181,134279,56459,0
1182,12792,282936,0
1183,132379,39201,0
1184,192088,71469,0
1185,96008,19086,0
1186,178236,149462,0
1187,181568,201851,1
1188,54638,119059,0
1189,133857,219216,0
1190,166640,299769,0
1191,162668,23903,0
1192,11657,187911,0
1193,113235,41243,0
1194,136351,207420,0
1195,65939,38418,0
1196,52024,155270,1
1197,71954,86026,1
1198,28409,103608,0
1199,37692,214328,1
1200,29591,216868,1
1201,185619,25181,1
1202,109716,7762,0
1203,145550,282990,1
1204,105831,53739,0
1205,17898,120276,0
1206,23932,279499,0
1207,146277,215528,0
1208,20039,288995,0
1209,98046,271920,0
1210,69131,71796,0
1211,169095,52720,0
1212,56552,156272,0
1213,108745,271837,1
1214,164005,75403,0
1215,25714,94811,1
1216,143241,90666,0
1217,14871,57922,1
1218,66284,59475,1
1219,102736,159094,1
1220,32507,33372,0
1221,46714,119888,0
1222,140201,233683,1
1223,162254,220171,0
1224,108784,152070,0
1225,11542,230915,1
1226,33310,275706,0
1227,127407,270998,1
1228,181373,67615,1
1229,69387,17442,0
1230,180002,180488,0
1231,18042,61665,1
1232,168282,245444,0
1233,80063,83827,0
1234,13531,161857,0
1235,96944,265674,1
1236,143749,268837,0
1237,182964,55429,0
1238,73004,215061,0
1239,155253,106360,0
1240,8923,285155,0
1241,179152,35394,0
1242,45809,195688,0
1243,88551,106660,1
1244,16305,22396,1
1245,175921,27316,0
1246,22672,88854,0
1247,185339,154630,1
1248,13236,81575,1
1249,79804,176135,0
1250,125784,140353,0
1251,21801,102071,0
1252,68807,193714,1
1253,77451,203128,1
1254,105968,135179,0
1255,30187,116806,0
1256,13248,289437,1
1257,108672,167353,0
1258,111195,104228,0
1259,2766,243702,0
1260,152843,201645,0
1261,114912,277153,0
1262,156497,39483,1
1263,143324,22573,1
1264,188975,26364,0
1265,90499,56227,0
1266,9064,270851,0
1267,83291,281111,0
1268,55894,10488,0
1269,191355,108448,0
1270,69800,77897,1
1271,179490,76879,0
1272,145693,167478,0
1273,103676,55531,1
1274,173347,172635,1
1275,116035,68632,0
1276,139575,70192,0
1277,83047,125404,1
1278,19864,180446,0
1279,95521,162197,1
1280,52009,134417,0
1281,142242,171362,1
1282,93165,291610,0
1283,88984,128517,1
1284,50174,175222,0
1285,69674,54152,1
1286,66901,97698,1
1287,57065,107119,1
1288,23229,32548,1
1289,34561,298441,1
1290,100993,6919,0
1291,135643,234519,0
1292,29977,70903,1
1293,15084,267865,1
1294,38163,282029,0
1295,58414,277179,1
1296,86059,6515,1
1297,164380,283093,1
1298,41135,105383,0
1299,56339,133009,0
1300,22701,249897,0
1301,13150,75924,0
1302,154069,94108,1
1303,120624,150546,0
1304,82292,67166,0
1305,30361,28067,0
1306,85942,121105,0
1307,16290,100048,0
1308,59578,75859,1
1309,63442,10262,0
1310,34283,192118,0
1311,36594,34564,0
1312,150412,177686,0
1313,79554,191820,1
1314,158311,122913,0
1315,161554,107587,0
1316,50038,36435,0
1317,131073,20273,0
1318,182417,35383,0
1319,108685,71834,0
1320,64685,197770,0
1321,106580,18494,0
1322,170959,260787,0
1323,75133,70408,1
1324,125107,161579,0
1325,64510,281135,1
1326,148533,263736,1
1327,176268,156973,0
1328,135811,174842,1
1329,60996,170715,1
1330,54107,272827,0
1331,55842,122010,0
1332,58843,66760,1
1333,167713,38018,1
1334,127517,90098,1
1335,65981,65434,0
1336,20211,185044,0
1337,142531,158314,1
1338,89709,168408,0
1339,57383,9252,1
1340,129803,7087,0
1341,114107,246041,0
1342,80807,24516,0
1343,96949,169412,0
1344,39620,257698,0
1345,164330,83809,1
1346,3649,194916,0
1347,149725,235196,0
1348,43411,56050,1
1349,55408,61531,0
1350,61956,80303,1
1351,192588,89236,1
1352,15610,91950,0
1353,22938,131986,0
1354,81250,153861,0
1355,107286,174362,0
1356,155152,4056,0
1357,9188,132464,1
1358,61309,36854,0
1359,186725,177201,0
1360,150371,112058,1
