shared_case_id,holdout_position,original_row_index,y_true,attack_category,selected_for_models,selected_outcomes,selection_count,mlp_probability,cnn_probability,mlp_prediction,cnn_prediction,models_disagree,probability_difference
NEURAL_SHARED_16,14694,34990,1,Infilteration,mlp,FN,1,0.14002542197704315,0.1426357477903366,0,0,False,0.002610325813293457
NEURAL_SHARED_17,15047,164648,0,Benign,cnn,FP,1,0.33391273021698,0.7018672227859497,0,1,True,0.3679544925689697
NEURAL_SHARED_18,17265,186259,0,Benign,mlp,FP,1,0.9999529123306274,0.9996930956840515,1,1,False,0.00025981664657592773
NEURAL_SHARED_19,17430,268473,1,DoS attacks-GoldenEye,cnn,TP,1,0.9998703002929688,0.9997719526290894,1,1,False,9.834766387939453e-05
NEURAL_SHARED_20,20087,116825,1,Bot,cnn,FN,1,0.9578176140785217,0.4791027307510376,1,0,True,0.47871488332748413
NEURAL_SHARED_21,20443,75923,1,Infilteration,mlp,FN,1,0.48850056529045105,0.4104548990726471,0,0,False,0.07804566621780396
NEURAL_SHARED_22,21953,279646,1,DoS attacks-SlowHTTPTest,cnn,TP,1,1.0,0.999972939491272,1,1,False,2.7060508728027344e-05
NEURAL_SHARED_23,22418,274755,0,Benign,cnn,FP,1,0.39599713683128357,0.5864103436470032,0,1,True,0.1904132068157196
NEURAL_SHARED_24,23816,126825,0,Benign,mlp,FP,1,0.6668856143951416,0.34818026423454285,1,0,True,0.31870535016059875
NEURAL_SHARED_25,26960,19611,1,Infilteration,mlp,FN,1,0.15843668580055237,0.1493547111749649,0,0,False,0.009081974625587463
NEURAL_SHARED_26,27401,120018,1,Infilteration,mlp,FN,1,0.24446575343608856,0.19801580905914307,0,0,False,0.046449944376945496
NEURAL_SHARED_27,27791,135859,0,Benign,cnn,FP,1,0.2519512176513672,0.8226413130760193,0,1,True,0.5706900954246521
NEURAL_SHARED_28,28212,191024,0,Benign,cnn,FP,1,0.39232322573661804,0.5659503936767578,0,1,True,0.17362716794013977
NEURAL_SHARED_29,28221,105418,0,Benign,mlp,FP,1,0.5997090339660645,0.6387407779693604,1,1,False,0.0390317440032959
NEURAL_SHARED_30,30135,15708,0,Benign,mlp,FP,1,0.981546938419342,0.9916700124740601,1,1,False,0.010123074054718018
NEURAL_SHARED_31,30759,2183,1,Infilteration,cnn,FN,1,0.10030370950698853,0.07311134040355682,0,0,False,0.0271923691034317
NEURAL_SHARED_32,30944,142297,0,Benign,cnn,TN,1,2.573645360826049e-05,7.909337728051469e-05,0,0,False,5.33569236722542e-05
NEURAL_SHARED_33,31251,106205,0,Benign,mlp,TN,1,2.6490785121069393e-09,0.0030569275841116905,0,0,False,0.0030569249350331784
NEURAL_SHARED_34,31303,237610,1,Infilteration,mlp,FN,1,0.131637305021286,0.08783484250307083,0,0,False,0.04380246251821518
NEURAL_SHARED_35,32090,132657,1,FTP-BruteForce,mlp,TP,1,1.0,0.999972939491272,1,1,False,2.7060508728027344e-05
NEURAL_SHARED_36,32323,145644,1,Infilteration,mlp,FN,1,0.14787237346172333,0.14528346061706543,0,0,False,0.002588912844657898
NEURAL_SHARED_37,33027,52627,1,Infilteration,cnn,FN,1,0.28764763474464417,0.22678396105766296,0,0,False,0.0608636736869812
NEURAL_SHARED_38,34205,176021,0,Benign,cnn,TN,1,0.055240944027900696,0.050138697028160095,0,0,False,0.005102246999740601
NEURAL_SHARED_39,34297,224624,1,Infilteration,mlp,FN,1,0.0021300308872014284,0.1882944107055664,0,0,False,0.18616437981836498
NEURAL_SHARED_40,36312,275065,0,Benign,cnn,TN,1,0.38604626059532166,0.49518492817878723,0,0,False,0.10913866758346558
NEURAL_SHARED_41,36429,182234,1,DDOS attack-HOIC,cnn,TP,1,0.9999257326126099,0.9999734163284302,1,1,False,4.76837158203125e-05
NEURAL_SHARED_42,36683,288123,0,Benign,cnn,FP,1,0.9828512668609619,0.975613534450531,1,1,False,0.007237732410430908
NEURAL_SHARED_43,37481,34913,1,Infilteration,cnn,TP,1,0.30361121892929077,0.5117628574371338,0,1,True,0.20815163850784302
NEURAL_SHARED_44,37967,7008,1,Infilteration,cnn,FN,1,0.11918310075998306,0.13269147276878357,0,0,False,0.013508372008800507
NEURAL_SHARED_45,38938,217563,1,Infilteration,cnn,FN,1,0.06934509426355362,0.11685497313737869,0,0,False,0.04750987887382507
NEURAL_SHARED_46,41650,78177,0,Benign,mlp,FP,1,0.8347740769386292,0.9411759972572327,1,1,False,0.10640192031860352
NEURAL_SHARED_47,43677,91644,0,Benign,cnn,FP,1,0.19954630732536316,0.9045252799987793,0,1,True,0.7049789726734161
NEURAL_SHARED_48,43696,95163,1,Infilteration,cnn,FN,1,0.026205917820334435,0.000996900605969131,0,0,False,0.025209017214365304
NEURAL_SHARED_49,44103,43329,0,Benign,mlp,TN,1,0.0008044905844144523,1.40837337312405e-05,0,0,False,0.0007904068506832118
NEURAL_SHARED_50,45967,44631,1,DoS attacks-SlowHTTPTest,mlp,TP,1,0.9999995231628418,0.9999823570251465,1,1,False,1.71661376953125e-05
NEURAL_SHARED_51,46318,107806,0,Benign,cnn,TN,1,0.00025111233117058873,0.0009613512665964663,0,0,False,0.0007102389354258776
NEURAL_SHARED_52,46572,2010,0,Benign,cnn,TN,1,0.003534767311066389,4.605491085385438e-06,0,0,False,0.0035301618199810036
NEURAL_SHARED_53,47278,243809,1,DoS attacks-Hulk,cnn,TP,1,0.9999967813491821,0.9999860525131226,1,1,False,1.0728836059570312e-05
NEURAL_SHARED_54,47635,98315,1,Infilteration,cnn,FN,1,0.13920465111732483,0.14154364168643951,0,0,False,0.002338990569114685
NEURAL_SHARED_55,48488,164174,1,Bot,mlp,TP,1,0.9993830919265747,0.9998317956924438,1,1,False,0.0004487037658691406
NEURAL_SHARED_56,49283,51450,0,Benign,mlp,FP,1,0.5051805377006531,0.6189745664596558,1,1,False,0.11379402875900269
NEURAL_SHARED_57,51254,7040,0,Benign,mlp,TN,1,0.150371715426445,0.14525027573108673,0,0,False,0.005121439695358276
NEURAL_SHARED_58,51750,113967,1,Bot,mlp,TP,1,0.9999901056289673,0.9999996423721313,1,1,False,9.5367431640625e-06
NEURAL_SHARED_59,55228,264866,1,DDOS attack-HOIC,cnn,TP,1,0.9999995231628418,0.9999992847442627,1,1,False,2.384185791015625e-07
NEURAL_SHARED_60,56715,155182,0,Benign,mlp,TN,1,7.845251275284681e-06,1.9787741621257737e-05,0,0,False,1.1942490345973056e-05
NEURAL_SHARED_61,59238,97993,1,Infilteration,cnn,FN,1,0.153103768825531,0.14705593883991241,0,0,False,0.006047829985618591
NEURAL_SHARED_62,59742,197096,0,Benign,mlp,FP,1,0.715701699256897,0.6890276670455933,1,1,False,0.02667403221130371
NEURAL_SHARED_63,59840,37799,1,DoS attacks-GoldenEye,cnn,TP,1,0.9999978542327881,1.0,1,1,False,2.1457672119140625e-06
NEURAL_SHARED_64,60182,135407,1,DoS attacks-GoldenEye,mlp,TP,1,1.0,0.9999895095825195,1,1,False,1.049041748046875e-05
