case_id,selected_for_model,selected_for_model_display,selected_outcome,within_group_rank,selection_reason,holdout_position,original_row_index,y_true,attack_category,selected_model_probability,selected_model_prediction,selected_model_threshold,distance_to_threshold,mlp_probability,cnn_probability,mlp_prediction,cnn_prediction,models_disagree,probability_difference
MLP_FN_07,mlp,MLP,FN,7,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,6668,76449,1,Infilteration,0.10739779472351074,0,0.5,0.39260220527648926,0.10739779472351074,0.10284347832202911,0,0,False,0.004554316401481628
MLP_FN_08,mlp,MLP,FN,8,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,34297,224624,1,Infilteration,0.0021300308872014284,0,0.5,0.49786996911279857,0.0021300308872014284,0.1882944107055664,0,0,False,0.18616437981836498
MLP_FP_01,mlp,MLP,FP,1,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,49283,51450,0,Benign,0.5051805377006531,1,0.5,0.005180537700653076,0.5051805377006531,0.6189745664596558,1,1,False,0.11379402875900269
MLP_FP_02,mlp,MLP,FP,2,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,28221,105418,0,Benign,0.5997090339660645,1,0.5,0.09970903396606445,0.5997090339660645,0.6387407779693604,1,1,False,0.0390317440032959
MLP_FP_03,mlp,MLP,FP,3,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,4667,25012,0,Benign,0.6361875534057617,1,0.5,0.13618755340576172,0.6361875534057617,0.31769222021102905,1,0,True,0.31849533319473267
MLP_FP_04,mlp,MLP,FP,4,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,23816,126825,0,Benign,0.6668856143951416,1,0.5,0.1668856143951416,0.6668856143951416,0.34818026423454285,1,0,True,0.31870535016059875
MLP_FP_05,mlp,MLP,FP,5,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,59742,197096,0,Benign,0.715701699256897,1,0.5,0.21570169925689697,0.715701699256897,0.6890276670455933,1,1,False,0.02667403221130371
MLP_FP_06,mlp,MLP,FP,6,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,41650,78177,0,Benign,0.8347740769386292,1,0.5,0.33477407693862915,0.8347740769386292,0.9411759972572327,1,1,False,0.10640192031860352
MLP_FP_07,mlp,MLP,FP,7,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,30135,15708,0,Benign,0.981546938419342,1,0.5,0.48154693841934204,0.981546938419342,0.9916700124740601,1,1,False,0.010123074054718018
MLP_FP_08,mlp,MLP,FP,8,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,17265,186259,0,Benign,0.9999529123306274,1,0.5,0.49995291233062744,0.9999529123306274,0.9996930956840515,1,1,False,0.00025981664657592773
MLP_TN_01,mlp,MLP,TN,1,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,9672,51000,0,Benign,0.4959760308265686,0,0.5,0.0040239691734313965,0.4959760308265686,0.6031706929206848,0,1,True,0.10719466209411621
MLP_TN_02,mlp,MLP,TN,2,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,51254,7040,0,Benign,0.150371715426445,0,0.5,0.349628284573555,0.150371715426445,0.14525027573108673,0,0,False,0.005121439695358276
MLP_TN_03,mlp,MLP,TN,3,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,12825,292510,0,Benign,0.13501548767089844,0,0.5,0.36498451232910156,0.13501548767089844,0.13510218262672424,0,0,False,8.669495582580566e-05
MLP_TN_04,mlp,MLP,TN,4,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,3126,231855,0,Benign,0.10520855337381363,0,0.5,0.39479144662618637,0.10520855337381363,0.10004523396492004,0,0,False,0.005163319408893585
MLP_TN_05,mlp,MLP,TN,5,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,12608,250703,0,Benign,0.05521911010146141,0,0.5,0.4447808898985386,0.05521911010146141,0.04992084205150604,0,0,False,0.005298268049955368
MLP_TN_06,mlp,MLP,TN,6,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,44103,43329,0,Benign,0.0008044905844144523,0,0.5,0.49919550941558555,0.0008044905844144523,1.40837337312405e-05,0,0,False,0.0007904068506832118
MLP_TN_07,mlp,MLP,TN,7,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,56715,155182,0,Benign,7.845251275284681e-06,0,0.5,0.4999921547487247,7.845251275284681e-06,1.9787741621257737e-05,0,0,False,1.1942490345973056e-05
MLP_TN_08,mlp,MLP,TN,8,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,31251,106205,0,Benign,2.6490785121069393e-09,0,0.5,0.4999999973509215,2.6490785121069393e-09,0.0030569275841116905,0,0,False,0.0030569249350331784
MLP_TP_01,mlp,MLP,TP,1,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,10547,257756,1,Infilteration,0.5009243488311768,1,0.5,0.0009243488311767578,0.5009243488311768,0.6271141767501831,1,1,False,0.12618982791900635
MLP_TP_02,mlp,MLP,TP,2,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,48488,164174,1,Bot,0.9993830919265747,1,0.5,0.4993830919265747,0.9993830919265747,0.9998317956924438,1,1,False,0.0004487037658691406
MLP_TP_03,mlp,MLP,TP,3,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,6980,196556,1,DDOS attack-HOIC,0.9999257326126099,1,0.5,0.49992573261260986,0.9999257326126099,0.9999734163284302,1,1,False,4.76837158203125e-05
MLP_TP_04,mlp,MLP,TP,4,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,51750,113967,1,Bot,0.9999901056289673,1,0.5,0.4999901056289673,0.9999901056289673,0.9999996423721313,1,1,False,9.5367431640625e-06
MLP_TP_05,mlp,MLP,TP,5,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,45967,44631,1,DoS attacks-SlowHTTPTest,0.9999995231628418,1,0.5,0.4999995231628418,0.9999995231628418,0.9999823570251465,1,1,False,1.71661376953125e-05
MLP_TP_06,mlp,MLP,TP,6,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,3207,105915,1,DoS attacks-SlowHTTPTest,1.0,1,0.5,0.5,1.0,0.999972939491272,1,1,False,2.7060508728027344e-05
MLP_TP_07,mlp,MLP,TP,7,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,32090,132657,1,FTP-BruteForce,1.0,1,0.5,0.5,1.0,0.999972939491272,1,1,False,2.7060508728027344e-05
MLP_TP_08,mlp,MLP,TP,8,Evenly spaced threshold-margin spectrum from boundary-near to high-confidence,60182,135407,1,DoS attacks-GoldenEye,1.0,1,0.5,0.5,1.0,0.9999895095825195,1,1,False,1.049041748046875e-05
