model,model_display,case_id,holdout_position,original_row_index,y_true,attack_category,baseline_id,baseline_display,integration_steps,feature_index,feature_name,raw_feature_value,scaled_feature_value,attribution,absolute_attribution,absolute_rank
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,43,Pkt Len Var,14161.0,-0.11123763769865036,-0.22630271043930417,0.22630271043930417,32
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,44,FIN Flag Cnt,0.0,-0.05233189836144447,0.03459111693945032,0.03459111693945032,47
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,45,SYN Flag Cnt,0.0,-0.1852944940328598,0.08623764577483935,0.08623764577483935,43
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,46,RST Flag Cnt,0.0,-0.5218309164047241,-1.093711538811497,1.093711538811497,8
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,47,PSH Flag Cnt,1.0,0.9456127285957336,-1.6713188525943126,1.6713188525943126,6
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,48,ACK Flag Cnt,1.0,1.5607398748397827,0.13505056032175225,0.13505056032175225,38
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,49,URG Flag Cnt,0.0,-0.16248618066310883,0.0008961413006606175,0.0008961413006606175,70
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,50,CWE Flag Count,0.0,-0.02324415184557438,-0.00942155788493929,0.00942155788493929,62
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,51,ECE Flag Cnt,0.0,-0.5218309164047241,-0.9646147351774209,0.9646147351774209,12
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,52,Down/Up Ratio,2.0,1.566642165184021,-2.1876090432034614,2.1876090432034614,5
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,53,Pkt Size Avg,79.3333333333,-0.08998017013072968,0.0924759234424386,0.0924759234424386,41
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,54,Fwd Seg Size Avg,0.0,-0.7370033860206604,-1.0652884235894862,1.0652884235894862,9
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,55,Bwd Seg Size Avg,119.0,0.12332050502300262,0.06405999964283203,0.06405999964283203,45
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,56,Fwd Byts/b Avg,0.0,0.0,0.0,0.0,73
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,57,Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,74
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,58,Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,77
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,59,Bwd Byts/b Avg,0.0,0.0,0.0,0.0,78
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,60,Bwd Pkts/b Avg,0.0,0.0,0.0,0.0,75
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,61,Bwd Blk Rate Avg,0.0,0.0,0.0,0.0,76
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,62,Subflow Fwd Pkts,1.0,-0.033733732998371124,0.02386922366763127,0.02386922366763127,51
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,63,Subflow Fwd Byts,0.0,-0.036053989082574844,-0.027322767551477365,0.027322767551477365,48
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,64,Subflow Bwd Pkts,2.0,-0.03261594846844673,0.0025133023714323474,0.0025133023714323474,67
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,65,Subflow Bwd Byts,238.0,-0.019610537216067314,-0.016510406865924143,0.016510406865924143,55
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,66,Init Fwd Win Byts,26847.0,0.5573360919952393,0.5305572960457657,0.5305572960457657,20
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,67,Init Bwd Win Byts,211.0,-0.3981305956840515,-0.0961516642660911,0.0961516642660911,39
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,68,Fwd Act Data Pkts,0.0,-0.03314182162284851,0.015800324451220447,0.015800324451220447,58
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,69,Fwd Seg Size Min,40.0,1.7942849397659302,5.54149279182903,5.54149279182903,2
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,70,Active Mean,0.0,-0.09103736281394958,-0.008901011565041006,0.008901011565041006,63
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,71,Active Std,0.0,-0.06719702482223511,-0.010289400339210348,0.010289400339210348,60
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,72,Active Max,0.0,-0.09757475554943085,-0.002487012036510766,0.002487012036510766,68
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,73,Active Min,0.0,-0.07560674101114273,0.017489620508399552,0.017489620508399552,54
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,74,Idle Mean,0.0,-0.29483991861343384,-0.2898427697613317,0.2898427697613317,26
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,75,Idle Std,0.0,-0.13760210573673248,0.02679531485186013,0.02679531485186013,49
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,76,Idle Max,0.0,-0.3058960735797882,0.13693953961449093,0.13693953961449093,37
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,zero_scaled,Zero standardized vector,128,77,Idle Min,0.0,-0.27937188744544983,0.01603293822013064,0.01603293822013064,56
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,0,Dst Port,51982.0,2.029167413711548,-0.7069430421820602,0.7069430421820602,8
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,1,Protocol,6.0,-0.4150773882865906,0.0,0.0,78
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,2,Flow Duration,22569161.0,0.36975833773612976,-0.5618170439573419,0.5618170439573419,11
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,3,Tot Fwd Pkts,1.0,-0.033733732998371124,0.00018411804110202178,0.00018411804110202178,35
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,4,Tot Bwd Pkts,2.0,-0.03261594846844673,0.0,0.0,77
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,5,TotLen Fwd Pkts,0.0,-0.036053989082574844,-0.001009140918327719,0.001009140918327719,32
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,6,TotLen Bwd Pkts,238.0,-0.01960725523531437,5.2246343813160383e-05,5.2246343813160383e-05,40
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,7,Fwd Pkt Len Max,0.0,-0.6599207520484924,0.16993568125330133,0.16993568125330133,18
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,8,Fwd Pkt Len Min,0.0,-0.2446633279323578,0.0,0.0,75
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,9,Fwd Pkt Len Mean,0.0,-0.7370033860206604,-0.0697341515915637,0.0697341515915637,22
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,10,Fwd Pkt Len Std,0.0,-0.6824519038200378,-0.15010464878357022,0.15010464878357022,19
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,11,Bwd Pkt Len Max,238.0,-0.15858164429664612,-0.21246153161358386,0.21246153161358386,17
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,12,Bwd Pkt Len Min,0.0,-0.3786987066268921,0.0,0.0,76
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,13,Bwd Pkt Len Mean,119.0,0.12332050502300262,-0.017058545554936338,0.017058545554936338,26
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,14,Bwd Pkt Len Std,168.2914139224,0.1922869235277176,0.44078235621965123,0.44078235621965123,13
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,15,Flow Byts/s,10.545363206,-0.06769456714391708,0.00013485073114997883,0.00013485073114997883,38
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,16,Flow Pkts/s,0.1329247463,-0.3643477261066437,3.817897311547691e-05,3.817897311547691e-05,41
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,17,Flow IAT Mean,11284580.5,0.750314474105835,-0.4950970740580752,0.4950970740580752,12
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,18,Flow IAT Std,15958028.9713317,2.7989683151245117,-2.4105867398551424,2.4105867398551424,3
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,19,Flow IAT Max,22568611.0,1.049683928489685,0.061517360792420914,0.061517360792420914,23
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,20,Flow IAT Min,550.0,-0.17871125042438507,-3.692929426912621e-05,3.692929426912621e-05,42
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,21,Fwd IAT Tot,0.0,-0.3672982156276703,-0.0006533654483496416,0.0006533654483496416,33
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,22,Fwd IAT Mean,0.0,-0.24259880185127258,-0.0012106724102542432,0.0012106724102542432,31
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,23,Fwd IAT Std,0.0,-0.3030920922756195,-1.1001953947927662e-05,1.1001953947927662e-05,45
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,24,Fwd IAT Max,0.0,-0.3346872627735138,0.001800450660229061,0.001800450660229061,29
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,25,Fwd IAT Min,0.0,-0.19227269291877747,-1.1434140483393418e-07,1.1434140483393418e-07,47
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,26,Bwd IAT Tot,22568611.0,0.6563389897346497,0.7064560512553928,0.7064560512553928,9
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,27,Bwd IAT Mean,22568611.0,2.8121845722198486,2.8620865033366494,2.8620865033366494,1
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,28,Bwd IAT Std,0.0,-0.23024432361125946,0.0,0.0,73
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,29,Bwd IAT Max,22568611.0,1.736902117729187,-0.3608209413322191,0.3608209413322191,15
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,30,Bwd IAT Min,22568611.0,3.28910493850708,-0.658280586497425,0.658280586497425,10
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,31,Fwd PSH Flags,0.0,-0.1852944940328598,0.0,0.0,74
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,32,Bwd PSH Flags,0.0,0.0,0.0,0.0,63
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,33,Fwd URG Flags,0.0,-0.02324415184557438,0.0,0.0,64
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,34,Bwd URG Flags,0.0,0.0,0.0,0.0,65
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,35,Fwd Header Len,40.0,-0.03493262454867363,0.00015936219467549537,0.00015936219467549537,36
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,36,Bwd Header Len,64.0,-0.0237740371376276,-0.001969758089738642,0.001969758089738642,28
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,37,Fwd Pkts/s,0.0443082488,-0.3348708748817444,0.00014271529023288446,0.00014271529023288446,37
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,38,Bwd Pkts/s,0.0886164975,-0.3509836792945862,-9.784103245959186e-06,9.784103245959186e-06,46
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,39,Pkt Len Min,0.0,-0.24511286616325378,0.0,0.0,66
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,40,Pkt Len Max,238.0,-0.3144305646419525,-0.12742957751899703,0.12742957751899703,21
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,41,Pkt Len Mean,59.5,-0.18224701285362244,0.1372513059452243,0.1372513059452243,20
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,42,Pkt Len Std,119.0,-0.07368714362382889,-0.23512138569466695,0.23512138569466695,16
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,43,Pkt Len Var,14161.0,-0.11123763769865036,0.05210786035620313,0.05210786035620313,25
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,44,FIN Flag Cnt,0.0,-0.05233189836144447,0.0,0.0,68
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,45,SYN Flag Cnt,0.0,-0.1852944940328598,0.0,0.0,69
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,46,RST Flag Cnt,0.0,-0.5218309164047241,0.0,0.0,67
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,47,PSH Flag Cnt,1.0,0.9456127285957336,-2.241051253642908,2.241051253642908,4
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,48,ACK Flag Cnt,1.0,1.5607398748397827,1.2181005769848596,1.2181005769848596,7
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,49,URG Flag Cnt,0.0,-0.16248618066310883,0.0,0.0,62
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,50,CWE Flag Count,0.0,-0.02324415184557438,0.0,0.0,61
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,51,ECE Flag Cnt,0.0,-0.5218309164047241,0.0,0.0,60
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,52,Down/Up Ratio,2.0,1.566642165184021,-1.5084101511145551,1.5084101511145551,6
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,53,Pkt Size Avg,79.3333333333,-0.08998017013072968,0.06102049269027782,0.06102049269027782,24
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,54,Fwd Seg Size Avg,0.0,-0.7370033860206604,-0.4131195703810744,0.4131195703810744,14
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,55,Bwd Seg Size Avg,119.0,0.12332050502300262,0.015679436603657882,0.015679436603657882,27
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,56,Fwd Byts/b Avg,0.0,0.0,0.0,0.0,71
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,57,Fwd Pkts/b Avg,0.0,0.0,0.0,0.0,72
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,58,Fwd Blk Rate Avg,0.0,0.0,0.0,0.0,57
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,59,Bwd Byts/b Avg,0.0,0.0,0.0,0.0,58
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,60,Bwd Pkts/b Avg,0.0,0.0,0.0,0.0,59
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,61,Bwd Blk Rate Avg,0.0,0.0,0.0,0.0,70
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,62,Subflow Fwd Pkts,1.0,-0.033733732998371124,0.0003811191204967662,0.0003811191204967662,34
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,63,Subflow Fwd Byts,0.0,-0.036053989082574844,0.00011035534411722855,0.00011035534411722855,39
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,64,Subflow Bwd Pkts,2.0,-0.03261594846844673,0.0,0.0,48
mlp,MLP,NEURAL_DISAGREE_01,55861,52553,0,Benign,benign_median,Benign training median,128,65,Subflow Bwd Byts,238.0,-0.019610537216067314,3.058155744332632e-05,3.058155744332632e-05,43
