snapshot_id,partition,snapshot_start,snapshot_end_exclusive,flow_edges,unique_nodes,unique_directed_host_pairs,parallel_edge_excess,max_parallel_flow_multiplicity,benign_edges,attack_edges,invalid_label_edges,finite_70_feature_edges,validation_flows_with_both_hosts_seen_in_train,validation_flows_with_seen_directed_edge,isolated_nodes
88,train,2018-02-20T02:28:00,2018-02-20T02:29:00,16088,1609,6419,9669,208,16088,0,0,15967,,,0
89,train,2018-02-20T02:29:00,2018-02-20T02:30:00,13515,1639,5737,7778,239,13515,0,0,13407,,,0
90,train,2018-02-20T02:30:00,2018-02-20T02:31:00,13564,1746,6163,7401,305,13564,0,0,13437,,,0
91,train,2018-02-20T02:31:00,2018-02-20T02:32:00,11273,1626,5451,5822,291,11273,0,0,11163,,,0
92,train,2018-02-20T02:32:00,2018-02-20T02:33:00,12836,1717,5229,7607,384,12836,0,0,12706,,,0
93,train,2018-02-20T02:33:00,2018-02-20T02:34:00,14513,1861,6026,8487,351,14513,0,0,14373,,,0
94,train,2018-02-20T02:34:00,2018-02-20T02:35:00,12211,1721,5492,6719,265,12211,0,0,12102,,,0
95,train,2018-02-20T02:35:00,2018-02-20T02:36:00,13535,1870,5749,7786,299,13535,0,0,13406,,,0
96,train,2018-02-20T02:36:00,2018-02-20T02:37:00,11491,1664,5507,5984,295,11491,0,0,11340,,,0
97,train,2018-02-20T02:37:00,2018-02-20T02:38:00,14552,1617,5351,9201,247,14552,0,0,14450,,,0
98,train,2018-02-20T02:38:00,2018-02-20T02:39:00,16556,1712,5707,10849,385,16556,0,0,16466,,,0
99,train,2018-02-20T02:39:00,2018-02-20T02:40:00,11756,1529,5225,6531,174,11756,0,0,11668,,,0
100,train,2018-02-20T02:40:00,2018-02-20T02:41:00,11148,1556,4792,6356,275,11148,0,0,11048,,,0
101,train,2018-02-20T02:41:00,2018-02-20T02:42:00,10899,1514,4680,6219,271,10899,0,0,10810,,,0
102,train,2018-02-20T02:42:00,2018-02-20T02:43:00,14757,1740,5930,8827,329,14757,0,0,14648,,,0
103,train,2018-02-20T02:43:00,2018-02-20T02:44:00,12822,1586,5218,7604,313,12822,0,0,12739,,,0
104,train,2018-02-20T02:44:00,2018-02-20T02:45:00,14486,1733,5807,8679,545,14486,0,0,14374,,,0
105,train,2018-02-20T02:45:00,2018-02-20T02:46:00,12955,1601,5552,7403,374,12955,0,0,12798,,,0
106,train,2018-02-20T02:46:00,2018-02-20T02:47:00,16715,1927,6064,10651,412,16715,0,0,16577,,,0
107,train,2018-02-20T02:47:00,2018-02-20T02:48:00,14683,1772,5922,8761,356,14683,0,0,14556,,,0
108,train,2018-02-20T02:48:00,2018-02-20T02:49:00,16517,1813,6408,10109,281,16517,0,0,16417,,,0
109,train,2018-02-20T02:49:00,2018-02-20T02:50:00,12536,1666,5983,6553,283,12536,0,0,12383,,,0
110,train,2018-02-20T02:50:00,2018-02-20T02:51:00,14592,1835,5822,8770,282,14592,0,0,14446,,,0
111,train,2018-02-20T02:51:00,2018-02-20T02:52:00,13009,1699,5467,7542,322,13009,0,0,12860,,,0
112,train,2018-02-20T02:52:00,2018-02-20T02:53:00,11668,1585,5204,6464,217,11668,0,0,11586,,,0
113,train,2018-02-20T02:53:00,2018-02-20T02:54:00,17243,1760,6000,11243,310,17243,0,0,17062,,,0
114,train,2018-02-20T02:54:00,2018-02-20T02:55:00,13690,1724,5329,8361,308,13690,0,0,13569,,,0
115,train,2018-02-20T02:55:00,2018-02-20T02:56:00,14498,1922,5534,8964,415,14498,0,0,14368,,,0
116,train,2018-02-20T02:56:00,2018-02-20T02:57:00,10922,1733,5267,5655,252,10922,0,0,10793,,,0
117,train,2018-02-20T02:57:00,2018-02-20T02:58:00,14335,1861,6063,8272,322,14335,0,0,14202,,,0
118,train,2018-02-20T02:58:00,2018-02-20T02:59:00,16324,1863,6605,9719,283,16324,0,0,16194,,,0
119,train,2018-02-20T02:59:00,2018-02-20T03:00:00,15546,1842,6623,8923,315,15546,0,0,15462,,,0
120,train,2018-02-20T03:00:00,2018-02-20T03:01:00,13113,1720,5779,7334,303,13113,0,0,12967,,,0
121,train,2018-02-20T03:01:00,2018-02-20T03:02:00,13364,1767,5588,7776,288,13364,0,0,13241,,,0
122,train,2018-02-20T03:02:00,2018-02-20T03:03:00,12801,1688,5790,7011,229,12801,0,0,12678,,,0
123,train,2018-02-20T03:03:00,2018-02-20T03:04:00,11773,1607,5425,6348,346,11773,0,0,11661,,,0
124,train,2018-02-20T03:04:00,2018-02-20T03:05:00,15041,1767,6504,8537,369,15041,0,0,14912,,,0
125,train,2018-02-20T03:05:00,2018-02-20T03:06:00,12585,1619,5668,6917,371,12585,0,0,12473,,,0
126,train,2018-02-20T03:06:00,2018-02-20T03:07:00,12204,1573,4795,7409,265,12204,0,0,12107,,,0
127,train,2018-02-20T03:07:00,2018-02-20T03:08:00,12702,1777,4738,7964,302,12702,0,0,12589,,,0
128,train,2018-02-20T03:08:00,2018-02-20T03:09:00,16012,1704,5028,10984,285,16012,0,0,15901,,,0
129,train,2018-02-20T03:09:00,2018-02-20T03:10:00,16035,1668,5115,10920,275,16035,0,0,15940,,,0
130,train,2018-02-20T03:10:00,2018-02-20T03:11:00,13484,1659,5114,8370,327,13484,0,0,13370,,,0
131,train,2018-02-20T03:11:00,2018-02-20T03:12:00,12845,1586,5120,7725,252,12845,0,0,12745,,,0
132,train,2018-02-20T03:12:00,2018-02-20T03:13:00,14748,1641,5590,9158,266,14748,0,0,14611,,,0
133,train,2018-02-20T03:13:00,2018-02-20T03:14:00,15811,1835,6079,9732,471,15811,0,0,15701,,,0
134,train,2018-02-20T03:14:00,2018-02-20T03:15:00,18070,1839,6912,11158,305,18070,0,0,17919,,,0
135,train,2018-02-20T03:15:00,2018-02-20T03:16:00,18508,1961,7104,11404,366,18508,0,0,18372,,,0
136,train,2018-02-20T03:16:00,2018-02-20T03:17:00,12995,1771,5661,7334,267,12995,0,0,12870,,,0
137,train,2018-02-20T03:17:00,2018-02-20T03:18:00,15168,1896,5870,9298,347,15168,0,0,15016,,,0
138,train,2018-02-20T03:18:00,2018-02-20T03:19:00,17887,1922,6749,11138,400,17887,0,0,17707,,,0
139,train,2018-02-20T03:19:00,2018-02-20T03:20:00,16086,1846,6077,10009,305,16086,0,0,15974,,,0
140,train,2018-02-20T03:20:00,2018-02-20T03:21:00,11931,1722,5287,6644,283,11931,0,0,11820,,,0
141,train,2018-02-20T03:21:00,2018-02-20T03:22:00,14454,1806,5949,8505,276,14454,0,0,14315,,,0
142,train,2018-02-20T03:22:00,2018-02-20T03:23:00,15554,1845,5877,9677,402,15554,0,0,15422,,,0
143,train,2018-02-20T03:23:00,2018-02-20T03:24:00,15174,1716,5912,9262,276,15174,0,0,15069,,,0
144,train,2018-02-20T03:24:00,2018-02-20T03:25:00,16987,1744,6153,10834,276,16987,0,0,16820,,,0
145,train,2018-02-20T03:25:00,2018-02-20T03:26:00,13603,1740,5346,8257,251,13603,0,0,13478,,,0
146,train,2018-02-20T03:26:00,2018-02-20T03:27:00,13330,1743,5958,7372,273,13330,0,0,13212,,,0
147,train,2018-02-20T03:27:00,2018-02-20T03:28:00,14788,1793,6424,8364,298,14788,0,0,14660,,,0
148,train,2018-02-20T03:28:00,2018-02-20T03:29:00,15343,1621,6500,8843,178,15343,0,0,15217,,,0
149,train,2018-02-20T03:29:00,2018-02-20T03:30:00,15481,1731,6470,9011,281,15481,0,0,15367,,,0
150,train,2018-02-20T03:30:00,2018-02-20T03:31:00,12530,1666,5617,6913,245,12530,0,0,12403,,,0
151,train,2018-02-20T03:31:00,2018-02-20T03:32:00,16143,1831,6507,9636,319,16143,0,0,15990,,,0
152,train,2018-02-20T03:32:00,2018-02-20T03:33:00,12523,1665,5309,7214,245,12523,0,0,12417,,,0
153,train,2018-02-20T03:33:00,2018-02-20T03:34:00,11272,1547,4841,6431,296,11272,0,0,11173,,,0
154,train,2018-02-20T03:34:00,2018-02-20T03:35:00,10825,1469,4754,6071,197,10825,0,0,10700,,,0
155,train,2018-02-20T03:35:00,2018-02-20T03:36:00,10202,1482,4354,5848,216,10202,0,0,10112,,,0
156,train,2018-02-20T03:36:00,2018-02-20T03:37:00,12365,1478,5138,7227,214,12365,0,0,12260,,,0
157,train,2018-02-20T03:37:00,2018-02-20T03:38:00,11280,1508,4758,6522,331,11280,0,0,11194,,,0
158,train,2018-02-20T03:38:00,2018-02-20T03:39:00,13024,1531,4737,8287,216,13024,0,0,12938,,,0
159,train,2018-02-20T03:39:00,2018-02-20T03:40:00,16078,1539,5130,10948,298,16078,0,0,15980,,,0
160,train,2018-02-20T03:40:00,2018-02-20T03:41:00,13621,1534,4765,8856,271,13621,0,0,13512,,,0
161,train,2018-02-20T03:41:00,2018-02-20T03:42:00,12185,1584,4896,7289,352,12185,0,0,12070,,,0
162,train,2018-02-20T03:42:00,2018-02-20T03:43:00,13966,1658,5420,8546,380,13966,0,0,13823,,,0
163,train,2018-02-20T03:43:00,2018-02-20T03:44:00,12112,1504,5281,6831,329,12112,0,0,12018,,,0
164,train,2018-02-20T03:44:00,2018-02-20T03:45:00,13825,1543,5400,8425,225,13825,0,0,13706,,,0
165,train,2018-02-20T03:45:00,2018-02-20T03:46:00,14710,1664,5397,9313,375,14710,0,0,14580,,,0
166,train,2018-02-20T03:46:00,2018-02-20T03:47:00,11253,1536,4352,6901,193,11253,0,0,11163,,,0
167,train,2018-02-20T03:47:00,2018-02-20T03:48:00,12878,1611,5461,7417,317,12878,0,0,12744,,,0
168,train,2018-02-20T03:48:00,2018-02-20T03:49:00,15513,1684,5623,9890,331,15513,0,0,15385,,,0
169,train,2018-02-20T03:49:00,2018-02-20T03:50:00,14360,1677,5333,9027,323,14360,0,0,14251,,,0
170,train,2018-02-20T03:50:00,2018-02-20T03:51:00,10908,1567,4948,5960,170,10908,0,0,10806,,,0
171,train,2018-02-20T03:51:00,2018-02-20T03:52:00,11876,1501,5390,6486,255,11876,0,0,11742,,,0
172,train,2018-02-20T03:52:00,2018-02-20T03:53:00,12092,1515,5512,6580,252,12092,0,0,11980,,,0
173,train,2018-02-20T03:53:00,2018-02-20T03:54:00,12226,1531,5187,7039,238,12226,0,0,12144,,,0
174,train,2018-02-20T03:54:00,2018-02-20T03:55:00,17287,1670,6086,11201,310,17287,0,0,17175,,,0
175,train,2018-02-20T03:55:00,2018-02-20T03:56:00,14838,1525,5691,9147,180,14838,0,0,14726,,,0
176,train,2018-02-20T03:56:00,2018-02-20T03:57:00,11438,1534,5034,6404,201,11438,0,0,11307,,,0
177,train,2018-02-20T03:57:00,2018-02-20T03:58:00,13943,1653,5223,8720,290,13943,0,0,13841,,,0
178,train,2018-02-20T03:58:00,2018-02-20T03:59:00,14693,1639,6078,8615,189,14693,0,0,14564,,,0
179,train,2018-02-20T03:59:00,2018-02-20T04:00:00,14048,1655,5671,8377,277,14048,0,0,13938,,,0
180,train,2018-02-20T04:00:00,2018-02-20T04:01:00,12125,1546,5656,6469,260,12125,0,0,11985,,,0
181,train,2018-02-20T04:01:00,2018-02-20T04:02:00,10713,1515,4862,5851,173,10713,0,0,10571,,,0
182,train,2018-02-20T04:02:00,2018-02-20T04:03:00,12025,1556,5140,6885,250,12025,0,0,11926,,,0
183,train,2018-02-20T04:03:00,2018-02-20T04:04:00,12413,1451,5277,7136,200,12413,0,0,12293,,,0
184,train,2018-02-20T04:04:00,2018-02-20T04:05:00,10599,1461,4654,5945,342,10599,0,0,10535,,,0
185,train,2018-02-20T04:05:00,2018-02-20T04:06:00,12729,1546,5142,7587,283,12729,0,0,12645,,,0
186,train,2018-02-20T04:06:00,2018-02-20T04:07:00,10330,1419,4626,5704,174,10330,0,0,10237,,,0
187,train,2018-02-20T04:07:00,2018-02-20T04:08:00,12209,1494,5234,6975,222,12209,0,0,12124,,,0
188,train,2018-02-20T04:08:00,2018-02-20T04:09:00,12112,1493,4558,7554,363,12112,0,0,12022,,,0
189,train,2018-02-20T04:09:00,2018-02-20T04:10:00,14892,1494,5620,9272,319,14892,0,0,14794,,,0
190,train,2018-02-20T04:10:00,2018-02-20T04:11:00,17088,1535,5456,11632,267,17088,0,0,16997,,,0
191,train,2018-02-20T04:11:00,2018-02-20T04:12:00,13992,1522,5099,8893,297,13992,0,0,13893,,,0
192,train,2018-02-20T04:12:00,2018-02-20T04:13:00,14579,1584,5300,9279,354,14579,0,0,14464,,,0
193,train,2018-02-20T04:13:00,2018-02-20T04:14:00,14623,1664,5517,9106,350,14623,0,0,14477,,,0
194,train,2018-02-20T04:14:00,2018-02-20T04:15:00,11914,1509,4750,7164,199,11914,0,0,11805,,,0
195,train,2018-02-20T04:15:00,2018-02-20T04:16:00,12512,1630,5448,7064,321,12512,0,0,12366,,,0
196,train,2018-02-20T04:16:00,2018-02-20T04:17:00,13805,1588,5309,8496,189,13805,0,0,13667,,,0
197,train,2018-02-20T04:17:00,2018-02-20T04:18:00,13167,1667,5187,7980,290,13167,0,0,13054,,,0
198,train,2018-02-20T04:18:00,2018-02-20T04:19:00,13066,1612,5126,7940,300,13066,0,0,12941,,,0
199,train,2018-02-20T04:19:00,2018-02-20T04:20:00,14477,1709,5128,9349,323,14477,0,0,14355,,,0
200,train,2018-02-20T04:20:00,2018-02-20T04:21:00,12330,1673,4915,7415,420,12330,0,0,12211,,,0
201,train,2018-02-20T04:21:00,2018-02-20T04:22:00,13173,1751,5766,7407,406,13173,0,0,13055,,,0
202,train,2018-02-20T04:22:00,2018-02-20T04:23:00,12899,1646,5771,7128,288,12899,0,0,12752,,,0
203,train,2018-02-20T04:23:00,2018-02-20T04:24:00,13493,1760,6019,7474,340,13493,0,0,13363,,,0
204,train,2018-02-20T04:24:00,2018-02-20T04:25:00,12726,1611,5438,7288,159,12726,0,0,12594,,,0
205,train,2018-02-20T04:25:00,2018-02-20T04:26:00,15585,1783,5656,9929,366,15585,0,0,15489,,,0
206,train,2018-02-20T04:26:00,2018-02-20T04:27:00,12548,1531,5057,7491,164,12548,0,0,12419,,,0
207,train,2018-02-20T04:27:00,2018-02-20T04:28:00,15082,1767,5776,9306,307,15082,0,0,14959,,,0
208,train,2018-02-20T04:28:00,2018-02-20T04:29:00,16175,1762,7233,8942,233,16175,0,0,16064,,,0
209,train,2018-02-20T04:29:00,2018-02-20T04:30:00,15077,1774,6845,8232,286,15077,0,0,14979,,,0
210,train,2018-02-20T04:30:00,2018-02-20T04:31:00,15219,1781,6245,8974,268,15219,0,0,15070,,,0
211,train,2018-02-20T04:31:00,2018-02-20T04:32:00,12324,1504,5121,7203,209,12324,0,0,12233,,,0
212,train,2018-02-20T04:32:00,2018-02-20T04:33:00,13007,1564,5311,7696,208,13007,0,0,12885,,,0
213,train,2018-02-20T04:33:00,2018-02-20T04:34:00,12867,1619,5408,7459,335,12867,0,0,12763,,,0
214,train,2018-02-20T04:34:00,2018-02-20T04:35:00,11852,1571,4853,6999,204,11852,0,0,11766,,,0
215,train,2018-02-20T04:35:00,2018-02-20T04:36:00,10953,1482,4623,6330,284,10953,0,0,10860,,,0
216,train,2018-02-20T04:36:00,2018-02-20T04:37:00,13182,1547,5393,7789,339,13182,0,0,13088,,,0
217,train,2018-02-20T04:37:00,2018-02-20T04:38:00,13566,1641,5311,8255,371,13566,0,0,13441,,,0
218,train,2018-02-20T04:38:00,2018-02-20T04:39:00,13238,1575,5150,8088,256,13238,0,0,13130,,,0
219,train,2018-02-20T04:39:00,2018-02-20T04:40:00,15537,1636,5644,9893,255,15537,0,0,15414,,,0
220,train,2018-02-20T04:40:00,2018-02-20T04:41:00,13533,1465,4932,8601,210,13533,0,0,13429,,,0
221,train,2018-02-20T04:41:00,2018-02-20T04:42:00,16606,1622,5649,10957,298,16606,0,0,16493,,,0
222,train,2018-02-20T04:42:00,2018-02-20T04:43:00,12941,1535,5496,7445,211,12941,0,0,12817,,,0
223,train,2018-02-20T04:43:00,2018-02-20T04:44:00,14506,1632,5566,8940,309,14506,0,0,14396,,,0
224,train,2018-02-20T04:44:00,2018-02-20T04:45:00,14169,1628,5688,8481,285,14169,0,0,14018,,,0
225,train,2018-02-20T04:45:00,2018-02-20T04:46:00,14504,1709,5871,8633,368,14504,0,0,14377,,,0
226,train,2018-02-20T04:46:00,2018-02-20T04:47:00,13556,1681,5640,7916,291,13556,0,0,13436,,,0
227,train,2018-02-20T04:47:00,2018-02-20T04:48:00,12820,1684,5041,7779,250,12820,0,0,12695,,,0
228,train,2018-02-20T04:48:00,2018-02-20T04:49:00,14389,1735,4985,9404,323,14389,0,0,14241,,,0
229,train,2018-02-20T04:49:00,2018-02-20T04:50:00,13538,1635,5163,8375,304,13538,0,0,13423,,,0
230,train,2018-02-20T04:50:00,2018-02-20T04:51:00,13342,1673,5764,7578,244,13342,0,0,13225,,,0
231,train,2018-02-20T04:51:00,2018-02-20T04:52:00,12405,1604,4899,7506,288,12405,0,0,12260,,,0
232,train,2018-02-20T04:52:00,2018-02-20T04:53:00,13727,1733,5649,8078,298,13727,0,0,13599,,,0
233,train,2018-02-20T04:53:00,2018-02-20T04:54:00,12991,1656,5062,7929,212,12991,0,0,12846,,,0
234,train,2018-02-20T04:54:00,2018-02-20T04:55:00,12648,1615,5280,7368,167,12648,0,0,12534,,,0
