case_id,confusion_state,selection_slot,selected_sorted_group_rank,confusion_group_size,validation_position,original_row_index,true_label,ensemble_probability,frozen_prediction,absolute_threshold_margin,frozen_threshold
FP_10,FP,10,58,99,21315,169981,0,0.8786576747894287,1,0.1486576747894287,0.73
FP_11,FP,11,65,99,21423,170739,0,0.8806534528732299,1,0.15065345287322995,0.73
FP_12,FP,12,71,99,1262,10316,0,0.8831817865371704,1,0.1531817865371704,0.73
FP_13,FP,13,78,99,23620,188624,0,0.8906203627586364,1,0.16062036275863645,0.73
FP_14,FP,14,84,99,28728,228774,0,0.8921281337738037,1,0.16212813377380375,0.73
FP_15,FP,15,91,99,2598,20739,0,0.9163160204887391,1,0.18631602048873908,0.73
FP_16,FP,16,98,99,656,5261,0,0.999752426147461,1,0.269752426147461,0.73
FN_01,FN,1,0,2446,37045,294405,1,0.7202444434165954,0,0.009755556583404545,0.73
FN_02,FN,2,163,2446,19277,153734,1,0.5456237137317658,0,0.1843762862682342,0.73
FN_03,FN,3,326,2446,9456,74544,1,0.4817385673522949,0,0.24826143264770506,0.73
FN_04,FN,4,489,2446,8342,65799,1,0.43952399492263794,0,0.29047600507736204,0.73
FN_05,FN,5,652,2446,33806,268847,1,0.4012920320034027,0,0.3287079679965973,0.73
FN_06,FN,6,815,2446,1105,9004,1,0.31995178759098053,0,0.41004821240901945,0.73
FN_07,FN,7,978,2446,12797,100581,1,0.2922782599925995,0,0.4377217400074005,0.73
FN_08,FN,8,1141,2446,5568,44389,1,0.2873131513595581,0,0.4426868486404419,0.73
FN_09,FN,9,1304,2446,35568,283173,1,0.28198364973068235,0,0.44801635026931763,0.73
FN_10,FN,10,1467,2446,6928,54995,1,0.2780644118785858,0,0.45193558812141416,0.73
FN_11,FN,11,1630,2446,5104,40500,1,0.27512170672416686,0,0.4548782932758331,0.73
FN_12,FN,12,1793,2446,33447,266041,1,0.2672806948423386,0,0.4627193051576614,0.73
FN_13,FN,13,1956,2446,12431,97571,1,0.2540184944868088,0,0.4759815055131912,0.73
FN_14,FN,14,2119,2446,8072,63702,1,0.2144384503364563,0,0.5155615496635437,0.73
FN_15,FN,15,2282,2446,22302,177728,1,0.18672505617141724,0,0.5432749438285828,0.73
FN_16,FN,16,2445,2446,8399,66325,1,0.0038931317161768676,0,0.7261068682838231,0.73
