claim_id,result_stage,result_artifact,figure_or_table,config,entry_point,canonical_source,equivalence_check,environment,limitation
C25-001,Stage25,results/stage25_prevalence_stress/stage25_1_bayesian_projection/stage25_1_bayesian_projection_grid.csv,results/stage25_prevalence_stress/stage25_publication_package/tables/table25_1_standard_operational_translation_0p1pct.csv,configs/stage25/protocol.json,scripts/reproduce_stage25.py,src/ids_validation/stages/stage25/registry.py,EQ100,ENV028,"Assumes prior shift and fixed TPR/FPR."
C25-002,Stage25,results/stage25_prevalence_stress/stage25_2_traffic_soc_capacity/stage25_2_traffic_soc_projection.csv,results/stage25_prevalence_stress/stage25_publication_package/tables/table25_1_standard_operational_translation_0p1pct.csv,configs/stage25/protocol.json,scripts/reproduce_stage25.py,src/ids_validation/stages/stage25/registry.py,EQ101,ENV028,"Traffic/service/capacity values are reference assumptions."
C25-003,Stage25,results/stage25_prevalence_stress/stage25_3_break_even_analysis/cost_break_even_points.csv,results/stage25_prevalence_stress/stage25_publication_package/tables/table25_3_exact_cost_break_even.csv,configs/stage25/protocol.json,scripts/reproduce_stage25.py,src/ids_validation/stages/stage25/registry.py,EQ102,ENV028,"Relative costs are dimensionless reference units."
C25-004,Stage25,results/stage25_prevalence_stress/stage25_5_final_audit_and_seal/stage25_5_final_synthesis.json,results/stage25_prevalence_stress/stage25_publication_package/tables/table25_2_all_operating_points_0p1pct.csv,configs/stage25/protocol.json,scripts/reproduce_stage25.py,src/ids_validation/stages/stage25/registry.py,EQ099,ENV028,"Contrasts inherited geometries; not a live deployment estimate."
C25-005,Stage25,results/stage25_prevalence_stress/stage25_5_final_audit_and_seal/stage25_5_final_synthesis.json,results/stage25_prevalence_stress/stage25_publication_package/tables/table25_4_family_relative_cost_decisions.csv,configs/stage25/protocol.json,scripts/reproduce_stage25.py,src/ids_validation/stages/stage25/registry.py,EQ099,ENV028,"Depends on frozen prevalence and simplified costs."
C26-001,Stage26,results/stage26_deployment_profiling/stage26_2_cpu_warm_inference/stage26_2_warm_summary.csv,results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU_WARM_INFERENCE.csv,configs/stage26/protocol.json,scripts/reproduce_stage26.py,NB011:13-17,EQ103,ENV029,"A new machine is not expected to reproduce identical milliseconds."
C26-002,Stage26,results/stage26_deployment_profiling/stage26_g2_final_gpu_publication_closure/T26_CPU1_GPU_MATCHED_COMPARISON.csv,results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU1_GPU_MATCHED_COMPARISON.csv,configs/stage26/protocol.json,scripts/reproduce_stage26.py,NB011:91-95,EQ105,"ENV029;ENV030","Single T4; speedup-ratio confidence intervals unavailable."
C26-003,Stage26,results/stage26_deployment_profiling/stage26_8d3_cpu_publication_tables/T26_CPU_MEMORY_PACKAGE.csv,results/stage26_deployment_profiling/stage26_publication_package/tables/T26_CPU_MEMORY_PACKAGE.csv,configs/stage26/protocol.json,scripts/reproduce_stage26.py,NB011:18-21,EQ103,ENV029,"RSS is runtime-specific."
C26-004,Stage26,results/stage26_deployment_profiling/stage26_8d3_cpu_publication_tables/T26_COMPONENT_MEASUREMENTS.csv,results/stage26_deployment_profiling/stage26_publication_package/tables/T26_COMPONENT_MEASUREMENTS.csv,configs/stage26/protocol.json,scripts/reproduce_stage26.py,NB011:22-68,EQ103,ENV029,"Scientifically compatible complete end-to-end measurement unavailable."
C26-005,Stage26,results/stage26_deployment_profiling/stage26_g2_final_gpu_publication_closure/T26_GPU_BACKEND_RESOURCE_STATUS.csv,results/stage26_deployment_profiling/stage26_publication_package/tables/T26_GPU_BACKEND_RESOURCE_STATUS.csv,configs/stage26/protocol.json,scripts/reproduce_stage26.py,NB011:91-95,EQ105,ENV030,"Availability is specific to frozen T4/native paths."
C27-001,Stage27,results/stage27_loao_unseen_attack/stage27_4a_final_synthesis/stage27_final_primary_metrics.csv,docs/STAGE27_PUBLICATION_TABLES.md,configs/stage27/protocol.json,scripts/reproduce_stage27.py,NB012:39-40,EQ108,ENV031,"Family LOAO is not literal zero-day detection."
C27-002,Stage27,results/stage27_loao_unseen_attack/stage27_4a_final_synthesis/stage27_final_primary_metrics.csv,docs/STAGE27_PUBLICATION_TABLES.md,configs/stage27/protocol.json,scripts/reproduce_stage27.py,src/ids_validation/stages/stage27/registry.py,EQ108,ENV031,"Only two frozen boosted-tree learners."
C27-003,Stage27,results/stage27_loao_unseen_attack/stage27_4a_final_synthesis/stage27_final_operating_points.csv,docs/STAGE27_PUBLICATION_TABLES.md,configs/stage27/protocol.json,scripts/reproduce_stage27.py,NB012:39-40,EQ108,ENV031,"Target thresholds cannot be retuned."
C27-004,Stage27,results/stage27_loao_unseen_attack/stage27_0_protocol_lock/fold_spec.json,docs/STAGE27_PUBLICATION_TABLES.md,configs/stage27/protocol.json,scripts/reproduce_stage27.py,src/ids_validation/stages/stage27/registry.py,EQ106,ENV031,"DOS and AUTH_BRUTE_FORCE structurally ineligible."
C27-005,Stage27,results/stage27_loao_unseen_attack/stage27_4a_final_synthesis/stage27_final_primary_metrics.csv,docs/STAGE27_PUBLICATION_TABLES.md,configs/stage27/protocol.json,scripts/reproduce_stage27.py,src/ids_validation/stages/stage27/registry.py,EQ106,ENV031,"Infiltration is descriptive-only with 36 positives."
C28-001,Stage28,results/stage28_stability_novelty_control/stage28_0_protocol_lock/seed_spec.json,results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_loao_stability_registry.csv,configs/stage28/protocol.json,scripts/reproduce_stage28.py,src/ids_validation/stages/stage28/registry.py,EQ109,ENV032,"Five seeds do not quantify population/bootstrap uncertainty."
C28-002,Stage28,results/stage28_stability_novelty_control/stage28_3_seed_uncertainty/stage28_3c_random_vs_chronological_five_seed_summary.csv,results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_random_vs_chronological_key_contrasts.csv,configs/stage28/protocol.json,scripts/reproduce_stage28.py,NB013:42,EQ110,ENV032,"Control contrast does not isolate temporal drift causally."
C28-003,Stage28,results/stage28_stability_novelty_control/stage28_4_stage22_shared_final_holdout/stage28_4_stage22_directional_stability_summary.csv,results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_stage22_shared_holdout_five_seed_summary.csv,configs/stage28/protocol.json,scripts/reproduce_stage28.py,src/ids_validation/stages/stage28/registry.py,EQ111,ENV032,"Descriptive direction; no new significance test."
C28-004,Stage28,results/stage28_stability_novelty_control/stage28_4_stage22_shared_final_holdout/stage28_4_stage22_directional_stability_summary.csv,results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_stage22_shared_holdout_five_seed_summary.csv,configs/stage28/protocol.json,scripts/reproduce_stage28.py,src/ids_validation/stages/stage28/registry.py,EQ111,ENV032,"Shared holdout cannot be reopened for adaptation."
C28-005,Stage28,results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_synthesis_receipt.json,results/stage28_stability_novelty_control/stage28_final_synthesis/stage28_final_claim_registry.csv,configs/stage28/protocol.json,scripts/reproduce_stage28.py,src/ids_validation/stages/stage28/registry.py,EQ111,ENV032,"Stage29 unauthorized; future experiments require separate project."
