"stage","substage","scientific_role","notebook_source","notebook_cells","script_source","historical_execution_source","frozen_result_path","commit_sha","canonical_reproduction_source","status","notes"
"Stage26","Stage26-4B","Extraction correctness and CPU timing","notebooks/archive/stage26_deployment_profiling_executed.ipynb","22-39","scripts/stage26/stage26_deployment_profiling_kaggle.py","executed notebook and frozen protocol/observations","results/stage26_deployment_profiling/stage26_4b_extraction_protocol_lock; results/stage26_deployment_profiling/stage26_4b2_full_monday_validation; results/stage26_deployment_profiling/stage26_4b3_cpu1_extraction_timing","b41a0559598a70e6c69aac05c76e4c4edb73b34e","notebook plus frozen extraction artifacts","NOTEBOOK_CANONICAL","Corpus extraction and timing are both disabled in safe verification."
"Stage26","Stage26-4C/5A","Representation equivalence, timing and component boundary","notebooks/archive/stage26_deployment_profiling_executed.ipynb","40-51","scripts/stage26/stage26_deployment_profiling_kaggle.py","executed notebook and frozen protocol/observations","results/stage26_deployment_profiling/stage26_4c_representation_protocol_lock; results/stage26_deployment_profiling/stage26_4c3_cpu1_representation_timing; results/stage26_deployment_profiling/stage26_5a_e2e_availability_closure","ce6f51c53acf5b6e64d0f51bc3c28d9b4b12c3a6","notebook plus frozen representation and closure artifacts","NOTEBOOK_CANONICAL","Historical correction is retained; no representation materialization is authorized."
"Stage26","Stage26-6/7","Pareto, corrected timing uncertainty and capacity scaling","notebooks/archive/stage26_deployment_profiling_executed.ipynb","52-68","scripts/stage26/stage26_deployment_profiling_kaggle.py","executed notebook and frozen raw/summary tables","results/stage26_deployment_profiling/stage26_6f1_bootstrap_corrected_uncertainty; results/stage26_deployment_profiling/stage26_7c_cpu_capacity_scaling","a484148cd8ea7d7c89604d3a015f73bd6f1bc81a","notebook plus frozen uncertainty and capacity artifacts","NOTEBOOK_CANONICAL","Bootstrap regeneration and new capacity timing are prohibited."
"Stage26","Stage26-8/8D","Representation sensitivity and CPU publication closure","notebooks/archive/stage26_deployment_profiling_executed.ipynb","69-90","scripts/stage26/stage26_deployment_profiling_kaggle.py","executed notebook; frozen observations, tables and figures","results/stage26_deployment_profiling/stage26_8c1_paired_representation_sensitivity; results/stage26_deployment_profiling/stage26_8d6_final_cpu_closure; figures/stage26_deployment_profiling","fd4497e333ebeb72b1eb188ed64ca2cdd0f08567","notebook plus frozen publication artifacts","NOTEBOOK_CANONICAL","Publication values are static checks only; figures are not regenerated."
"Stage26","Stage26-G0/G1/G2","Single-T4 profiling and CPU/GPU comparison","notebooks/archive/stage26_deployment_profiling_executed.ipynb","91-95","scripts/stage26/stage26_deployment_profiling_kaggle.py","executed GPU notebook outputs and receipts","results/stage26_deployment_profiling/stage26_g1_gpu_warm_profile; results/stage26_deployment_profiling/stage26_g2_final_gpu_publication_closure","9e8354ecc9cfa72c28aa037e5d2053de422bf7a2","notebook plus separate frozen T4 environment and measurement receipts","NOTEBOOK_CANONICAL","CPU and T4 environments remain separate; no GPU profiling rerun."
"Stage26","Stage26-P/NB","Narrative, publication package and virtual-source export","notebooks/archive/stage26_deployment_profiling_executed.ipynb","96-108","scripts/stage26/stage26_deployment_profiling_kaggle.py","post-measurement notebook cells and byte-preservation receipt","results/stage26_deployment_profiling/stage26_p2_paper_facing_narrative; results/stage26_deployment_profiling/stage26_publication_package","8767f38719584ec9e8d18e5c1dfae0913e537fed","frozen package plus executed notebook; virtual source archival only","ARCHIVAL_ONLY","Source export is non-compiling historical evidence and not a canonical runnable module."
"Stage27","Stage27-0/0A","Taxonomy, family-day feasibility and protocol lock","notebooks/archive/stage27_loao_unseen_attack_executed.ipynb","2-15","","executed notebook cells","results/stage27_loao_unseen_attack/stage27_0a_family_day_feasibility; results/stage27_loao_unseen_attack/stage27_0_protocol_lock","1ea6bedb141bc3fa6115edbc5296d0f7c6252559","full notebook plus frozen feasibility and protocol artifacts","NOTEBOOK_CANONICAL","Seven families; five eligible; two structurally ineligible; Infiltration descriptive-only."
"Stage27","Stage27-1A/1B","Fold memberships and prefit 70-feature materialization","notebooks/archive/stage27_loao_unseen_attack_executed.ipynb","16-21","","executed notebook cells","results/stage27_loao_unseen_attack/stage27_1a_fold_membership; results/stage27_loao_unseen_attack/stage27_1b_prefit_feature_materialization","9bdf2c1fca362312855b8612c579da685a390ffe","full notebook plus frozen membership/input receipts","NOTEBOOK_CANONICAL","Held-out family train and validation counts are statically verifiable as zero."
"Stage27","Stage27-2A","Ten preopening learner/fold fits and thresholds","notebooks/archive/stage27_loao_unseen_attack_executed.ipynb","22-24","","executed notebook cells","results/stage27_loao_unseen_attack/stage27_2a_preopening_models","8994c42e1fa31501784a7653d10b34c30a07c26c","full notebook plus frozen models, thresholds and fit ledger","NOTEBOOK_CANONICAL","Five folds by two learners; no fit or threshold reselection authorized."
"Stage27","Stage27-2B","Thursday validation and target openings","notebooks/archive/stage27_loao_unseen_attack_executed.ipynb","25-27","","executed notebook cells","results/stage27_loao_unseen_attack/stage27_2b_thursday_openings","bffa77c536cad211dea9ef46b102e5482e01e68e","full notebook plus frozen opening receipts/results","NOTEBOOK_CANONICAL","No target reopening."
"Stage27","Stage27-2C","Final Friday openings","notebooks/archive/stage27_loao_unseen_attack_executed.ipynb","28-29","","executed notebook cells","results/stage27_loao_unseen_attack/stage27_2c_friday_openings","9771631b18009883da32680b9218d5e40a036942","full notebook plus frozen opening receipts/results","NOTEBOOK_CANONICAL","Target-opening ledger is terminal."
"Stage27","Stage27-3A","Bootstrap uncertainty","notebooks/archive/stage27_loao_unseen_attack_executed.ipynb","30-31","","executed notebook cells","results/stage27_loao_unseen_attack/stage27_3a_bootstrap_uncertainty","17b734f778c4881d200c90967a19baf367347116","full notebook plus frozen 2000-replicate results","NOTEBOOK_CANONICAL","Bootstrap arrays/results are static; regeneration prohibited."
"Stage27","Stage27-3B","Behavioral-similarity analysis and recovery","notebooks/archive/stage27_loao_unseen_attack_executed.ipynb","32-38","scripts/stage27/stage27_loao_unseen_attack.py","executed notebook; script exactly preserves supplied cells 34-38","results/stage27_loao_unseen_attack/stage27_3b_similarity","4195be1c4fde26f76a3426728c5dd3b12d389e82","full notebook plus late-cell script and frozen similarity artifacts","NOTEBOOK_PLUS_SCRIPT","Script begins after the implementation-lock cell and is not the complete Stage27 source."
"Stage27","Stage27-4A","Final synthesis","notebooks/archive/stage27_loao_unseen_attack_executed.ipynb","39-40","scripts/stage27/stage27_loao_unseen_attack.py","executed notebook; exact late-cell script","results/stage27_loao_unseen_attack/stage27_4a_final_synthesis","0e1439565aedc7da9b7ca1207262e9061422bc22","full notebook plus exact script cells and frozen synthesis","NOTEBOOK_PLUS_SCRIPT","Selective family transfer, learner dependence and ranking/threshold divergence remain qualified conclusions."
"Stage27","Stage27-PUB","Frozen-result manuscript integration and source export","notebooks/archive/stage27_loao_unseen_attack_executed.ipynb","41-47","scripts/stage27/stage27_loao_unseen_attack.py; scripts/stage27/stage27_publication_integration.py","executed notebook; exact script cells 41-45; post-closure export cells 46-47","results/stage27_loao_unseen_attack/stage27_publication_package","66597724a692da577efd19c1ca070fb27750f3ee","notebook plus scope-limited publication/source scripts","NOTEBOOK_PLUS_SCRIPT","Publication generator consumes frozen synthesis only; cells 46-47 are absent from repository notebook."
"Stage28","Stage28-0/0A","Five-seed stability and random-LOAO protocol/amendment","notebooks/archive/stage28_stability_novelty_control_executed.ipynb","2-4","","executed notebook cells","results/stage28_stability_novelty_control/stage28_0_protocol_lock; results/stage28_stability_novelty_control/stage28_0a_preexecution_amendment","0029c28c417d63ffb45ad4096ab7c44cbd875116","full notebook plus frozen protocol/amendment","NOTEBOOK_CANONICAL","Seed/backend confound was prospectively removed; no later reinterpretation."
"Stage28","Stage28-1A","Inherited membership reconstruction","notebooks/archive/stage28_stability_novelty_control_executed.ipynb","5-10","","executed notebook cells","results/stage28_stability_novelty_control/stage28_1a_inherited_membership_reconstruction","e7ad0283cbe1290a1a1b8ecf3c495ae142e6247b","full notebook plus frozen membership receipts","NOTEBOOK_CANONICAL","No target access during safe verification."
"Stage28","Stage28-1B/1C","Random memberships, execution manifest and input identity freeze","notebooks/archive/stage28_stability_novelty_control_executed.ipynb","11-17","","executed notebook cells","results/stage28_stability_novelty_control/stage28_1b_random_loao_membership_and_execution_lock; results/stage28_stability_novelty_control/stage28_1c_model_input_identity_freeze","738e3ee29d098d4132828aeaaacfa12a8cfd7b52","full notebook plus frozen manifests and input identities","NOTEBOOK_CANONICAL","120-component manifest includes 108 new fits and 12 historical reuses."
"Stage28","Stage28-2A","Stage22 and chronology-LOAO seed stability","notebooks/archive/stage28_stability_novelty_control_executed.ipynb","18-33","scripts/stage28/stage28_full_kaggle_notebook.py","executed notebook; repository archive begins at supplied cell 33","results/stage28_stability_novelty_control/stage28_2a_stage22_seed_stability; results/stage28_stability_novelty_control/stage28_2a_stage27_seed_stability","4757827c9e845a862113f96339ada0b9e95a948f","full notebook plus frozen component ledgers/results","NOTEBOOK_PLUS_SCRIPT","Exactly 50 chronology LOAO seed realizations; script covers only the final recovery cell in this range."
"Stage28","Stage28-2B","Random-LOAO control","notebooks/archive/stage28_stability_novelty_control_executed.ipynb","34-36","scripts/stage28/stage28_full_kaggle_notebook.py","executed notebook; exact reconstructed late cells","results/stage28_stability_novelty_control/stage28_2b_random_loao_control","9fddb8d8c34ba8f81b71f24eea15c90151053d6b","full notebook plus late-cell archive and frozen component ledgers/results","NOTEBOOK_PLUS_SCRIPT","Exactly 50 random LOAO seed realizations; no fits remain."
"Stage28","Stage28-3A","108-fit experiment closure audit","notebooks/archive/stage28_stability_novelty_control_executed.ipynb","37-40","scripts/stage28/stage28_full_kaggle_notebook.py","executed notebook; exact reconstructed late cells","results/stage28_stability_novelty_control/stage28_3a_experiment_closure_audit","3318e0bf30b14280347d9d28b6c8ab928231b13b","full notebook plus frozen closure ledger","NOTEBOOK_PLUS_SCRIPT","108 authorized equals 108 consumed; 12 historical reuses; zero remaining."
"Stage28","Stage28-3B","Five-seed uncertainty and conclusion stability","notebooks/archive/stage28_stability_novelty_control_executed.ipynb","41","scripts/stage28/stage28_full_kaggle_notebook.py","executed notebook; exact reconstructed late cell","results/stage28_stability_novelty_control/stage28_3_seed_uncertainty","aefeb93e3d2e7e6e965e1c5178347505e57f165f","notebook plus frozen uncertainty/conclusion tables","NOTEBOOK_PLUS_SCRIPT","No new significance tests or qualitative cutoffs."
"Stage28","Stage28-3C","Random-versus-chronological LOAO contrast","notebooks/archive/stage28_stability_novelty_control_executed.ipynb","42","scripts/stage28/stage28_full_kaggle_notebook.py","executed notebook; exact reconstructed late cell","results/stage28_stability_novelty_control/stage28_3_seed_uncertainty","2679d0c208d514b381caa12e96c959f4f2ee5ee7","notebook plus frozen contrast tables","NOTEBOOK_PLUS_SCRIPT","Contrast is static; no recomputation."
"Stage28","Stage28-4","One-time shared final-holdout stability evaluation","notebooks/archive/stage28_stability_novelty_control_executed.ipynb","43-45","scripts/stage28/stage28_full_kaggle_notebook.py","executed notebook; exact reconstructed late cells","results/stage28_stability_novelty_control/stage28_4_stage22_shared_final_holdout","f5de70d25a5714ae2b70a18819bde97eb3e38354","notebook plus frozen ten-evaluation package and receipt","NOTEBOOK_PLUS_SCRIPT","Shared final holdout is closed; no reopening or inference."
"Stage28","Stage28-FINAL/archive","Final claim registry, manuscript numbers, synthesis receipt and source archive","notebooks/archive/stage28_stability_novelty_control_executed.ipynb","46-47","scripts/stage28/stage28_full_kaggle_notebook.py; scripts/stage28/stage28_full_kaggle_notebook.ipynb","executed notebook; exact reconstructed final cells","results/stage28_stability_novelty_control/stage28_final_synthesis","94bbebfe6b18249166ac6bc89deadc8a2d6dc627","frozen final synthesis and complete executed notebook","NOTEBOOK_PLUS_SCRIPT","Stage28 is scientifically final; the repository 15-cell archive is a scope-limited post-closure reconstruction."
